,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.0960457457422025,0,0.105352456056348,0,0,0,0,0,0,0,0.0559938824636948,0.401012117212474,0,-0.223493699430116,0,0,0,0,0.213485587489593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158679923942926,0.0287404292387947,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.131359376341393,0,0,0.0512701430152966,0,0,0,0.0520134012929166,0.0971000011431471,0,0,0,0,-0.0552753592340938,0,0,0,0,0,0,0,0.208682635028882,0,0,-0.184155435354326,0.386171454086475,0,0.00800132969316939,0,0,0,0,0,0.262978753143181,0,-0.128865405810793,0,0,0.123997534644266,0,0.13741589728923,0,0,0,0
X601939.CH.EQUITY,0.30307132903768,0,0,0.0928944304017252,0,0.155511224111523,0,-0.0112290399944657,0,0,0,0,0,0.0954708379194691,0.0133859457245257,0,0,0,0.186421114864502,0,0,0.0266059048307739,-0.113081395344837,0,0,0,0,0,0,0.406509831207511,0,-0.0337458207104311,0,0,0,0,0,0,0,0,0,0,0.0503869412691956,0,1.73472347597681e-18,0,0,0,0,0
X601288.CH.EQUITY,0.397718527351835,0,0.200391143229033,0,1.73472347597681e-18,0.120879452635025,0,0,0.0296035622707965,-0.0305915140462079,0,0,0,0,0,0,0.0327505058956552,0,0,0,0,0,0,0,0,0,-0.0467544124387398,0,0,0.143231864536849,0,0,0,0,0,0,0,0,0,0.171139336249568,0,0,0,0,0,0.067109520647425,0,-0.0249860456677227,0,0
X5.HK.EQUITY,0,-0.125883125527119,0,0.237013945571472,0,0.0142823543874255,0,-0.328634317068584,0,0,0,0,0.165433213503768,0,0,0,0,0.563611806955456,0,0,0,0,0.358886768021178,0,0,0.00846290148955746,0,0,0,0,0,0,0,0,0,0.209450194774961,0,-0.0803444378954437,0,0,0,0,0,0,0,0.0685937230267171,0,-0.0329273646918706,0,0
X601988.CH.EQUITY,0.0956293814294183,0,0.0319494566492934,0.334094978325778,0,0,0,0,0.122064933305173,0,0.0529594949790611,0.203950907992886,0,0,0,0,0,0,0,0.206393169518469,0,0.174741368571295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363001202010894,0,0,-0.0540329649653375,-0.0272655325321403,0,0,0,0,-0.329456218149018,0
X600036.CH.EQUITY,0,0,0,0,0.064056255274146,0,0,0.245430507590336,0,0,0,0.0573139959166716,0.352605916937523,0.167338358905313,0,0,0,0.0177243450093834,0,0,0,0,0,0,0,0,0.104683822891268,0,0.0447956863433581,0,0,0.0906203593162848,0,0,0,0,0,0,0,0,0,-0.0342933935707794,0,0.0586950445307982,0,0,0,0.0454336995404581,-0.0658995104725389,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.128310690448195,0,0,0,0.0912685682854603,0,0,-0.129374410036753,0.0746074077430739,0,0.207939503657224,0.420118500281441,0,0,0,0,0.0464043141361093,0,-0.0215051052303517,0,0,0,0,0,0,0.0929857570927683,0,0,0,0,0,0,0,-0.0129722775845002,0,0,0,0,-0.0843199084795592,0,0,0,0,0
X601628.CH.EQUITY,0.213645918575354,0.338087359252455,0,0,0.0634056746457406,0,0,0,0,0,3.46944695195361e-18,-0.0601072097100874,0,-0.00139957383782771,0,0,0,-0.143687113648363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907177220310998,0,-0.114281056807115,0,0.0667026895699654,0,0,-0.153785519896307,0,0,0,0,0,0,0.0298980111376552,0,0,0,0
X601658.CH.Equity,0,0,0,-0.0207930702848655,0,0,0,0,0,0,0,0,0,0,-0.0317783736514888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26912506147983,0,0,0,0,0,0,-0.15828749471917,0
X601166.CH.EQUITY,0.0152287449090581,0,0.0367456081194101,0,0,0,0.348682331667599,0,0,0,0,0,0,0,0.280172579179724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122600584667471,0,0,0,0,0,0,0,0,0.0178902945802293,0,0,0.137579462184158,0,0,0
