,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.310198428331629,0,0,0,0.00614868147459924,0.0136016128983171,0,0,0,0.0108955467402987,0.0111044345333804,0.0365667539618288,8.67361737988404e-19,0.248234270255072,0,0,0,0,0,0,0.0801080679721153,0,0,0,0,0,0,0.0636090996292559,0,0,0,0.0496870775545698,0,0,0,0,0,0,0,0.0826969805481079,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601939.CH.EQUITY,0.138562835519399,0,0,0.0337141951407424,0,0.076945188799322,0,0,0,0.155578275172275,0,0,0,0,0,0,0,0,0.210081776345241,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0359080424568114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0811536297042375,0.0486521698165501,0,0.0548390944005115,0,0,0,0.0716677290084745,0,0,0,0,0,0.276357190860521,0,0,0,0,0,0,0,0.14385256602709,0,0,0,0,0.0408654211460348,0,0,0.000191392746268597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.113566700423557,0.211166234355264,0.311283817757713,0,0,0,0,0,0,0,0,0,0.0561111783773639,0,0,0.0303080162027269,0.032604449741865,0,0,0,0,0,0,0.145391949152533,0.0797004352970533,0,0,0,0.0597339772547574,0,0,0,0,0,0.10630071890644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,-0.080011527095374,-0.10971344036526,0,0,0,0,0,0,0.253621259703802,0,0,0,0,0,0,0,0,0.083700899405289,0,0,0.195299621377206,0,0,0,0,-0.0211431987783902,0,0,0.308628681259249,0,0,0,0.0179609254644486,0,-0.0720871827323533,0,0,0.19264655287479,0,0,0,0.317747742899976,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.462271434962665,0,0,0,0,0,0,0.0173021080590551,0,0,0,0,0,0,0,0,0,0.339886841831051,0,0,0,0.0370826678206943,0,0,0,0.102439121143932,0,0,0,0,0,0.0497715127090471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.26247959146699,0,0,0,0,0,0,0,0,0,0,0,0.134262958982915,0,0.0297770742421702,0,0,1.73472347597681e-18,0,0,0.130625129244304,0.117945906084475,0,0,0,0,0,0,0.0191461532377782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326960009967821,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.00624170082822561,0,0,0,0,0,0.0172962038289461,0.090772473107454,0,0,0,0,0,0,0.192486436213751,0,0,0.0991278682485651,0,0,0,0,0.0312347217097516,0,0,-8.67361737988404e-19,0.017395078509442,0,0.153817553366423,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0503385997796239,0,0,0.139735885592139
X600036.CH.EQUITY,0,0,0,0.0492853840200427,0.122398023663394,0.0299480267676242,0,0,0,0,0,0.142946592395463,0,0,0,0,0.113195309868194,0,0,0,0,0,0.130567953903179,0,0.21055610280967,0,0,0,0,0,0,0.0471675572309286,0,0,0,0,0,0.0742482586341821,0,0,0,0,0.04424753297798,-0.172593861960351,-3.46944695195361e-18,0,0.347506447704555,0,0,0
X601166.CH.EQUITY,0,0.26681718682101,0,0,0,0,0,0,0.09003707108777,0,0,0,0,0,0,0,0,0,0.0279236012987633,0,0,0,0,0,0,0,0,0.0375913302345312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680904196097737,0,0,0,0,0,0,0.153436821431247
X267.HK.EQUITY,0.326662774041693,0,0,0,0.00437366784455207,0,0,0.100137293523169,0,0,0,0,0,0,0,0,0,0,0,0.438160926304012,0,0,0,-0.152416379910567,0,0.0546345016191071,0,0,0,0,0,0,0,0,-0.153946994358054,0,0,0.105426552194305,0,0,0,0,0,0,0,0,-0.315652047136668,0,0,0
