,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.272985885423241,0.105531863872811,0,0.179901919515163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177791033786867,0,0,0,0,0.0441933315057579,0.099753531018969,0,0,0,0,0.0424762034499014,0,0,0,0,0,0,0,0,0.0537967464407353,0,0,0,0.0612875737071493,0,0,0.00347581831252987,0
X601318.CH.EQUITY,0,0,0,0.0947504727159604,0,8.67361737988404e-19,0,0,0.173798456616165,0,0,0,0,0,0.149974722164443,0,0.0388323976060886,0,0,0,0.0241116522067368,0,0,0,0,0,0,0,0,0,0,0,0.0186405793619561,0,0,0,0,0,0.0170781302377176,0,0,0.0330506670854262,0,0,0,0.0381651937358878,0.22153654144459,0.0339651531391265,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.023683586151759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023443981942832,0,0.180762518789995,0.0342950413842122,0,0,0,0,0,0,0,0,0.103371715762564,0,0,0,0,0.153513468166216,0.337811990268909,0,0,0,0,0.111323863864436,0,0,0,0.0686213535289283,-0.0658592930876748
X601939.CH.EQUITY,0.519931205813743,0,0,0,0,0,0,0,0.188230056920712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944026463220731,0,0,0,0,0,0.125851723952382,0,0,-0.0691844523546514,0,0,0,0,0.165187441100064,0.107931734176703,0,0,0,1.73472347597681e-18,0,0.115044411513715,0,0,0,0
X601288.CH.EQUITY,0,0.0369426339721409,0,0.262898743742798,0,0,0.43880371046315,0,0,0,0,0,0,0,0,0.104840320137251,0,0,0.0108004627129448,0,0,0.0772082759280491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229947715216699,0,0,0,0.0195453013965332,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.358420176274384,0,0,0.191537684976268,0,0,0,0,0,-0.079331991341061,0,0,0,0,-0.0224927429678458,0.126850021171225,0,0.125219810379039,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0943245296916665,0.313024726851274,0,0.0149668556100581,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.358699130700108,0,0,0.0798038767869563,-0.0498703018891357,-0.156641905266745,0,0,0,-0.0126111990069878,0,0,0,0.131597808007668,0,0,0,0.224588685966538,0,0,0,0,0.0722512711496328,0,0,0,0,0,0,0.203710377921323,0,0,0.156577510480062,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.230236937126932,0,0,0,0,0,0.106533094013585,0,0,0,0.126074635805793,0,0,0,0,0,0,0.0974954640236693,0,0,0,0.215995264394745,0,0,0,0.131995205046946,0,0,0,0.251041776877763,0,0,0,0,0,0,0,0.0265292888275168,0
X5.HK.EQUITY,0,0.157814269550471,0,0.164047464049456,0,0,-0.0505568953477976,0,0,0,-0.0269766241330736,0.00621958735556999,0,0,0,0,0,0,0,0,0.0785234957197982,0,0.270990464981821,-0.0265431171285817,0,0.226287517418948,0,0,0,0,0,0,0,0,0,0.166834398559138,0,-0.145805188883164,-0.0255637034769698,0,0,0,0,0.230806822773587,0,0,-0.179475554509914,0,0,0
X601166.CH.EQUITY,0,0,0.0136780078627153,0,0,-0.109978513084342,0,0,0,0,-0.092696009118481,0,0.531307765316195,0.0555655793989761,0,0,0,0,0.081062005993547,0,0,0,0,0,0.0627625203620781,0,0,-0.0824755061706632,0,0,0.113983641932562,0,0,0,0,0.0935423039533933,0,0,0.198215482944294,0.047070428582689,0,0.0452755795916481,0,0,0,0,-0.166599220830451,0.131557034729945,0,0
