,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.592022153885524,0,0.0452056347511134,0,3.46944695195361e-18,0.00129033744022244,0,0,0,0,0.0832864216246855,0,0,0,0.120252939394248,0,0,0,0,0,0,0,0,0,0,0,0,0.0752028727731338,0,0,0.0496596460016985,0,0,0,0.03005999258075,0,0,0,0,0,0,0,0,-0.0515423578507432,0,0,0
X601939.CH.EQUITY,0.200205600886105,0,0,0.540082741405054,0,0.00971422201513406,0,0,0,0,0.0903246950369992,0,0,0,0,0,0,0,0,0,0,0,0.0271406473720498,0,6.93889390390723e-18,0,0,0,0,0.0408983364455752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061300183726636,0,0,0,0.0233633617831609
X601318.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0.0164123293571203,0.0426847913468376,0,0,0,0,0,0,0.0813671952826594,0.30785083145299,0,0,0,0,0,0.0814722576200969,0,0,0,0,0,0.135707233313873,0.122674487891867,0,0.0556013399278598,0,0,0,0,0,0.0331686807376705,0,0.0871813853697158,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.13128514292409,0.290832743153053,0,0,-0.0225478867982309,0.0487306463945215,0,0,0,0,0,0,0,0,0,0.0398057469304794,-0.0394151079567214,0,0,0,0,0.209802039896263,0.201703078116132,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.079332683518328,0,0,0,0.117637008576614,0
X5.HK.EQUITY,0,0,0,0,0,0.1874805292136,0,0,0,0,0.158491712506993,-0.052586313305829,0.157082367539864,0,0.141085908862902,0,0.017926597590285,0,0,0,0,0,0,0,0,0,0.0699024540997553,0,0,0,0,0,0,0,0,0,0,0,0,0.13906010624591,0,0,0.292762884990295,0.0383377068686766,-0.837144697677282,0.274933489050713,0,0
X601988.CH.EQUITY,0.183248200235511,0.0910100201850846,0.055216327524266,0,0.0222877798535477,0,0,0,0.1206200157513,0,0,0.115336379660183,0.134014606766127,0,0,0,0,0,0,0.39391263772179,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0322792760916306,0,-0.0104427374663307,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.000118894252122443,-0.0380218740481309,0,0,0,0,0,0,0.675988240424142,0.130418278792395,0,0,0,0.00157863057010114,0,0,0,0,0.141650754546058,0.0171629151428944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.102904777714077,0,0.0452894600798327,0,0,0,0,0.158126782585012,0,0.23994785743739,0.106948850746608,0,0,-1.38777878078145e-17,0,0.381579571153922,0,0,0,0,0,0.0721332265010802,0,0,-0.173095559614544,0,0,0,0,0,-0.119460532163062,0,0,0,0,0,0,0.176195200499568,0,0,0,-0.244393755937166,0,-0.190647232047599,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609518,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.0293128476865222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.168364068581219,0,-2.77555756156289e-17,0,0,0.118668923348905,0.000655783991342473,0,0,0,0,0.257694600806862,0,0,0,0,0,0.24046447015007,0,0,0,0.0569801240545704,0,0,0,0,0,0.193547496403649,0,0,0,0,0,0,0.0191387569246852,0,0,0,0.00596904077707253,0,0,0,0,0,0,0,0
