,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601696.CH.Equity,X2891.TT.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.112598696429991,0,0,0,0,0,0,0,-0.0240153965422291,0,0,0,0,0,0,0,0,0,0.466859135412798,0,0,-0.150701519347385,0,0,0.260224483416078,0,0,0,-0.198793136693318,0,0,0,0,0,0,0,0,0,-0.152107497255889,0,0.0829613368736207,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,1.0842021724855e-19,0,0.0186531882103142,0.166075695942138,3.46944695195361e-18,0,0,0,0.0054897510073494,0,0,0,0,0,0,0,0.314200505215461,0,0,0,0,0,0.14181771077961,0,0,0,0,0.226357986478951,0,0,0,0,0,0,0.0887823842381947,0,0,0,0,0,0,0,0.0929825980197245,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.703509157471238,0,0.109478268639949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104612129997259,0.00286523451922983,0,0,0,0,0.0330395333943313,0.00249680123941863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422024069864011,0,0,0,0,0.123888857861961,0,0,0
X601288.CH.EQUITY,0,0,0.819058802364835,0,0,0,-0.048604932002005,0,0,0,-0.00364091263169757,0,0,0,0,0,0.0629461030142856,0,0,0,0,0,0.111563136963786,0,0,0.0159081368078042,0,0,0,0,0,0,0,0,0,0,0,0,0.0479887815422797,0,0,-0.0292040915267614,0,0,-0.0695894169733654,0,0.0802630348657168,0,0,0
X601988.CH.EQUITY,0.0853324964161457,0,0,0,0,0,-0.182414423774152,0,0,0,0,0,0.884208110386515,0,0,0,0,0,-0.182470710063491,0,0.0619552170428257,0,0,0,-0.0886176222907621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532835946904394,0.111403719256448,0,0,0,0,0.0116164057609728,0,0,0.228424490294405,0,-0.0173901629579001
X600036.CH.EQUITY,0,0,0.366978510154911,0.0765701252226141,0,0,0.0285934314148961,0,0.0546962227911909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727665987945881,0,0.0256225323011748,0,0.406088380967529,0,0,0,0,0,0,-0.0185231299151261,0,0.0350682592981456,0,0,0,0,0,0,0,0,0,0,-0.0658656907980148,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0591271064826577,0,0.748004554495053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348957983301183,0,0,0.282505419948245,-0.144946863645252,0,0,0.0677298210702842,0,0,0,0,0,0,0,0.0757562408119958,0,0,0.0742030661153164,0.0878180882455943,0,0,-0.052019353725787,-0.0497309208612985
X1299.HK.EQUITY,0,0.24784664399627,0,0,0,0,0,0,0.22814842133283,-0.059827040394702,0.158336726493912,0,0,0,0,0,0,0,0,0,-0.0554256710717128,0,0.312026820783313,0,0,0,0,0,0,0,0,0,0,0,0,-0.089549673046912,0,0,0,0,0,0.122924409316194,0.202428457736504,0,0.217160512288273,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.0387313482040669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625867085263047,0.0550022272282863,0,0.0866795414621438,0.189526006561437,0,0,0,0,0,0,0,-0.132108978069084,0,0.106843082587152,0,0,0,0,0,0,0,0,0,0.0888158194960849,-0.195811313191648,0,0,0
X601658.CH.Equity,0,0,0,0.219805030750847,0,0,0,0,0,0,0,0,0,0,0,0,0.129125466597706,0.141749267016689,0,0,0,0,0,0,0,0,0,0,0,0.186731171715822,0,0,0,-0.0215483264915782,0,0,0,0,0,0,0,-0.0152781764700864,0,0,0,0,0,0,0,0
