,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.550898206602891,0,0,0,0,0,0,0,0.0978409923249473,0,0,0.14216695566823,0.135692522038277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047305779512301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444623003632441,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.16608184093725,0.218936869858782,0,0,0.012487138623755,0,0,0.318029443690327,0,0,0.0520826006328859,0,0,0,0,0,0,0,0,0,0,0.0144691055312347,0,0.0634177018632385,0,0,0,0,0.098908676264267,0.0556230467163329,0,3.46944695195361e-18,0,0,0,0.139907635967132,0,0,0,0,0
X601939.CH.EQUITY,0.0755723796789366,0,0,0.574689108599015,0,0.0693522546213635,0.118318452650063,0,0,0.00211742090617695,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.189169807160572,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,2.77555756156289e-17,0.0299935503972036,0,0.0283027274830281,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.250056223258482,0.183340691158256,0,0.678950819704481,0,0,0,0,0,-0.13253407277017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220997457869812,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.105498061032345,0,0.413950953205295,0,0,0,0,0,0,0,0,-0.0773031938505021,0.0601425709118175,0,0,0,0,0,0,0.0415472646120138,0,0,0,0.246891594226124,0,0,0,0,0,-0.0984161545774188,0,0.0230035413847387,0,0,0,0,0.208688075006143,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,-0.0758197082204587,0.368991624063417,0,0,0,0,0,0,0,0,0,0,0,-0.30477104374947,0,0,0,0,0.321643241689621,0,0,0,0,0,0,0,0,0.189210314491465,0,0,0,0,0,-0.225521845361773,0,0,-0.130988308198885,0,0,0,0,0,0,0.436870187692036,0
X600036.CH.EQUITY,0,0,0,-0.000112136532481148,0,0,0,0,0,0.322177321667359,0,0.0554664592544388,0,0,0.170088162117811,0.173082329108108,0,-0.0902403738766147,0,0,0,0,0,0,-0.173024999339718,0,0,-0.123706496797387,-0.0246874229905146,0,0,0,0,0.405594161287136,0,0,0,-0.140091510886942,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.292135054880154,0,0,0.128837999774765,0,0,0,0,0,0,0,0,0.215004911332528,-0.0681948098631427,0.44853986440787,0,0,0,0,0,0,-0.0421661988815326,0,0,0,-0.0901800415749175,0,0,0,0,0,-0.167791051059902,-0.198171039660321,0,0,0,0,0,0,0,0,0,-0.0636913348097648,0,-0.0780086696446421,0,0
X601628.CH.EQUITY,0,0,0,0.0292205991047921,0,0,0,0,0,0,0,0.131643627077567,0,0,0.304256121225219,0,0,0,0,0,0,0,0,0,0,0,0.223755571502346,0,0,0.181858015981996,0,0,0.0889640214983808,0.097021121945242,0,0,0,0,0.0568570205763819,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0544199911759785,0,0,0,0.295032622204365,0,0,0,0,0,0.534505005789279,0,0,0.00337211973025148,0,0,0.183909020358142,0,0.26532419897973,0,0,0,0,0,0,0,0,0,-0.187244732904729,0,0,0,0.0330646731557154,0,0,-0.131179556706175,0,-0.0210571627305036,0,0,0,0,-0.0622409579458488,0,0,0
