,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.33778996754509,0,0.336020337294016,0,0,0,0,0,0,0,0,0,0,0,0,0.244549737561508,0,0,-0.0459254620303747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641561444471862,0,0.00594893773629952,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.00521421509378708,0,0
X601939.CH.EQUITY,0.41213874598649,0,0,0.0952097371611198,0,0,-0.134023068577173,0,0,0.0205958839904119,0,0,0.320083620467172,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337220022536944,0,0,0,0,0,0,0,0,0,0.129122271829531,0,0.0437390155417741,0,-0.0150007849420524,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285969483412368,0,0,0.132999957357338,0,0,0,0,0,0.202477127100614,0,0,0,0,0,0.119103064192308,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.477251360442327,0,0.033235056785708,0,0.153188363322904,0,0,0,0,0,0,0,0.0741302325667421,0,0,0,0,0.0765911024959896,0,0,0,0,0,0,0,0,0,0.049827985637775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736559263271088,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.134679833593014,0,0.320587921830988,0,0,0,0,0,0.271286478060495,0,0,0,0,0.185966638089135,0,-0.0197524217551168,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611346567254235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694917451459386,0,0
X600036.CH.EQUITY,0,0,0.00668417358820962,0,0,0,0,0,0,0,0,0.473931387405644,0,0,0,0.0512048721227458,0,0,0,0,0,0,0.0910330844194997,0,0,0,0,0,0,0,0,0.0613160513725354,6.93889390390723e-18,0,0,0,0,0,0.202319486076786,0,0,0,0,0,0.0026238715636058,0.0640164600057201,0,0,0.0293111332068703,0
X1299.HK.EQUITY,0,0,0,0.13483058880748,0,0,0,0,0,0,0,0,0,0.282541291326452,0,0.198215814198466,0,0,0,0.174625193642974,0,0,0,0.0392023497771131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199935396664207,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.137704247539715,0,-0.128191426046078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05989979550366,-0.664064247978254,0,6.93889390390723e-18,0.584351095561847,0,0,0,0,0,0.302274447016875,0,0,0,0,0,0,0,0,0.015803923157104,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0243617912122424,0,0,0,0.129907092281207,0.147432988839555,0,0.151070123912375,0,0,0.280109195770888,0,0,0,0,0,0,0,0,0.0379579873207478,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.103229910230283,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.104070149311436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354996906230869,0,0,0.314983648211393,0,0,0,0,0,0,-0.049984141052556,0,0,0.0897407378894474,0,0.299685455529887,0,0,0,0,0,0,-0.111972180948928,0,0,0,0,0,-0.309728836203034,0,0.231202439961678
