,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.223157009799253,0,0,0.137344483593128,0,0.336568279667279,0,0,0.0175586845858944,0,0.11139481656119,0,0,0,0,0,0,0,0,0,0.0330886211864734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021884877937057,0,0.0969454807866907,0,0,0,0,0.0190348762409453,0,0
X601318.CH.EQUITY,0.198098783983242,0,0,0,-0.0260324162262111,0,0,0,0.183986101513787,-0.012373662561182,0,0,-1.38777878078145e-17,0,0.358812089796909,0,0,0,0.0984404374274786,0,0,0,0,0.0753696524038679,0,0,0,0,0.0406260524748201,0,0,-0.0832947366036069,0,0,0,0,0,0.0111014371203972,0,0.226126446866563,0,0,0,0.0194740648314183,0,0,0,0,0,0
X601939.CH.EQUITY,0.228599538947159,0,0,0,0,0,0,0,0,0,0,0,0.480609949249419,0,0,0,0.0754815628136222,0,0,0,0,0,0,0,0,0,0,0,0.145393965192771,0,0,0,0,0,0,0,0,0,0,0.0433086828496426,0,0,0,0,0,0.00941064905923734,0,0,0,0
X601288.CH.EQUITY,0.349771542531597,0,0.0347070130734969,0,0,0.46628060921594,0.0301104471049804,0,0,0,0,0,0,0,0.0193504281459925,0,0,-0.0277953196203074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775993263225197,0,0,0,0,0,0,0,0,0,0.0389270144069439,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.379951768361706,0,0.0828246648186588,0,0,0,0,0,0,0,0,0,0.657859357995783,0,0,0.403877742469625,0.0525572227319461,0,0.0325591882930564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149864236382674,0,0,-0.110711062688832,0,0,0,-0.325704578106242,0,0
X601988.CH.EQUITY,0.175409966269195,0.103381691151794,0,0,0,0,0,0,0.104116777620533,0,0,0,0.14804986252301,0,0,0,0.0463243411866744,0,0.178184500089998,0,0.108882354397835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272948227420825,0,0,0,0,0,0,0,0,0,0,0.070812139192087,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219920902070078,0,0,0.288842074809218,0,0,0,0.155929750667761,0,0,0,0,0,0,0,0,0.0687030744238294,0,0.116704180906603,0,0,0.0534556912139858,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0821710345238283,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0664225190008847,0,0,-0.0498103029936372,0.0603099526901682,0,0,0.334026246033097,0.090704725594664,0,0,0,0.114422134318375,0,0,0,0.62514494424727,-0.0521778007601664,0,0,0,0,0.123544448685363,0,0,0,0,0,0,0,0,0,0,-0.120466468979461,-0.0908672998568003,0,0,0,0,0,0,-0.0818534998285651,0,0
X601628.CH.EQUITY,0.21480063163915,2.77555756156289e-17,0,0,0,0,0,0.217553019257489,0,0,0,0,0,0,0,0,0,0,-0.0761557784773367,0,0,0,-1.73472347597681e-18,0,0.0403717413739288,0.346112736157749,0,0,0.0534561534948296,0,0,0,0,0,0,0,0,0,0,0.167001624222115,0,0,0,0,0,-1.38777878078145e-17,0,-0.0199152089460529,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.203661900306431,0,0,0,0,0,0,-0.150235986063868,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.530705564645445,0,0,0,0,0,0.0271071650892263,0,0,0,0.172032757716814,0,0.369010570994605,0.0301356979257338,0,0,0,-0.477937127503389,0,0.463491831030496
X601166.CH.EQUITY,0,0,0.0754512097119754,0,0,0,0.386692275390059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392460535872961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476940044361381
X601328.CH.EQUITY,0,0,0,0,0,0.0518890431134211,0,0,0,0,0,0,0.401234105943667,0,0,0,0,0,0,0,0.344536070089064,0,0.0863407752835589,0,0,0,0,0,0,0,0,0,0,0,0,0.0435902097741099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605540478597313
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0701782757128789,0.342242296251211,0,0,0.0839808625626631,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.129304659403986,0,0,0,0.106461604105344,0,0.115008100675057,0,0,0,0,0,0.0959170041299826,0,0,0,0,0.0872072326875742,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.17732616502557,0.00630814437265623,0.0474927214561666,0,0,0,0,0,0,0,0,0,0.330152761833877,0,0,0,0,0,0,0,0,0,0,0,0.101925760654408,0,0,0,0,0,0.0211811477047036,0.0580772640975034,0,0,0,0,0,0,0,0,0.0434376303999632,0,0
X000001.CH.EQUITY,0,0.0432157167002006,0,0,0,0,0.0684884470068318,0,0,0,0.232640479297757,0,0,0.118487416063419,0,0.105780340255075,0,0,0,0,0,0.207371465127478,0,0,0,0,0,0,0.192730270271909,0,0,0,0.00203653003650472,0,0,1.38777878078145e-17,0,0,0,0,0,0.0777137839312488,0,0.0170966647955788,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.124650296952114,0,0,0,0,0,0,0,0,0,0,0,0.1507613780723,0,0,0,0,0,0,0,0,0.154119434765434,0,0,0,0,-0.193587433258563,0.494838907641196,0,0,0,0,0,0,0,0,0,0.0172980781390921,0,0.179351726660088,0,0,0,0,0,-0.0944006161523065,0,0
X601601.CH.EQUITY,0,0,0.214925697438318,0,0,0,0,0.120513868420321,0.165583780495163,0.011783731891434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0793038172011312,0,0,0,0,0,0,0,0,0,0,0,0.425134018750318,0,0,0,0.0248553527520352,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0118843349898945,0,-8.67361737988404e-19,0,0,0,0,0,0.0508127102798735,0,0,0,0,0,0.354237784782425,0,0,0,0.10207110834842,0,0,0,0.0806735053915889,0.00186088717607667,0,0,0.191899685528915,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.256162396668622,0,0,0,0,0,0,0,0,0,0,0,0.545831617245236,0,0,0,0,0,0,0.0659269850087974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320786105891164,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.0249919259986298,0,0,0,0,0,0,0.20882912917216,0,0,0,0,0,0,0.311525402525888,0,0,0,0.264245589811835,0,0,0,0,0,0,0,0,0.0921788126871108,0,0,0.0246855166141355,0,0,0,0,0,0,0,0,0,0,0,0,0.0365715282919841,0,0
