,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601997.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601066.CH.EQUITY,X002958.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600958.CH.EQUITY,X600928.CH.EQUITY,X388.HK.EQUITY
X601398.CH.EQUITY,0,0.108472562674909,0,0.199975798603331,0,0,0.117926092576509,0,0,0.0400024939760493,0.0907706336026853,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.326403936827546,0,0.0979724361115413,0,0,0,0,0.0130530580506183,0,0,0,0,0,0,0.0501080249701886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.182949004098786,0,0.0409601781492273,0.115390421695196,0,0,0.170244685570878,0.0122978803506004,0.146503405439681,0,0,0,0.0079901720418735,0.182784518851334,0,0,0,0,0,0,0,0,0.289132773548751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00228094600140795,0,0,0,0,0
X601288.CH.EQUITY,0.179132140749739,0,0,0.107643752215068,0,0,0,0,0,0,0,0,0,0.373667952960117,0.0577115360002645,0,0,0,0.0593793441302248,0,0,0,0,-0.0146720559188794,0,0,0,0.0704063367122972,0.0319854807356087,-0.0954856237706206,0,0.278109144957645,0,0,0,0.0109596413949176,0,0,0,0,0,0,0,0,-0.0659760059740856,0,0,0,0,-0.00619132613014904
X601988.CH.EQUITY,-8.67361737988404e-19,-2.77555756156289e-17,0.192585511360335,0,0,0.193526343708913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367365389825423,0,0,0,0,0,0,0,0.0352176028235909,0.36876376051413,0,0,0,0,0.0108555214187618,0,0,0,0,0,0,0,0,0,0,0,0.208605289206107,-0.117745322881957,0.234269661759648,0.0553820819389032
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.117050617749181,0,0,0,0,-0.185400407375827,0,0.00177144303186183,0.77515349323248,0,0,0,0,0,0,0.134377996512475,0,0,0,0,-0.136234358300983,0,0.0645817802429785,0,0,0,0,0,0,0,0,-0.123182630880993,0,0,0.354108833331075,0,0,0,0
X601658.CH.Equity,0,0.2546746713835,0,-0.0383424570747803,0,0,0,0.100265390784022,0,0,0.0995407108661812,-4.33680868994202e-19,0,0,0.296335772407287,0,0,0,0,0,0,0,0.0799017271817422,0,0,0,0,0,0,0,0,0.028078494756963,0,0,0,0,0,0,0,0,0,-0.0197845882777676,0,0,0,0,-0.00196076112900483,0,0,0
X601328.CH.EQUITY,0.404892691310764,0,0.21164092497429,0,0,0,0,0,0,0.0244360592289374,0.127891802873431,0.12202634914765,0,0,0.0544370823242297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0657196672849193,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0116899077517065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580297011421693,0,0,0,0,0,0,0,0.019289873335026,0,0.446267952180212,0,0,0,0.02831370800174,0,0,0.0493411504989817,0.0947037218577493,0,0,0,0,0,-0.0101110533167093,0,-0.0912621929286315,0,0.0819485040412574,0.200224636222349,0,0,-0.0600370117659566,0,0
X600036.CH.EQUITY,0.316921774820497,0.111353038798713,0,0.0393865131736927,0,0,0,0,0,0,0.0859178681741985,0.14306900364762,0,0,0,0,-6.93889390390723e-18,0,-0.0974670865145714,0,0,0.0608746614520775,0,0,0.432156181699114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465715275269807,0,0,0
X601166.CH.EQUITY,0,0.0876018563683761,0,0,0,0,0.301278200513097,0,0,0,0,0,0.11282704758422,0,0,0.00674415543777585,0.315048205239044,0,0,0,0.106428129177551,0,0,0,0,0.0194348602675883,0.0332912532945546,0,0,0,-0.0287864012784935,0,1.73472347597681e-18,0.0201745959919089,0,-0.0939878719697167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
