,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0.440818332481677,0.123280242541201,0.0535178485348482,0,0.198323297092873,0,0,0,-0.0695215363887759,0.050725645910292,0,0,-0.0528798881522072,0,0,0,0,0,0,-0.0065975741334652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185358807078348,0.0711314329005638,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.242134732463139,0,0,0.0390342760255229,0,0,0,0,-3.46944695195361e-18,0,0.182670809537918,0,-0.0634928543672869,0.327091526404742,0,0,0,0,-0.144056042915852,0,0,0.175913471994122,0,0,0,0,0,-0.0550707726504573,0,0,0,0,0,0,0,0,0,0.0120303149610412,0.090862043200128,0,0,0,0,0,0,0,0,0.0242276002597243,0,0
X601318.CH.EQUITY,0.0723059266514728,0,0,0,0.206564597458798,0.166782479356729,0,0,0,0,0,0,0,0,0,0,0,0,0.161333996722593,0,0,0,0,0.114033338683535,0,0,0,0,0,0,0,0,0,0,0.0162602342193695,0,0,0,0,0,0,0.0189582124680473,0,0,0.14125038125914,0,0,0,0,0
X601288.CH.EQUITY,0.176559920558927,0,0,0,0.385753619553322,0,0,0,0,0,0.189047547160905,0,0,0.108647188071764,0,0,0,0,0,0,0,0,0,0,0,0,0.0815507875002542,0,0,0,0,0,0.0847235089552934,0,0,0.0292266441187129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0359269832070931,0,0.400157601783678,0,0,0,0,0,0.338156392751535,0,0,0,0,0.135322806222955,0,0,0,-0.0302431508734927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313787970297135,0,0,0,0,0,0,0,0,0,0.104282063423078,0,0.10481224919974,0,0.060801707625127
X600036.CH.EQUITY,0,0.0720181391316141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868026183994763,0.0227723932674137,0,0.265474005236342,0,0,0,0.0440333597921235,0,0,0.264659903671359,0,0,0,0,0.0900161747721674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418447477614321,0,0,0,0.161319912229039,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.189048034079879,0,0,0.170200858224085,0,0,0.0285445951990127,0,0.187349477161961,0,0,0,0,0.230210036483699,0,0.260688880268071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189554110323236,0,0,0,0,-0.415908045007779,0,0.772916950396229,0.533049878746907,0,0,0,-0.114167846466936,0,0,0,0,-0.158542173017879,0,-0.0686899647258844,0,0,0.0982982196682005,0,0,0,0.420393667518546,-0.209948309102822,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.186871437753647,0,0,0,0,0,0,-0.179485493051874,0,0,0,0,0,0.177144058152648,0,0,0,0,0,0,0,0,0.0431034145612382,0,0,0.309424417093782,0,0,0,0,0,0,0.144197308176875,0,0,0,0,0,0,0,0,0.0952491791942547,0,0,0
X601658.CH.Equity,0,0.0549666525628945,0,0,0.207999191099993,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.118502030684699,0,0,0,0,0,0,0,0,0,0,0.2004244883675,0,0,0,0,0,0,0,0,0.0591379084210977,0.0900016557769105,0,0,0,0.413078802692727,0,0.131354795063253,0,0,0,0,0
