,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600926.CH.EQUITY,X600918.CH.Equity,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X601788.CH.EQUITY
X601398.CH.EQUITY,0,0.0875990058161805,0,0.202076012600843,0.108845410827642,0,0.364190190481754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472052237386469,0,0,0,0,0.0556165080838183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084065233571223,0,0.0307037581546,0,0
X601318.CH.EQUITY,0,0,0,0.101542127207973,0,0.0299786774769713,0,0,0.164843959442481,0,0,0,0,0,0,0.0887715261615853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110554673830035,0,0,0,0,0,0,0,0,0,0.0583366779472461,0,0,0.0289266005336243,0,0,0,0,0.156790580703077
X600036.CH.EQUITY,0,0,0,0,0,0.125197696494794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314027524344637,0.116178622687131,0,0.128308432857299,0,0,0,0,0,0,0,0,0,0,0,0,0.318535273558918,0,0.192344179464623,0,0,0.0983586454930756,0,0,0,0.0835184095759919,0,-0.00417357424600499
X601939.CH.EQUITY,0.601115153225074,0,0,0,0,0,0,0.00622538236597938,0.243564552773163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617319348948065,0,0,0,0.0975963574831138,0,0,0,0,0,0,0,0,0.113603129752567,0,0.0690732989911006,0,0,0,0,0.0784620286758327,0,0,0,0
X601288.CH.EQUITY,0,0.0655282581033858,0,0.245226475426674,0,0,0.427626371029202,0,0,0,0,0,0.000476232434264009,0,0,0,0.0728889556767911,0,0,0.0114199860187332,0,0,0.0853262394224476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013203019619798,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.305290256350284,0,0,0,0.203847708566224,0,0,0,0,-0.0926880925687905,0,0,0,0,0,0.0855723965223636,0,0,0.0933100207606055,0,0,0,0,0.233273318676204,0,0,0,0,0,0,0,0,-0.0638706129806261,0.135828232869846,0,0,0,0,0,0,0
X601988.CH.EQUITY,3.46944695195361e-18,0,0,0,0.51330434718278,0,0,0,0,0,0,0.0747184447985059,-0.124314915170168,-0.019143011829518,0,0,0,0.0548665910163707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177376606203793,0,0,0,0.0747331788981772,0,0,0.00440663418672599,0,0,0,0,0,0,0,0,0.00557997730070577,0.251212762791445
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196466264935741,0.021616378280349,0,0,0.0198574864444135,0,0.105781221326416,0,0,0,0.0778689068012715,0.224070965928379,0.0188650073401057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432443533714391,0,0,0.165546521892052
X5.HK.EQUITY,0,0.217983142873336,0,0.133693877669697,0,0.0141221672046909,0,0,0,-0.0584793723615792,0,0.0387256034155062,0,0,0,0,0,0,0,0,0,0.281426851407266,0,0,0.154344147800783,0,0,0,0,0,0,0,-0.0814166863729256,-0.100717755275454,0,0.164117729748109,0,0,0,0,0,0,0,0,0.115638001735324,0,-0.143165060798065,0,0,0
X388.HK.EQUITY,0,0,0,-0.0411668934928244,0,0,0,0,0,0,0,0,0,0,0,0.227460917239414,0,0,0,0,-0.0764041929210808,-0.220559503849582,0,0,0,0,0.020574222956152,-0.358261350102878,0,-0.2520083615231,0,0.235515187115628,0.0224231180030193,0,0,0,0,0.340569017694156,0,0,0,0,0,0.249181894685889,0,-0.0333302442069413,0,0,0,0.0808427186639577
