,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.425821006818765,0,0,0,0,0,0,0.216214664865747,0.0788061140677641,0,0,0.190905587520339,0.0757413480308531,0,0,0,0,0,0,0,0,-0.00785632715504939,0,0,0,0.0749438953305026,0,0,-0.0170365819613877,0,0,0,0,0,0,0,0,0,0,0,0,0.0590673664454156,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,-3.46944695195361e-18,0.0554161903809359,0,0.0130919747872837,0,0,0,0,0.316970963974519,0.0876583509058998,0,0,0,0,0,0.0900232971982374,0,0,0,-3.46944695195361e-18,0,0.115673228564332,0,0.131626705242792,0.0525624396342294,0,0,0,0,0,0.0288365418489672,0,0.08327816231524,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.283833978342938,0,0,0.414954385748203,0,0.0114951500969298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351732880777,0.032549801061566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521377345969101,0,0,0.0598272572371576,0
X601288.CH.EQUITY,0,0.051196000016306,0.362287704218568,0,0,0,0,0,0,0.0906735662215359,0,0,0,0,0,0,0,0,0,0,0,0.200617844817308,0.221879983687036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0348672308724317,0,0,0,0,0.0363236336276587
X5.HK.EQUITY,0,0,0,0,0,0.184281538219494,0,0.181905857429366,0,0,0,0,0,0,0,0.200521120002083,0,0.0590828072290882,0,0,0,0,0,0.208483315775075,0,0,0,0,0,0,0,0,0,0,0.110545486079141,-0.088630375557406,0,-0.00987390973377004,0,0.408306180817107,0,0,0,0,0,0,0,-0.0154112781124771
X601988.CH.EQUITY,0,0,0,0,0.204164373202138,0,0,0.249575839371354,0.101131543709234,0,0,0,0,0,0,0,0,0,0,0,0,0.0377309943676569,0,0,0,0,0,0,0,0,0,0.193428467143234,-0.0687891784834043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349772969527359,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00406735192708958,0,0,0,-0.045394917605194,0,0,0,0,0,0.67724049426957,0.130053094180326,0,0,0,0,0,0,0,0,0.151166422457582,0.0201880554757103,-0.0335723363088181,0,0,0,0,0,0,0,0,0,0,0,0,0.0261523188216104,0
X1299.HK.EQUITY,0,0.163998169644862,0,0,0.21605368667576,0,0,0,0,0.0613063878681546,0.0354228498224871,0,0,0.274583785499596,-0.0939165037366793,0,0,0.215796533996629,0,0.107771153157893,0,0,0,0,0,-0.0361648631709013,0,0,0,0,0.340066139608026,0,-0.0966925718844128,0,0,0,0,0.105753836551629,0,0,0,0,0,-0.460892028594003,0,-0.275007684277061,0,0
X601628.CH.EQUITY,0,0.161461154250724,0,0,-0.0180223243057994,0,0.0021566507644438,0,0,0,0,0,0,0,0.118087796695733,0,0,0,0,0,0,0.128529127154013,0,0,0,0.350240962948551,0,0,0,0.190186526090173,0.0126918221778504,0.0267628058686916,0.0456258792893251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.117090047455546,-3.46944695195361e-18,0.100535015568609,0.0735198797526185,0,0,0.042099173111215,0,0,0,0,0,0.217883250669292,0,0,0,0,0,0,0.335887483207077,0,0,0.0209530578686799,-0.0186571752222021,0,0,0,0.160220890214799,0,6.93889390390723e-18,0,0.00699954102605364,0,0,0.0892191635223327,0,0,0,0,0,0,0,0,-0.0336853710626737,0,0.0206000499861723,0,0
