,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.070578318688867,0.239382298469756,0,0,0,0,0.42971192023173,0,-0.16203027264685,0,0,-0.147254264791129,0,0,0,0,0,0.788264868531413,0,-0.0959755401645088,-0.00980219531307344,0,0,0,0,0,0,0,0,0,0,0,-0.0283914575180987,0,0.00237513866332374,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0961525086184502,0.252112025372461,0.030665698882495,0,0,0,0.0803773118644187,0,6.93889390390723e-18,0.0572030072949233,0,0,0,0,0.0274545118600644,0,0,0,0.170989261648279,0,0,0.141521387308064,0.086138880782225,0.0335636244652046,0,0,0,0,0,0,-0.0147538806821187,0,0,0,0,0.131279428982273,0,0,0,0,0
X601939.CH.EQUITY,0.467680407441212,-0.0755535869556349,0,0,0,0,-0.0628475083032821,-0.0487704167378843,0,4.33680868994202e-19,0,0,0,0,-0.0485140493702389,0,0,0,0,0.136738082716628,0,0,0,0,-0.113486285285274,0,0,-0.107213919459113,0,0.636587894743672,0,0.0977725666551969,0,-0.0243929658852083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0782820559188001,0,0,-0.165174550485992,0.0557936462717336,0,0.61627407585181,0,0,0,-0.231117560195954,0,0,-0.344371135523168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899666973567289,0,0,0,0,-0.23267537288496,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.057021006891948,0,0.349316442288593,0,0,0.075084775138084,0,0,0,0,0,0,0,0,0.00602120702970393,0,0.138972939338555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582730292466286,-1.73472347597681e-18,0,0,0.18169738319992,0,0,0,0,0,0,0
X601988.CH.EQUITY,-0.229674850111366,0,0,0,0.0501172428059152,0,0,0.266326533121923,0,0,0,0,0,0,0,0,0,-0.19453799490926,0,0,0,0.501455227260686,0,0,0.0500476486199325,0,0,0,0,0,0,0,0,0,0,0,-0.0455729395761992,0,0,0,0,0,0,0,0,0,0.374843081157828,6.93889390390723e-18
X600036.CH.EQUITY,0.0588862943328642,0.236526978207428,0,0,0,0,0,0,0,0.260854560862771,0,0,0,0.142696148916236,0.122015783884074,0,0,0.11448182461493,0,0,0,0,0.132305414416947,0,0,0,0,0,-0.0606746007556629,0,0,0.400831382330143,0,0,-0.0222723028828418,0,0,0,0,0,0,0,0.238012741237748,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0815925013165703,0.460881178728146,0,0,0,0.181683199639977,0,0,0,0,0.0164715256949818,0,0.10328220497512,0.113074767664132,0,0,0,0,0,0,0,0,0,0,-0.0726374854495787,0,0,0,-0.0162616641597398,0,-0.149219392594462,0.101646241642578,0,0,0,0,0,-0.108668909601402,0,0,-0.169551689252475,-0.0011420722393162,0,0,0.149156572449186
X601628.CH.EQUITY,0,0.105884408994666,0.0181366699420479,0.080625314371592,0,0,0,0,0,0,0,-0.0416570443550823,0,0.286526354237563,0,0,0,0,0,0,0,0.136998616474561,0,0,0.210129563667616,0,0,0,0,0,0.181051247151435,0.0268455744362879,0,0.0826574444692646,0,0,0.0199356240942704,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.585431152003579,0,0,0,0,0,0,0,0,0,0,0.259471534869957,0,0,0,0,0,0,0,0,0,0,0,0,0.0140498357680321,0,0,0,0,0,0,-0.182823281813709,0,0,0,-0.264718531759014,0,0,0,6.93889390390723e-18,0,0
X601166.CH.EQUITY,0.120976314545782,0,0,0.239287771193564,0,0,0,0,0,0,0,0.383911887257725,0,0,0,0,0.0571287795862278,0,0,0,0,0,0,0,0,0,0,-0.0338698795959184,0.0293935486991075,-0.0212437552813588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444621274806912,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.018388230276908,0,0.14771401767848,0.115638132866433,-0.0776371071148423,0.327738788349102,0.380783805850047,0,0,0,-0.0725912915453822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09648807856661,-0.0444279016151995,0,0,-0.0439803740773076,0.272077928023821,0,-0.13792738820495,0,0,0,-0.0174397153803452,0,0,0.146727342376715,0.0185272524921402
X601319.CH.EQUITY,-0.0141719732488507,0,0,-0.0314322300301819,-0.0727993129848378,0,0,0,0,-0.00242649320475346,0,0,0,0.135565696592132,0,0,-0.00696947874290312,0,0,0,0,0,0,0,0,0.19079157286517,-0.0592518376523793,0,0,0,0,0,0.657649574364157,0,0,0,0,0.159289755760087,0,0,0.05889468546102,0,0,0,-0.168601087238979,0,0,0
X601601.CH.EQUITY,0,0.0961327971027273,0,0,0,0,0.153203291396297,0,0.405625174774165,0,0,0,0.0140997206085683,0,0,0,0,-0.0787944601882421,0,0.0489633044092658,0,0,0,0,0,0,0,0,0,0.126259825723611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325516694660789,-0.0452016441095087,0,0,0
