,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X601696.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.461122144201314,0,0,0.0716370245771274,0,0.133285221068145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147216518397648,0,0,0,0,0,0,0,0.213068623241935,0,0,0,0,0.0138652742212975,0,0,0
X601939.CH.EQUITY,0.137541532329668,0,0,0.022390829400894,0.0895162886413804,0,0,0,0,0,0,0,0.290834723667998,0,0,0.376157230589649,0,0,-0.118098195991434,0,0.0195119032447451,0,0,-0.0848507020085427,0.0124065148277972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738702796336855,0,0.105648064067332,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0177621727548259,0,0.105682904387977,0.106147165592896,0,0,0,0,0,0,0.121835387296144,0,0,0,0.15708122170397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316969803017004,0,0,0,0,0,0,0,0,0,0,0,0,0.0995102694170783,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.385868793391317,0.0306084252321862,0,0,0.357993686410612,0,0,0,0,0,0.0988057267565998,0,0,0,0.0533885955299616,0,0,0,0,0,0,0,0,0,0.0193649463962347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345059806385071,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0958066659947672,0.242855597165079,0,0,0,0,0,0,0,0,0,0.107685724551849,0,0.0611666594468682,0,0.121265952754319,0,0,0,0,0,0,0,0.000890448711631311,0,0,0,0,0,0,0,0,0.133182814240278,0,0.119258904038014,0,0,0,0,0.0636516107256058,0,0,0,0,0,0,0.0743807200263916,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.146683957193965,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.378073034408942,0,0.0318445302733477,0,0,0,0.130112402114753,0,0,0,0.596900230782337,0,0,0,0,0,0,0,-0.227746626711695,0,0,0,0.152579403036437,0,0,-0.225050706699209,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.011789474704259,0,0,0,0,0,0.357969301376213,0,0,0,0,0,0,0.0337983975654915,0,0,0,0,0.108509764483504,0,0,0,0.148052982951658,0,0,0.0546033544409656,0,0,0,0,0,0,0,0,0.198131805832045,0.0694566828774089,0,0,0.0421565297020084,0,0,0,0,0.000959628126676879,0
X1299.HK.EQUITY,0,0,0,0,0,0.146008296072299,0,0,0,-0.00708418365105251,0,0,0,0,0,0,0,0,0,0,0,0.0320365744129012,0.53585255943762,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167230040805938,0,0,0,0.28569853741112,0,0,0,0,0,0,0,0.192518578791687,0
X601628.CH.EQUITY,0,0.309387898320897,0,0,0,-0.0610956511194813,0,0,0,0,0,0,0,0,0,0,0,0,-0.011906641711909,0.192200302701669,0.153280694953332,0,0,0,0,0,0.0689231023945133,0.0519723792575103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141641335597433,0,0,0,0,0.0483935519825447,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.0604095511187205,0,0,0,0,0,-0.372789206850434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939017140663494,0,0,-0.10793945482596,0,0.339603986263014,0,0,0,0,0,0,0.814109058617416,0,0,-0.0182096894962291,0,0.0789152237811116,0.541787645615484,-0.0612067291427672,0
X601328.CH.EQUITY,0,0,0,0.238158533243597,0,0,0,0,0,0,0,0,0.239857851271918,0,0,0,0,0.0263516925261539,0,0,0,0,0.203904647938517,-0.0322671319730789,0,0,0.117256310444041,0,0,0,0,0.0701506526705778,0,0.179944289218378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0846709447537393,0,0,0.180485899463631,0,0,0,0,0,0.115621673749059,-0.00791602654162272,0,0.00755334586210093,0,0,0,0,0,0,0,0,0.275007609555866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427817107073005,0,0,0.038995453045218,0,0,0,0,0.296087128784971,0,0
X600000.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.474001091091086,0,0.0909693116527972,0,0.0336571098804038,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.278957530539299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11136130728987,0.277577209934172,0,0,0.0179578588295523,0.0118254735732649,0,0.114324234143377,0,0,0.262019800230615,0,0.0939773046039764,0.00796682127835347,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.109021623592892,0.0884590509811366,0,0,0.0208633395269531,0,0,0,0,0,0.0478176369347296,0,0.185803331034943,0,0,0,0,0,0.0744582214250266,0.0293727508067025,0,0,0,0,0.00234662509032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295930743835319,0,-0.0485670979573284,0,0,0,0.158286223351278,0
