,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27655691858076,0,0,0,0,0,-0.00386255582634414,-0.260842483239088,0.191936858710569,-0.103972136259837,0,0,0,0,0,0.81637986116215,-0.307508951817577,0,0,0.209747803783868,0,0,0,0,0,-0.0540508642928936,0,0,0,0,-0.0842041296129845,0,0,0,-0.00863041493017153
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.00929526492830291,0.0746919606696243,0.0281170765199761,0,-0.0076658758151898,0.0637715942692435,0,0,0,0,0,0.117881502938239,0,0,0,0,0,0,0.431415044750605,0,0,0,0,0,0,0.0780532657501926,0,0,0,0,0,0.0320617637720162,0,0,0,0.0259052590703641,0.0247294607192106,0,0,0,0.165058719462902
X601939.CH.EQUITY,0.291071038754018,0,0,0,0,0,0,0,0,0,0.0834264434915668,0,0,0,0,0.108711221691432,0,0,0,0,0,0,0,0,0,0,0,0.431401047739376,0,-0.0588135712600168,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.248080102959839,0.202315118061615,0,0.751782015556729,0,0,0,-0.368246058428912,0,0,0,0,0,0,-0.00167208303370185,0,-0.428960603519173,0,0,0,0,0,0,0.169776447208507,0,0,0,0,0.293920971898993,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.240440734914412,-0.292739355376237
X5.HK.EQUITY,0,-0.0995402325485138,0,0,0,0.00239981866624699,0,0,0,0,0,0,0,0,0,0.069096487419434,0,0,0.101331823497166,0,0.175712124045319,0,0,0,0,0.103154630195579,0,0,0,0,0,0,0.139316617869018,0.167174305727657,0.0761499370865778,0,-0.127428989199113,0,0,0,0.0856780442823691,0,0,0,0,0,0.24016440256695,0.203988808864636
X601988.CH.EQUITY,-0.132871591274712,0,0,0,0.477239577537656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39951469841713,0,0,-0.0687017935582891,0,0,0,0,0,0,0,-0.151947552456354,0,0.0485385024807456,-0.16889503159854,0,0,0,0,0,0,0,0,0,0,0,0.0718248778094201,0,0.295710993699717,0
X600036.CH.EQUITY,0,0.248975775969155,0,0,0,0,0,0,0,0.275586665414562,0,0.27143403411808,0.0172882444832221,0,0,0,0,0,0,0,0,0.0668195689685396,0.142143810514266,0,0,0.125070707494105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0999069152895893,0.206007924331262,0,0.0482429072488381,0,0.0385289131711128,0.227848625971233
X1299.HK.EQUITY,0,0.0540455535913667,0,0,0,0,0,0,0.109301609445545,0,0,-0.0163699552933563,0,0,-8.67361737988404e-19,0.0901188633324985,0.213911319290258,0,0,0,0,0,0,0.0026585422411195,0,0,0,0,0,0,0,0.288724147070028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0639724792227105
X601628.CH.EQUITY,0,0.135167567340906,0.0299397395222994,0.081096012689055,0,0,0,4.33680868994202e-19,0,0,0.0199575427272499,0,0.40943324151134,0,0,0,0,0,0.064029536820999,0,0,0,0,0,0,6.93889390390723e-18,0.214931733333996,0,-0.00945044082185191,0,0,0.00835962101031172,0,0,0,0,0,0,0.0522995102806323,0,-0.0639294558295187,0,0,0,0.00357569165295768,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.590856955572406,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0469625654513221,0,0,0,0,0,0.136539198410765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0142303079500695,0,0,0.307427072932055,0,-0.0609109822033292,0,0,0.00829588927555335,0,0,0.369731120014257,0,0,0,0,0.0659624453976618,0,0,0,0,0,-0.0521737528989068,0,0,0,0,0,0,-0.04794558243802,0,0,0.0193747810370309,0,0,0,0,0,0,0,0,0,0,0.262832831396539,0,0,0,0.12648660020678
