,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,-0.315910308142039,0,-0.241461197279643,0,0,0,0,0,0,0,0,0.783541372167375,0,0,0,0,-0.0398853597715381,0,0,0,-0.117574704889645,0,0,0,0,0,0,0,0.703347987907708,0.000753058057228285,0,0,0,-0.207458356056857,0,0,0,0,0,0,0,0,-0.0933897574298114,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0.0141969293535698,0.0330772274228361,0,0,0,0.293976606892197,0,0,0,0,0,0,0.0668285915709433,0,0,0,0,0,0,0.378763943866576,0,0,0,0,0,0,0,0,0,0,0,0.0989373675918295,0,0,0.0381760436167882,0,0.00594595221208467,0,0,0
X601939.CH.EQUITY,0.13532941092037,0,0,0,0,0,0,0,0,0,0,0,0,-0.242662802955358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468697784932519,0,0,0,0,0,0,0,0,0,0,0,0,0.0219340986635293,0,0,0.451895460964184,0.0841444815536894,-0.0502480009598901,-0.0422763746004005
X601288.CH.EQUITY,0,0,0,0,0,0.343260685215474,0,0,0.17704598105042,0.0548375003203397,0,0,0,0,0,0,0,0,0,0,0,0,0.188503806188007,0,0,0,0,0.132379061859423,0,0,0.0506520653232011,0,0.075788068462894,0,0,0,0,0,0,0,0.0724081844391578,0,0,0,0,0,0,0.00556540001282849
X5.HK.EQUITY,0,0,0,0,0,-0.0499163081705253,0,0,0,0,0,0,0,0,0,0,0,0,0.027823393921025,0,0,0.411309072233404,0,0,0,0,0,0,0,0,0.0547287263961851,0,0.0753586223834877,0,0,0,-0.110485986311511,0,0,0,0.342833449096297,0,0,0.110998211383175,0,0,0.0740948784044481,0.0369411410432656
X601988.CH.EQUITY,0.17849868270739,0,0.0291581043665361,0.616089653391893,0,0,0,0,0,0,0.132178839244681,0,0,0,0.0805626303941733,0,0,0,0,0.000104164404414952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136053521851774,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.168922471400763,0,0,0,0,0,0,0,0.127039051634301,0.0992702576358094,0.317820568593621,0,0,0,0,0,0.0857590942292275,0,0,0,0,0.143703506797187,0,0,0,0,0.0451061167875163,0,0,0,0,0,0,0,0,-0.110366777188923,0,0,0,-0.0164392367559457,-0.0946077606394243,0.294020907801953,0.0261007312087068,0,0,0.236120352530628,0
X1299.HK.EQUITY,0,0.250514429868072,0.037096135124387,0,0,0,0,0,0,0,-0.051594082729449,0,0,0,0.321872388930297,0.233128622317521,0,0.29999540717264,0,0,-0.185945742423515,0,0,0,0,0,0,0,0,-0.158350558035308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0118294220697609,0,0,0,0,0,0,0,0,0.126403413518946,0,0,0.296755638791696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24585104612213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115232492339538,0,0.0236812470517951,0,0,0,0
X601328.CH.EQUITY,0,0.184432309325634,0.0708190364853004,0.382465615984698,0,0,0.0438750595312366,0,0,0,0,0,0,0,0,0.197243053987719,0,0.157962749309058,0,0.0389484544873268,0,0,0.129822872494078,0,0,0,0,0,0,0,0,0,0.139984464292102,0,0,0,0,0,0,0,-0.0944873021507962,-0.473730463033547,0,0.0330828099856368,0,0,0,0
