,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.240844602812956,-0.0683570761017764,0,0,0,0,0.427162456929558,0,-0.185382949015268,0,0,-0.133797539906775,0,0,0,0,0,0.773167069682207,0,-0.092733377153599,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0223225994860278,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.16538599585691,0.0218836683054026,0,0,0,0.200701109827324,0,0,0.0703076947071473,0,3.46944695195361e-18,0,0,0.0495879970783603,0,0,0.13666266137112,0,0,0,0.15335432138298,0.0452016083988027,0.00518263196718868,0,0,0,0,0,0,0,0,0,0,0,0.0802814797742414,0,0,0,0,0
X601939.CH.EQUITY,0.4384770041017,-0.126618482093292,0,0,0,0,0,-0.0661630140021001,0,0,0,0,0,0,-0.0694087415923219,0,0,0,0,0.138958966602596,0,0,0,0,0,-0.109059833432,0,-0.0968137198314429,0,0.633172133329343,0,0.105245805970467,0,-0.043740337484931,0,0,0,0,0,0,0,0,0,0.0139323759267734,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.298814467572904,0,0,0,0.0601615619952462,0,0.711434855096196,0,0,0,-0.240273478016971,0,0,-0.267424340211191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137299004323114,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.080892536832902,0,0.36204487208891,0,0,0,0,0,0,0,0,0.0523874083161373,0,0,0,0,0.0796733627297364,0,0,0,0,0,0,0.225303430013518,0,0,0,0,0,0,0,0.0396334759548853,0,0,0,0.278503760590673,0,0,0,0,0,0,0
X601988.CH.EQUITY,-0.333881009764971,0,0,0,0.0483595097992038,0,0,0.278515334540532,0,0,0,0,0,0,0,0,0,-0.217372415864366,0,0,0,0.727499680100023,-0.280344987015983,0,0,0,0,-0.0192935983067975,0,0,0,0,0,0,0.00686639256769778,0,0,0,0,0,0,0,-0.0222156440519986,0,0,0,0.523443404555777,0
X600036.CH.EQUITY,0.193420776788655,0.0616374019011537,0,0,0,0,0,0,3.46944695195361e-18,0.344905292351266,0,0,0,0.178060877670896,0.144248392458927,0,0,0.181461014659425,0,0,0,0,0.153568343803237,0,0,0,0,0,-0.311266119202799,0.0753406165181837,0,0.246987135573813,0,0,-0.0876902119512689,0,0,0,0,0,0,0,0.220925820088996,0,0,0,0,-0.032006608474363
X1299.HK.EQUITY,0,0,0,-0.0585890993985074,0.459341154265484,0,0,0,0.200899113766607,0,0,0,3.46944695195361e-18,0,0,0.137520424919308,0.0999798762785158,0,0,0,0,0,0,0,0,0,0,-0.0474708972088672,0,0,0,0,0,-0.147077752359258,0.0507026289818484,0,-0.00218018000943012,0,0,0,-0.0977258863984802,0,-0.0187111770289593,-0.170093080102178,0,0,0,0.152962803019657
X601628.CH.EQUITY,0,0.112597323138038,0.00336119250926969,0.0732731533476536,0,0,0,0,0,0,0,0,0,0.234839496222981,0,0,0,0,0,0,0,0.116080432313438,0,0,0,0.210710487426736,0,0,0,0,0.159779577337839,0.080416175887446,0,0.115397794102732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.569035498571589,0,0,0,0,0,0,0,0,0,0,0.259162240066253,0,0,0,0,0,0,0,0,0,0,0,0,0.0140195404016931,0,0,0,0,0,0,0,-0.182126466385909,0,0,-0.264807478379963,0,0,0,0,0,0
