,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X601901.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0.559548361728197,0,0.131817508825848,0.00476484662042642,0.0879323861337542,0,0,0,1.38777878078145e-17,0,0.0235641750322655,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0290816632927741,0,0,0,0.0536030487328467,0,0,-0.0825152033366672,0.141632317269653,0,-0.0135266313729631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.236872359132814,0,0,0.498788327307694,0,0.00708854033004291,0,0,0,0,0.11244015452014,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006747084941136,0.06663589453045,0,0,0,0,0,0.0434906013759181,0,0,0,0.0469784121129483
X601318.CH.EQUITY,0,0,0,0,0,0,0.016378319423111,0.0421606084549769,0,0,0,0,0,0,0.0819286762454247,0.306766935662929,0,0,0,0,0,0.0816487689954095,0,0,0,0,0,0.124111732552055,0.137057302769384,0,0.0559404817370825,0,0,0,0,0.0333296801794756,0,0.0880339916007953,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.124121222179452,0.339809880637432,0,0,-0.0654143040536233,0,0,0,0,0.131049805684395,0,0,0,0,0,0,0,0,0,0,0,0.203207490024674,0.133231962908457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167167533033933,0.0174358517109754,0,0.0329927588132477,0,0
X5.HK.EQUITY,0,0,0,0,0,0.192431587250997,0,0,0,0,0.205741514230471,0,0.136733510054412,0,0.142408736719743,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0480987497299343,0,0,0,0,0,0,0,0,0.144980271599219,0,0,0.318324681653984,0.0463660115826007,-0.847752218616352,0,0.260063668046483,0
X601988.CH.EQUITY,0.0904449739931258,0.171345913007441,0,0,0.0173504602388272,0,0,0.0404167981549006,0.0223844159339229,0,0,0.0896256359467423,0.162561080020533,0,0,0.156453163819702,0,0,0,0.391927636932749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315705190411854,0,-0.0407558199996885,0,0,0,0,0,0,0,0,-0.0131741403226162
X600036.CH.EQUITY,0,0,0,0,-0.0488450418108995,0,0,0,0,0,0,0,0,0.00602575108577784,-0.0364238428274298,0,0,0,0,0,0,0.731951525339221,0.093442808248978,0,0,0,0,0,0,0,0,0.150587424434918,0.0339831388498785,0,0,0,0,0,0,0,0,0,0,0.0169011126171196,0,0,0,0.0259542694122143
X1299.HK.EQUITY,0,0,0.411540528753661,0,0.167807574916505,0,0,0,0,0,0,0.345359713030688,0,0,0,0,0.119106415507723,0,0,0,0,0,0,0,0,0,-0.140455364415031,0,0,0,0,0,-0.216755656269233,0,0,0,0,0,0,0.00207981107665632,0,0,0,0,0,0,-0.00365865613841582,0
X601628.CH.EQUITY,0,0,0.217416334255647,0,0,0,0.0305834012112424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504687146785545,0,0,0,0,0.403608631071101,0,0.233031312752442,0,0,0.029289583233336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.167661713226919,0,0,0,0,0.118846084409569,0.000651426792396479,0,0,0,0,0.259937370739953,0,0,0,0,0,0.242725470531058,0,0,0,0.0575126654881958,0,0,0,0,0.196516794999058,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0196335436732937,0,0,0.00601377862489819,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0740758413035688,0.216384519185265,0,0,0,0,0.2053945143706,0,0.112536056828297,0.00819680239637117,0,0,0,0,0,0.140138016051246,0,0,0,0,0,0.0201658014137322,0,0,0,0,0,0,0,0,0.081976974304197,0,0,0,0,0,0,0,0,0,0,0,0,0.0587838963434831,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083664832515217,0.219675498520978,0,0.0107680675332001,0.643635185436211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263172592917667,0.0333768084583812,0,0,0,0,0.167176881401842,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.141297670822046,0,0.00367835518148373,0,0.363003077754611,0.0991226531406949,0,0,0,0.0411060547711346,0,0.0298548518359829,0,0,0,0,0,0,0,0,0,0.217490162019393,0,0,0,0,0,0,0,0,0,0,0.0493483099304999,0,0,0,0,0,0,0,0,0.025038278963841
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.258904090303297,0,0,0,0,0,0,0,0,0,0,0,0,0.259809878052289,0,0,0.586346196311064,0,0,0,0,0,0,0,0,-0.0654959496100196,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.132494130867907,0.221625303917398,0,0.019398168778475,0,0
X2388.HK.EQUITY,0,0,0,0,0.261905543510077,-0.349531851099506,0,0.0246678498742682,0,0,0,0.166019078017709,0,0,0,0,0.268671829790177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395833202396423,0.0423489999880809,0,0,0,0.0345346821328877,0,0,0.339252175045508,0,-0.404756769931952,0,-0.181244831178927
X601601.CH.EQUITY,0,0.186477165567929,0.0850881720030523,0,0,0,0.145981044063781,0,0,0,0,0,0,0,0,0,0.0128882704933121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180698185318629,0,0,0,0,0,0.031240312892718,0,0,0,0,0,0.0687548049963606
X388.HK.EQUITY,0,0,0,0,0,0,0,0.366587903648719,0,0,0,0.00134625542897179,0.154417522916094,-0.0624104006909744,0.154003173984175,0.216850066198999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722656168122999,0,0,0,0,0,0,0,0.0404501210500691,0,0,0,0,0,0,0,0.228822864581538
X267.HK.EQUITY,0,0,0,0,0,-0.0572652039995645,-0.0699853023870786,0,0,0,0,0.0683625492292676,0,0,0.245301124118036,0,0.279781744511426,0,0,0,0,0,0.133234721677642,0.225059417399047,0,0,-0.773568058568493,0.042683549749045,0,0,0,0,-0.0780112226187507,0,0,0,0,0,0,0.282467801756301,0,0,0,0.237734172229064,0,0.43700477533068,0.304080281661876,0
