,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601901.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.336329856924222,-3.46944695195361e-18,0,0,0,0.404337305292936,0,0,0,0,0,0,0,0,-0.040707825149178,0,0,0,0,0,0,0.146713115366788,0,0.0159000940752259,0,0,0,0,0,0.0884681357775982,0,0,0,0,0,0,0,0,0,0,0,0,0.00635410624389185,0.0435519826464041,0.0230356615641382,0,0,0
X601318.CH.EQUITY,0,0,0.218270658714396,0,0,0,0,0,0.0563427554640788,0,0,0,0.0611758890612351,0,0.167210650244363,0,0,0,0,0.0776853839938422,0,0,0,0,0,0,0.280490790247221,0,0.0167539009626648,0.0333912011706731,0,0,0,0,0,0.0854296487493789,0,0,0,0,0,0,0,0.0370927311058679,0,0,0,0,0,0
X601939.CH.EQUITY,0.360454039159023,0.0295553429876592,0,0,0,0,0,0.242981589642158,0.211988078924512,0,0,0,0,0,0,0.100284290987102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373346196396384,0,0,0,0,0,0,0.366031878185911,0,0,0
X600036.CH.EQUITY,0,0.135498798403456,0,0,0,0.144653490534083,0,0,0,-0.09111181250363,0,-0.0953810245546247,0,0,0,0,0,0,0,0,0,0,0,0.112473049880003,0,0.0290404364292584,0.047360840653171,0,0,0,0.031064044014846,4.33680868994202e-19,0,0,0,0,0,0,0,0.411876202451174,0,0,0,0.114552039140322,0.209880617834789,0.0742111309931826,0,0,0,0
X601288.CH.EQUITY,0,0,0.0806590600676282,0,0,0,0.0288525488198694,0.435547932538135,0,0,0,0.0479632759390595,0,0,0,0,0,0.0163878048465489,0,0,0,0.0529450306908911,0,0,0,0,0.172866987693701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415126692042755,0,0,0,0,0,0.0567112399422644,0,0,0
X1299.HK.EQUITY,0,0,0,0.0979966303444454,0,0,0,0,0,0.209526643882195,-0.113004642364577,-0.0773339286003886,0,0,0,0,0,0,0,0,0,0.228315549207775,0.0769471587129138,0,0.0472110679238476,0,-0.303592811893306,0,0,0.00860001852761046,0.0673789715664627,0.0128383559796302,0,0.10436022975926,0,0,0,0,0,0,0,0,0.294115604241059,0,-0.0113294043623931,0.0241901165018023,0,0,0,0
X601628.CH.EQUITY,0.0889254956320366,0,0,-0.124310806752929,0,0.0739305355613105,0,0,0,0.0828640388698637,0,0,0,0,0,0,0,0,0.241242255654254,0,-0.0354399598135305,0,0.0310662293070095,0,0,0,0,0.131616668218253,-0.190868171573605,0,0.533883037330265,0,0,0,0,-0.0204516700052265,0,0,0,0,0,0,0.0387240157504479,0,0,0,0.0366507135432456,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.531606427141487,0,0,0,-0.0345049740538959,0,0,0,0,0,0,0.228775322272099,0.107155725876386,0,0,0,0.0204407769552084,0,0,0.0221441357394703,0,0,0,0,0.00382640965894587,0,0,0,0,0,0,0.0144196250941586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.327693618749938,0.160292272370621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34922063115928,0,0,0.130780139193097,0,0,0,0,0,-0.137468091069426,0,0,0,0,0,0,0,0.0443040260294009,-0.0637216123829692,0,-0.0521402998458252,0,0.0091358615871773,0,0,0,0,-0.105910529510405,0
X388.HK.EQUITY,0,0,0,-0.18723531880808,0,0.3231680067882,-0.0438320377934201,0,0,0,0,0,0,0,-0.0731676722635589,0,0,0,0.287570935718181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198983981773136,0,0,0,0.145577138689376,-0.0439905083361034,0.123862191157023,0,0,0,0,-0.256807107859087,0,0.0529455000060406,0,0,0,0
