,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X601916.CH.Equity,X601236.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY
X601398.CH.EQUITY,0,0,0.138043349598965,0,0,0,0,0,0,-0.0118827931498956,0,0,0,0,0,0,0,0,0,0,0.348090363509665,0,0,-0.156452713883876,0,0,0.270264917399865,0,0,0,0,-0.205271137466374,0,0,0,0,0,0,0,0,0,0.0446243829781101,-0.107214163054222,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0.0312941960584827,0.189129561362391,0,0,0,0,0,0,0,0,0,0,0.00277534935724191,0.343532711043954,0,0,0,0,0,0.118339994731482,0,0,0,0,0.17217817079154,0,0,0,0,0,0,0.0235068085331069,0,0,0,0,0,0,0,0,0.0990226490128564,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.703556338570659,0,0,0.109500315773172,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0104659780340109,0.00286763626635116,0,0,0,0,0.0331875056293852,0.00249515446512005,0,0,0,0,0,0,0,0,0,0,0,0,0.041182902356056,0,0,0,0,0,0,0.124212375833615,0,0,0
X601288.CH.EQUITY,0.0153154941415238,0,0.831485196680092,0,-0.0183961364053487,0,0,0,0,0,0,0,0,0,0,0,0.0646010506693873,0,0,0,0,0,0.0729969999310722,0,0,0.061304863553659,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834289881232979,0,0,-0.063393906089788,0,0,-0.0557645805363382,0.102262434251495,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00807409897717946,0.693706522524182,0,0,0,0,0,0,0,0.00812932443510097,0,0,0,0,0,0,0.0412593216352282,0,0,0.317335669328013,0,-0.118912660718347,0,0,0.203776079654691,-0.123862163559451,0,0,0,0.0782227838372747,0,0,0,0,0.0762517404375969,0.0859046279793365,0,0,-0.0578682698837404,-0.0370982694831343
X601988.CH.EQUITY,0.125492437069339,0,0,0,-0.17184344595315,0,0,0,0,0,0,0,0.923715796035657,0,0,0,-0.069835094829745,0,-0.214570847366231,0,0.102952124697265,0,0,0,-0.104430937814988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132705361842423,0,0.017981600178497,0,0,0,0,0.0334253860338943,0,0.188835085729082,0,0
X600036.CH.EQUITY,0,0,0.362211293280704,0.057933632904572,0.0278839862401958,0,0,0.0089613408921032,0.0471517234340067,0,0,0,0,0.00857317823879855,0,0,0,0,0,0,0,0,0.0694699709527861,0,0.0411830682516771,0,0.423887119802971,0,0,0,0,0,0,0,-0.0253247699777673,0.0568298433781568,0,0,0,0,0,0,0,0,0,0,-0.0576665227950201,0,0,0
X1299.HK.EQUITY,0,0.217057725370248,0,0,0,-0.116474139097239,0,0,0.249065777186434,0.231627749867486,-0.040183804878032,0,0,0,0,0,0,0.00253127509005854,0,0,0,0,0.267272978074354,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595683661464873,0,0,0,0.137469874648896,0,0.194657730344492,0,0,0,0.265100583407311,0,0,0,0
X5.HK.EQUITY,0,0,0.0503296941538574,0,0,0,0,0,0,0.040191766986719,0,0,0,0,0,0.0821908147365392,0,0,0,0,0,0.627975940286338,0.0327857460461187,0,0.0641143610122528,0.160282030510663,0,0,0,0,0,0,0,0,-0.146235078124792,0.140364052705084,0,0,0,0,0,0,0,0,0.101556309715117,0,-0.277920045304998,0,0,0
X388.HK.EQUITY,0,0,0,0,0.357435809792536,0,0,0.159972495742007,0.0717732171433973,0,0,0,0,0,0.0743811237768491,0,0,0,0,0,0,0,0,0.472846151454888,0.00952773822678899,0,0,0,0,0,0,0,0,0,0,-0.16445739349402,0,0,0,0,0,0,0,0,-0.0454478789617368,-0.128149544993227,0,-0.159682331360265,0,-0.130217302715058
