,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0.0935076555297978,0,0.458816683074169,0,0,0,0,0.074089298759761,0,0,0,0,0.0548430864997816,0,0,0,0,0,0,0,0,0.000964117614986759,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-3.46944695195361e-18,0.0209094385248306,0,0,0,0,0,0,0.22111262776167,0,0,0
X601318.CH.EQUITY,0.223012591684287,0,0,0,-0.0178611879039579,0,0,0,0.235599717336307,0,0,0,3.46944695195361e-18,0,0.415634422947837,0,0.0959997053704505,0,0,0,0,0,0,0.027943099201356,0,0,0,0,0,-0.0376448257507324,0,0.0416040778774288,0,-0.118177732179343,0,0,0,0,0.15452154233753,0,0,0,0,0.00479500951400262,0,0,0,0,-8.67361737988404e-19,0.0459433521809355
X601939.CH.EQUITY,0.277398643639196,0,0,0.0482706882194279,0,0.0600128588980312,0,0,0,0,0,0,0.369993541223535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180392457095594,0.0461245178986633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.369132127925004,0,0.0512580890514105,0,0,0.438634008349845,0,0,0,0,0,0,0,0.0141916659492579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189629601360994,0,0,0,0,0,0.087974499954502,0,0,0.00759395616993819,0,0,0,0,0,0,0.0247481185163279,0,0,-0.0243813024948133
X5.HK.EQUITY,0,0,0,0,0,0,0,0.227307029054832,0,0,0,0,0,0,0,0,0,0,0,0.678553922585428,0,0,0.231087109156884,0.202511176824826,0,0,0,0,0,0,0,0,0,0,-0.124906511324393,0,0,0,0,-0.0527758197184936,0,0,0,0,0,0,-0.188443084094223,0,0,0
X601988.CH.EQUITY,0.209741703518539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125139718464316,0,0,0,0,0.11992732013289,0,0,0,0,0,0.0845419578889889,0.251815732090039,0,0,0,0,0,0.019296612998056,0,0,0,0,0,0,0,0,0,0,0.166558292615618,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.105415275390165,0,0,0.296194070373026,0,0,0,0.201471607400016,0,0,0,0,0,0,0,0,0,0.0457810480413679,0.0840528982165449,0,0.0573133408659747,0,-8.67361737988404e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.10974878987643,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.097804870959582,0,0,0.480716755053993,0.0636427537371322,0.0169698509770441,0.10586746209311,0,0,0,0,0,0.481967560295826,0,0,0,0,0,0,0,0,0,-0.179328913437904,0,0,0,0,0,0,-0.0909496319520326,0,0,0,0,0,0,-0.0787788627320339,0.0927281561130392,0,0
X601628.CH.EQUITY,0.237651018484952,0,0,0,0,0,0,0,0,0,0.151150094543575,-6.93889390390723e-18,6.93889390390723e-18,0,0,0.0401557603431423,0,0,0,0,0,0,0.134477802799139,0,0,0.126682795501158,0,0.125326050526566,0,0,0,0,0,0,0,0,0,0,0.0779495875092077,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.142360284130479,0,0,0,0,0,0,-0.322163721910774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219279833182071,0,0,0,0,0,0,0,0,0,0,0,0.838457459621297,0,0,0,-0.278177234268653,0,0.476253634042289,0.0789517949597691
