,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0.266927368017202,0.0549677705174914,0,-0.0127066155195046,0,0.46192094447994,0,0,0,0.0534515440634041,0,0,0,0,0,0,0,0,0,0,0,0.0912809761355421,0.0339574246114894,0,0,0,0,0,0,0.0855469803054843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.220512634416382,0,0,0,0.120860836491623,0,0.111939357729345,0,0,0,0,0,0.0676490153860528,0,2.16840434497101e-19,0,0.0680183689563273,0,0,0,0,0,0,0,0.0904797553396801,0,0,0,0,0.0422961745680984,0,0,0,0,0,0,0,0,0,0,0,0.034064327263251,0,0.247683714272334,0,0,0,0
X601939.CH.EQUITY,0.449450572009919,0.345273765928634,0,0,0,0.0379520477991521,0,0.318661439572963,0,0,0,0.0810300218153836,0,0,0,0,0,0,0,-0.209080753347596,0,0,0,0,0,0.0243109727986891,0,0,0,0,0,0,-0.221853484254755,0,0,0,0,0,0,0,0,0,0.0383022688741369,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.203266327554565,0.167232826116634,0,0,0,-0.0627549353824405,0.15390291953006,0,0,0,0,0,0,0,0,0,0,0.0831249924270089,0,0.134848886552054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370904496526081,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0166330313825125,0,0,0.0144300395848497,0,0.389249242287703,0,0,-0.0201928710483511,0.085330298371659,0,0,0,0,0,0,0,0,0,0,0,0.146457074939535,0,0.0548947105334724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131315151253733,0,0.0119242366237233,0,0
X601628.CH.EQUITY,0.201148918365135,0,0,-0.0486691820239109,0,0,0,0,0,0,0.0777322398316843,0,-0.010281871450176,0,0,0,0,0,-1.73472347597681e-18,0.228437340446966,0,0,0,0,-0.0863759525507211,0,0,0.0523575546116196,0.596988391557532,-0.128818181028503,0,0,0.0671686378364769,0,0,0,0,-0.077871793835804,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0.0427653474008129,0,0,0,0,0,-0.0814249900516951,0.0454196265728498,-0.189559019357729,0,0,0,0,0,0,0,0,0.126654055930046,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.335682664112851,0.0845358690058241,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0579106141833428,0,-0.147172989734432,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0244849270841971,0.026536080453327,0.520946522014206,0,0,0,-2.71050543121376e-20,0,0,0,0.118047270915512,0,0,0.140915031768375,0,0,0,0,0,0,0,0.011045195681251,0,0,0,0,0,0,0.00557908255417429,0,0,0,0,0,0,0,0,0,0.0641669453298425,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.370030486990308,0,0,0,0,0,0,0,0,0.137945286095593,0.0376736610323063,0,-0.0575222333838242,0,0,0,0,0.0379833049385842,0,0.353525855757332,0.0999766842879872,0,0,0,0,-0.0579632894872672,0,0,0,-0.0956358239231865,0,0.240845144726031,0,0,0,0,0,0,0,0,-0.0579058519200809,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.10463277037152,0.0934060946561145,0,0,0,0,0,0,0,0.0304758461791017,0.0750848057061524,0,0,0,0,0,0,0,0,0.000479925426111613,0,0,0.129074428164289,0.367794961685798,0,0.0196727026535047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238695528654997,0,0,0,0,0
