,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X600919.CH.EQUITY,X601881.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.0700178671443153,0,0.143717652882519,0,0,-0.0951433803023785,0,0,0,0.234664404571547,0,0,-0.144142003719938,0,0.110459912140646,0,0,0.247337834399075,0,0,0,0,0.177092217159703,0,0,0,0,0,0,0,0,0,0,0,0,-0.082618184106956,0,0,0,0,0.120366999144098,-0.0717868262382465,0,0.203741601861474,0.10083517307098,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0228999920109094,0,0,0.225032311605245,0,0,0.164465048955464,0,0.0578459385576466,0,0,0,-0.109177427120572,0.0101798716251091,0,0,0,0,0.179497265280329,0,0,0,0,-0.29169149626019,0.329039400748965,0,0.176606797710633,0,0,0,0,0.0701507507348294,0,0,0,0,0,0,0,0,-0.00712558832659092,0,0
X601939.CH.EQUITY,0.473542311364433,0,0,0,0,0.183905180906385,0,0,0,0,0,0,0.0324225714558267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365921979005442,0,-0.157251273348599,0.0868740587110853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.434635307024084,0,0.0956301155694546,0,0.0780395051032541,0.0843396926798695,0,0,0,0,0,0,0,-0.104839749718179,0,0,0,0.0167424435162118,0,0,0,0,0,0,0,0,0,0,0.147438955160365,0,0,0.0629380244879932,0,0,0.0246498810692197,0,0,0,0,0,0.323329124271086,0,0,0,0,-0.0288547052544616,0,0
X5.HK.EQUITY,0,-0.171846790687397,0,0.0691271251373618,0,0,0,-0.345264095625788,0,0,0,0,0,0,-0.0684432481146653,0.170590539897429,-0.0443489292782707,0.190377361348538,0,0,0.327268865652785,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.148983034697004,0,0.150981119186888,0,0,0,0,0,0,0,0,0,0,0,0,-0.0240567268016435,0,0.314037185582604
X601988.CH.EQUITY,0,0,0.133860064837129,0.350808238955937,0,0,0,0,0.154225821151854,0.15935199775724,0.11383743114082,0,0,0,0,0,0,0,0.121235225909663,0,0,0,0,0,0,0,0,0.00960002722250631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195794753235252,0
X600036.CH.EQUITY,0,0.380640325026385,0,0,0,0,0,0.0361353206435083,0,0,0,0.0444769859756642,0.255932710580323,0,0.0269776485582449,0,0,0,0,0,0.129035995781786,0,0,0.086341106739529,-0.0405752861637338,0,0,0,0,-8.67361737988404e-19,0.186648152830815,0,0,0,0,0.0193869669499464,0,0,0,0,0,0,0,-0.0125673626191226,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.173731127644454,0,0,0.107072427408305,0,0,-0.201786920757203,0,0.372070393783618,0.253148507164749,0,0,0.111053316208255,0,0.0447839806335974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491895276672867,0,0,0,-0.0534818653831383,0,0.123956232415817,0,0,0,0
X601628.CH.EQUITY,0,0.47347783911384,0,0,0,0,0,0,0,0,0,0,-0.11430507513845,0,0,-0.166969554766707,0,0,0,0,0,0,0,0,0.0012382508526363,0,0,0,0,0,0,0,0,0,0.229534990660463,0,-0.199004904732147,0,0,0,0,0,0,0.142036258977725,0,0,0,0.0152199772158404
X601166.CH.EQUITY,0.0219623628036436,0,0,0,0,0,0.325427054611836,0,0,0,0,0,0.0249055667250505,0.315848830926256,0,0,0,0,0,0,0,0,0.048226551006659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0629767710315203,0,0.131834199112138,0,0,0
