,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,1.38777878078145e-17,0,0.413793013165972,0,0,0,0,0,0.131922483668622,0,0,0,0,-0.00228650631520158,0,0,0,0,0,0,-0.0805426656785434,0.0145490781072273,0,0,0,0,0,0,0,0,0,0,-0.118122474479246,0,-0.0526420911657049,0,0,0,0,0,0.239217693900867,0.238830024076404,0,0,-0.0888749944067358
X601318.CH.EQUITY,0,0,0,0,0,0,0.0716294595891682,0,0,0,0.028160323040042,0,0,0.158879749412538,0.280775705965655,-0.0157475807077963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333022496455553,0,0,0,0,0,0,0,0,0,0.0148417622827917,0,0,0.0500024672879758,0.038469544220085,0,0,0,0
X601939.CH.EQUITY,0.232298586876162,0,0,0,0,0,0,0.0413543873449767,0.0571758602088168,0,0.0342306777496966,0,0,0,0,0,0,0.00595283104009172,0,0,0,0,0,0,0,0.165455046601004,-0.0133297849970485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243372504863538,0,0.108785886839828,0,0
X601288.CH.EQUITY,0.051114757363879,0,0,0,0,0.188362953929764,0,0,0,0,0.00562127547827892,0,0.171325332770218,0,0,0,0,0,0.0930396944700711,0,0,0,0.297456448691188,0,0,0,0,0.0815999254128743,0,0.122380750033915,0,0.0598277290412906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663483399625104
X5.HK.EQUITY,0,-0.288342511756437,0,0,0,-0.0961863019467561,0,0,0,0,0,0,0,0,0,0.0885310599058106,-0.254807766064805,0.339864751015729,0,0,0,0.337667828988294,0,0,0,0,0,0.0347177296258646,0,0,0.218997533654094,0,0.126194172613891,0,0.0467492419163537,-0.0464085020495776,0,0,0,0.0184737205536466,0.0768602667950733,0,0,-0.0593997777196191,0,0,0,0.303634643594945
X601988.CH.EQUITY,0.35583709053917,0,0,0.603596353591713,0,0,0,0,0,0.0595840567012447,0,-0.0461512031135891,0,0,0,0,0,0,0,0.00584861317022583,0.0483415468248841,0,-0.00941302739880821,0,0,0.0298290195445057,0,0,0,0.0350584020883397,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395139746306458,-0.106670035556912,0,0,0,0
X600036.CH.EQUITY,0,0.302317066742495,0,0,0,0,0,0,0,0,0,0.303464184675243,0,0,0.178880405468737,0,0,0,0,0,0,0.0399238396876861,0,-0.0460939770992778,0,0,0,0,0,0.0351014107075709,0,0,0.0770515727798332,0,0,0,0,0,0,0,0,0,0.270657878345081,0,-0.064223152638029,-0.0423971367234059,0.0778858451661535,0
X1299.HK.EQUITY,0,0.231179472631157,0,0,0,0,3.46944695195361e-18,0,0,-0.0589215687459555,0,0,0,-0.221492460735003,0,0.299610293088069,0.320732374686648,0,0.196813540857676,-0.00895704956411492,0,0.0445478388039406,0,0,0,0.0997003405852922,0,0,-0.16312342837649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0666988559111697,0,0,0,0,0,0,0,0.120885864936688,0,0,0,0,0.310717709660332,0,0,0,0.0539083726668022,0,0,0,0,0,0,0,0,0.0543146187178476,0,0.0773456196308034,0,0,0,0,0,0,0,0.0455574391041164,0.126687964898158,0,0,0.0506250708720686,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.248946138600356,0,0,0.312687171946189,0,0,0,0,0,0.17853480238598,0,0,0,0,0,0,0,0,0.043207525159792,0,0.23450911018172,0,0,0,0,0,0,-0.0856773502530955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380619807011858,0.0754296452266552
