,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.231252528835527,-0.0603200558928758,0,0,0,0,0.426740377658823,-0.189939638334844,0,-0.00383623284188038,0,-0.0998953657285835,0,0,0,0,0.724339778617069,0,0,-0.0838558880924063,0,0,0,0,0,0,0,0,0,0,0,0,-0.00979714421047232,0,0,0,-0.0195673122870258
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.109198699851601,0.0154653849932085,0,0,0,0.222030995770046,0,0,0.0729135991825175,0.0164009928506045,0,0,0,0.106145855466254,0,0,0.176717806320552,0,0,0.13084356735561,0,0,0,0.0129508878896693,0,0,0,0,0,0,0,0,0,0,0.0684796537137088,0,0,0,0,0
X601939.CH.EQUITY,0.40336520212558,-0.0678301462186364,0,0,0,-1.38777878078145e-17,0,-0.0545499877013699,0,0,0,0,0,0,-0.0173851134953461,0,-0.152900818139125,0,0.150988660929883,0,0,0,0,0,0,-0.380048710582085,0,0,0.745434199748703,0,0,0.211294431193478,0,-0.0736163388886527,0,0,0,0,0,0,0,0.0362942729134814,0,0,-0.00996680617890379,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.14260602453128,0,0,-0.112820720468073,0,0,0.671452145235319,0,0,0,-0.275425421535893,0,0,-0.312741527412838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10820510773048,0,0,0,-0.0910620637811539,0,-0.149464704585189,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.189886275854453,0,0.358092146475908,0,0,0,0,0,0,0,0,0.0761998035268774,-0.163836075288965,0.343017211625308,0,0,0,0,0,0,0,0,0.0874302212552283,0,0,0,0,0,0,-0.181585670431771,0,0.122631445296226,0,0,0,0.14929518813778,0,0,0,0,0,0,0
X601988.CH.EQUITY,-0.350750923859176,0,0,0,0.418234571856122,0,0,0,0,0,0,0,0,0,0,0,0,-0.187568737487864,-0.196527784732452,0,0,0.582077415898344,-0.32613890019452,0,0,0.268908779433013,0,0,0,0,-0.0403470007867685,0,0,0,0.0606297469459608,0,0,0,-0.180919184825578,0,0,0,-0.160679084057862,0,0.0519502275818946,0,0.482898635193285,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.320274800230583,0,0.135320743281684,0.175193239184783,0.209399909714799,0.178144886507113,0,0,0,0,0,0,0,0.129684767559273,5.59357635240045e-05,0,0,0,0,0.0082199011109438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337211124133261,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.350199534759379,0,0,0,0,0.0283234983409997,0,0,-0.00120646458259153,0.104837671948466,0.128094195028593,0.00563433250005427,0.270462766482624,0,0,0,0,0,-0.094766079049334,0,0,0,0,-0.0384479410271229,0,0,0,0,0,-0.0164969489506193,0.0864362706650365,0,-0.0477644960527808,0,0,0,0,0,0,0,0,0,0,-0.189110476539471
X601628.CH.EQUITY,0,0.0909040665454557,0.0153436801178957,0.0850654392614418,0,0,0,0,0,0,0,0.0649219487993783,0,0.240331522256657,-0.0159722887398701,0,0,0,0,0,0,0.143691036314419,0,0,0,0.203828041388099,0.0197650560349176,0,0,0,0.182813110256249,0,0,0.108876112435567,0,0,0,0,0,0,0.0386691729293806,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.640056097157529,0,0,0,0,0,0,0,0,0,0,0.14677602776985,0,0,0,0,0,0,0,0,0,0,0,0,0.0179296716006879,0,0,0,0,0,0,0,-0.189127477388134,0,-0.185819740361619,-0.169017436313347,0,0,0,0,0,0
