,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.104310706491327,0.32368633275886,0,0,0,0,0,0,0,-0.187747213336076,0.0883534583176186,-0.195243669879283,0.214945377924217,0,0,0,0.805046418890107,0,-0.268563453460706,0,0,0,0.023184834512416,0,0,0,0,0,0,0,0,0,0,0,-0.0665245810999258,0,-0.155752044189192
X601318.CH.EQUITY,0,0,0,0,0,0,0,1.73472347597681e-18,0.273603833200937,0.0678488145606686,0,0,0,0.181085392060322,0,0,0.0347516792807923,0.0535620857958211,0,0,0,0,0,0,0,0.0279578607458652,0,0.0500229778353634,0.231505501910685,0,0,0,0.0647453096681495,0,0,0,0,0,0,0,0,0,0.173217719346053,0,0,0.0172976663170271,0,0
X601939.CH.EQUITY,0.116030881125505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.359620299972748,-0.114987916791352,0,0,0.201448325679731,0,0,0,0,0,0,0,0,0,0,0,0.133997432895113,0,0,0
X601288.CH.EQUITY,0,-0.34101114410682,0,0,0,0,0,-0.339371087187363,0.34936419630651,0.0695854067100358,0.599538745373635,0,0.114385149437673,0,0,0,0,-0.000557147267860369,0,0,0,0,0,-0.578450133848497,0,0,0,0,-0.219084302165076,0,0.478393978016024,0,0,0,0,0.114134935456032,0,0,-0.0360833370970722,0,0,-0.0813505348025826,0,0,0,0,-0.396053333887436,0
X5.HK.EQUITY,0,0,0,0,0,0.00627437430468154,0,0,0,0,0,0,0,0,0,0,0.0552376386423355,0.0329957211153151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386724333985147,0,0.0497453230725765,0,0,0,0.101614613039687,0,0.020093235153432,0,0,0,0,0,0.391805591256223,0
X601988.CH.EQUITY,-0.23476071806993,0,0,0,0.596740449039221,0,0,0,0,0,0,-0.190784362257453,0,-0.307529236520483,0,0.0721900520420773,0,0.90588646212138,0,0,0,-0.229910843021858,-0.275213344577703,0,0,0,0,0,0,-0.0576032490739592,0,0.179264809141328,0,-0.240209379017093,0,0,0,0,0,0,0,0,0,0,0,0.00195882056923272,0.582836229937788,0
X600036.CH.EQUITY,0,0,0,0,-0.127091191373886,0,0,0,0,0.24928133433904,0,0.321199644941531,0,0.167099903265128,0,0.13395276534311,0,0,0,0,0,0,0.146402151264928,0,0,0.163920567402486,0,0,0,0,0,-0.114082649378725,0,0,0,0,0,0,-1.73472347597681e-18,-8.67361737988404e-19,0,-0.010743676434873,0.305676639834985,0,0,0.23499032400901,0,0
X1299.HK.EQUITY,0,0,0,0,0.347794023362304,0,0,0,0.123677307677538,0,0,-0.0660113863564056,0,0.00783565455685236,0,0.193083485252679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659623815316021,0,0,0.153854133482281
X601628.CH.EQUITY,0,0.0528823477315609,0,0.0236151854625904,0,0,0,0,0,0,0.112508484866886,0,0.0033652120192538,0.330087998009426,0,0,0,0.0467530662177332,0,0,0,0,0,0,0,0.158878594512393,0.11609589663691,0,0,0,0,0.027687421506379,0,0,0,0,0,0,0,0,0,0.0672100277239998,0,0,0,0,0,-0.0631869440239882
X601328.CH.EQUITY,0,0,0.154601383364162,0,0,0,0.426322724579851,0,0,0,0,-6.93889390390723e-18,0.0334831851086622,0,0,0,0,0,0,0,0.0662085062183872,0.1504451573503,0,0,0,0,0,0,0,0,0,-0.141261532454437,0,0,0.0124309320873942,0,0,0,0,0,-0.0316862116371018,0,0,-0.121690602716995,0,0,0,0.370030821235467
