,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X002142.CH.EQUITY,0,0,0.133078289668062,0,0,0,0,0,0.213337103085036,0,-0.056645536685869,0,0.0500783498786909,0.025606272895222,0,0,0,0.150931224026034,0,0,0,0,0,-0.066538231395929,0,0,0,0.129960618293044,-0.212223955935737,0,0,0,0,0,-0.182292726834786,0,0,0.0222682570992251,0,0,0.039875832409541,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,-0.0889469972313178,0,0.102200475486187,0,0,0,0,0,0,-0.0655449880837066,0,0,0,0,-0.0289854008279275,0,0,-0.0110221161181858,0,0,0,0,0,0,0,0,0.0555819519125316,0.254800257176441,0,0.0607701726690517,0,0,0,0,0,0.225347645413834,3.46944695195361e-18,0.225103560862305,-0.00827510994838814,0.102468518432996,0,0.159594067601297,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.238487015353973,0.131562219815135,0,0,0,0,0.156218269709168,0.00978564035503967,0,0,0,0.0431307741984951,0,0,0.0658504517338024,0,0,0,0,0,0,0,0,0.212676622265915,0,0,0.418945835409775,0.0476614727258349,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.025523101635612,0,0,0,0,0,0,0,0,0.296229871777126,0.0113293623468418,0,0,0,0.256557443375192,0.100075260907856,0.153405881835679,0,0,0.061815223437106,0,1.38777878078145e-17,0,0,0,0,0,0,0.197318428435494,0.106318067321114,0,0,-0.145991598726324,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0177577325931996,0,0,0,0,0.0278689000006879,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0139366147931699,0,0,0,0,0,0,0.0120465886682612,0,0,0,0,0,0,0,0,0,0.195509069554642,0,0.00850319329838592,0,0.242867947382877,-0.0480526474025837,0,0,0,0,0,0,0,0.377732364160933,0.0158623317355439,0.0176911296455864,0.123860101971638,0,0,0.0787664020519132,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,-0.0229822460162125,-0.156533587791359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335947969322364,0,0,0.307065923146262,0,0.065575941916643,0,0.0582325291653285,0,0,0,0,-0.0616484230210013,0,0.1642095051951,0.0370888899688082,0,0.0852577679138185,0,0,-0.0114942039980925,0,0,0.0849163401078624,0
X11.HK.EQUITY,0,0,0,0,0,0.566831324930387,0,0,0.152607596847226,0,0,0,-0.0998768375955677,0,0,0,0.137473466940269,0,0,0.272649630009702,0,-0.0536158223658292,0,-0.303243886651496,0,0,0,-0.341813412594305,0,0,0,0,0,0,0,0,0,-0.084029349838754,0,0,0,0,0,-0.0416293788393235,0.167876388188146,0,0,0,0.156553119538948,0
X600926.CH.EQUITY,0,0,0.113135226110286,0.0659813905513498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231844728107511,0,0.068625174282984,0,0,0,0,0,0,0.0731955456611852,-0.00546571557128372,0,0.153129604814878,0.0378998337543469,0,0,0,0,0,0,0,0.0649168426133928,0.514614253228437,0,-0.122091803743009,0,0,0.050708019067835,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0307034326551555,0,0,0,0,0,0,0.0759879373529246,0,0,0,0,0,0,0,0,0.0313424764522831,0,0,0,0,0,0,0.138488734823621,0.0433008051288059,0,0,0,0,0,0,0,-0.0177392927745531,0,0,0,0,0,0,0,0.305734057718075,0.390150931874751,0
X601077.CH.Equity,0,0,0,0,0,0,0.277661952845336,-0.020358076672895,-0.165571120345023,-0.119443857287355,0,0,0,0,0.000668278774616681,0,0.282021265799161,0,0,0.140817681420846,-0.135344563656359,0,0.116543527338987,0.30271903827953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283496454357871,0,0,0,0
X600030.CH.EQUITY,0,-0.047868653659118,0,0,0,0,0,0,0,0,0,0.068657413640624,0,0,0,0,0,0,0,0,0,0,0,0.399171327531105,0,0,0,0.12906505358434,0,0.236757307509761,0,0,-0.341707076650598,0,0,0,0,0,0,0,0,0,0,0,0,0.46310564535168,0,0.056656071320401,0,0
X601336.CH.EQUITY,0,0,0,0,0,-0.000690121373971939,0,0.120692694476954,0,0,0,0,0,0,-0.105261438650837,0.54650609811477,0,0,0,0.0151482630003999,0.0979439840372434,0,0,0.0748168612733449,0,-0.0307954592314351,0.259005360200645,0,0,0,0,0,0,0,-0.0648736820322434,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.21273197713498,0
X5880.TT.EQUITY,0,0,0,0,0.0623596177010027,0,0,0,0,0,0,0,0,0,0,0,0.0382930444140588,0,0,0,0,0.135146477323598,0,0,0,0.0371718533121719,0,0,0.162690590715278,0,0,0,0,0,0.0491061291128239,0,0,0,0,0,0.322404680019467,0,0,0.200515878899016,0,0,-0.135878498869271,0,0,0
X2886.TT.EQUITY,0,0,0,0,0.0722960728889725,0.181281188316663,0,0,0,0,0,0.130550395854143,0,0,0,0,-0.121579519726535,0,0,0,0,0,0,-0.216907209487968,0,0.387019905496528,0,0.33733184380384,0,0,0,0,0,0,0,0,0,0,0.0795313546515293,-0.0204731014439304,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0.0222777706038959,0,0,0,0,0.0367244662499956,0.0417425863885894,-0.0173492962325388,0,0,0,0,0,0,0.000661425532702423,0,0,0,0,0,0,0,0,0,0,0.215794047995699,0,0,0,0,0,0,0,0.0819533276374315,0,0,0,0.32868110115035,0,0,0,0.18806358107371,0,0,0,0.12741302963758,0
X2888.TT.EQUITY,0,0,0,0.0145539054657292,-3.46944695195361e-18,0,0,0,0,-0.144118400988273,0,0,0,0,0,0,0,0,0,0,0.048832124311763,0,0,0,0,0.317335973015031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313763375526344,-0.0119179628164127,0,0.120996793099682,0,0,0,0,0,0.217403978728659
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11741179117721,0.0397582520488614,0,0,0.0374722441223896,0,0,0.0563433070608225,0,0,0,0,0.145255541994135,0.0705867129995907,-0.0629094833427327,0,0,0,0,0,0,0,0.310148090370851,0.11548773092141,0,0,0,0,0.0889044408494751,0,0,0,0.20632156532477,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0528396013542322,0,0,0,0,0,-0.0831606708957229,0.252043838451281,0,0,0,-0.191998980209568,0.0462682058466567,0.495191793167448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804335342304285,0,0,0,0,-0.0848038897314223,0,0,0,0,0,-0.0761509723026213,0.689235328516767
X601838.CH.EQUITY,0,0,0,0.0956201578018493,0,0,-0.0546640337720281,-0.0984711380563745,0,0,0,0.102264508494571,0,0,0,0,0,0,0,-0.0594764775597412,0,0.234500145016558,0,0,0,0,0,0,0,-0.0505690369945971,0,0.101764874559258,0.249661339808877,0,0,0,0,0,0,-0.0896129788881103,0,0,0,0,0,0,0,0,0,-0.0849062810354356
X2883.TT.EQUITY,0,0,0,0,0.103443398563139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562164835565814,0,0,0,0.325887947704752,0,0,0,-0.012922237499273,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0846686834274255,0,0,0,0,0,0,0
X2884.TT.EQUITY,-3.46944695195361e-18,0,0,0.0607224157141389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157383490099789,0,0,0,0,0,0,0,0.101816348776652,0,0,0.353569519921511,0,0.24059720238033,0,0,0,0.0326429158188734,0,0,0.0618214792809484,0.14530649112341,0,0,0,0,-0.0451795362069373,0,0,0,0,0.0453971414984116,0.0268181692098977
X600837.CH.EQUITY,0,0,0,-0.0577697275402711,0,-0.0359443087652988,0,0,0,0,0,0,0,0,-0.0435333520857732,0,0,-0.101311251936429,0,0.0484419711995412,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.500917652263667,0.205482619550022,0,0,0,0,-0.0352774881114362,0,0,0,0,0,0,0,0.25160105465182,0,0
X601688.CH.EQUITY,0,0,0,0,0.0549645817005563,0,0,0.035723381841807,0,0,0.0894173378817862,0,0,0,0,0,0,-0.0521477683141428,0,0,0,0,0,0,0,0,0,0,0,-0.0175415550886615,0,0,-0.0749052211561949,0,0.295621113815712,0,0,0,0,0.0500977075748863,0,0,0,0,-0.0460141507458471,0.0532236617592407,0,0.0704702136964581,0,0.298530594744561
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0528013220016044,0.0490498531789015,0,0,0,0,0,0,-0.10757416309923,0,0,0,0,0,0,0,0.0808142460618027,0,0,0,0,0,0,0.0173390260197042,0,0,0,0,0,0,0.165138234149107,0,0,0,0.0761733688698788,0.293897102909979,0,0.0234411395699773,0.294957221229073
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0976079522072346,0,0,0,0,0,0,0,0,0,0,0.324316338591826,0,0,0,0.034455497560142,0,0,0,0,0.218301040110417,0,0,0.233836218173285,0,0,0,-0.265355358250426,0,0.44360873728931,0,0,0,0,0,0.171577402972749,-0.176691770652082,0,0,0,0
X600999.CH.EQUITY,0,0,0.135643189909935,0,0,0,0,0,0,0,0,0,0,0,0.0507664475998449,0,0,0,0,0,0,0,0,0.0956731585973985,0,0,0,0,0,0,0,0,0.0404524320963998,0,0,0,0,0,0,0.145916872622497,0,0.140877171863695,0,0,0,0.290874193938622,0.196480945346379,0.00559732754241677,0,0
