,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2884.TT.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.355347668856904,0,-0.0425566521945662,0,0,0,0,0,0,8.67361737988404e-19,0,-0.021890167737615,0,0,0,0,0,0,0,0,0.0657330988099523,0,0,0.0437725557016407,0,0,0,0,0,-0.0166385796255483,0,-0.0365549329764707,0,-0.0126955570346782,0,0,0,0.207875631385041,0.0149747830434918,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.139403409916472,0,0.0396048470477559,0.243920751172021,-0.0018576066281898,0,0,0,0,8.67361737988404e-19,0,0,0.0679523486433605,0,0,0,0,-0.235507791565027,0.298420600452423,0,0.200541750832509,0,0,0,0,-0.0274829751508536,0,0.0750937337884306,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319994835249494,-8.67361737988404e-19,0,0,0,0.0347796398048387,0,0.0738554881447173,0,0,0,0.177809591878198,0,0,0,0.0094853303380017,0,0,0,0,0,0,0,0,0,0,0.225681131216119,0,0,0,0
X601288.CH.EQUITY,0.273658939369215,0.0405069793884382,0,0,0,0,0,-0.0624641040824228,0,0,0,0,0,0,0,0,0,0,0.055926611904894,0,0,0,0,0,0.0703323854186666,0,0,0,0,0.237302573089155,0,0.29727220213296,0,0,0,0.0278363439553531,0,0,0,0,0,0,0,0.0454600671060292,-0.0805144470371275,0,0,0
X5.HK.EQUITY,0,-0.184585199683978,0,0.164214852344413,0,0,0,-0.174949975450995,0,0,0,0,0,0,0,0.00601499831206328,-0.12653302035991,0.304611978940124,0,0.402138575166634,0,0,0,0,0,0,0.0449656859915237,0,0,0,0.279466826154426,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118801761957011,0,0,0
X601988.CH.EQUITY,0.0525705975216472,0,0.109272219251446,0.152548711914412,0,0,0,0,0.127798722734527,0.15569612628018,0.0424980287456175,0,0,0,0,0,0,0,0,0,0.401832811877164,0,0,0,0,0,0,0,0,0,0,0.108465004899375,0,0,0,0,0,0,0,0,0,0,-0.179481344667134,0,0,0,0,0
X600036.CH.EQUITY,0,0.45714702784698,0,0,0,0,0,0.0644585180832555,0,0,0,0.0973638289235686,0,0,0,0,0.0872398186745434,0,0,0.0607084240101988,0,0,0,0.18783811159477,-0.0521808382069677,0,0,0,0,0,0.295860064553658,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0576822458679655,0,0,0,0,-0.116447373161708,0,0
X1299.HK.EQUITY,0,0.1332878604307,0,0,0,0,0.0655000809824049,0,0,0,0,0,0,-0.180502876046052,0,0.31215000606126,0.2742739415021,0,0.0738887504102389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591452503121903,0,0,0,0.108738178890792,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0460160529089982,0,0,0.0078356551989455,0,0.0788374152573545,0,0,0,0,0.160332609056573,0,0,0,0,0.0643364895940635,0,0,0,-0.136960030892297,0.0263964628041948,0,0,0,0,0.337404925162343,0,0,0,0,0,0,0,0,0,0,0.0171922911467371,0,0,0.000640245110977477,0,0,0,0
X601166.CH.EQUITY,0,0,0.0717250180525285,0,0,0.236726349417994,0,0,0.00780326106360572,0,0,0,0,0,0.232139157672894,0,0,0,0,0,0,0,0,0.407052676465176,0.262199013913749,0,0,0,0,0.182263304240062,0,-0.0468192479667241,0,0,0,0,0,0,0,-0.187155856819639,0,0,0,0,0,0,0.0124533637721289,0
