,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,X601788.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,X601696.CH.Equity,X601236.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0808975144115523,0,0,0,0,0,0,0,0,0,0.392971014857399,0,0,0,0,-0.160339641562857,0,0.0954216805563527,0,0,0,0,0,0,0,0,0,0,0,0,-0.845564010382369,0,0.163194693537762,0.0638076867133915,0,1.73472347597681e-18,0.0965482210685429,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0641892260494688,0.132538641928698,0.0616082033737984,0,0,0,0,0,0,0,0.0459796844988558,0,0,0.00281666055956784,0.315822322121572,0,0,0,0,0,0.182005109689353,0,0,0,0,0,0,0,0.20226981285518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923762901767307,0,0,0
X601939.CH.EQUITY,0.0536567675272761,0,0,0.282900095144325,0,0.03166375278524,0,0,0,0,0,0,0.14015110202702,0.218456016158933,0,0,0,0,0,0,0,0,0,0.0781753874250644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161798059320211,0,0,0,0,0,-0.0672812560970711,0,0.0237598272855145,0,0
X601288.CH.EQUITY,0,0,0.225281361649817,0,0.318064981541261,0.104783535793094,0,0.0582790424976269,0,0,0.0325872766064525,-0.0208542392063931,0,0.262114077269304,0,0,-0.0197260489859033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0767592389347327,0,0,-0.0154191196547236,0,0,0,0,0,0.00596660116114265,-0.0345637282403356,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.247936328248843,0.0563188305681935,0,0,0,0,0,0.140802846101889,0,0,0,0,0.249458578739747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104028710745221,0,0,0.136394187532571,0
X600036.CH.EQUITY,0,0.115058815094395,0.307987353486748,0.128406168586223,0,0,0,0.120063640226026,0.0320833095744722,0,-0.0809642627554773,0,0,0,0,0,0,0,0.0484457744256063,0,0,0.038271389785782,0,0,0,-0.0162855683680499,-0.0460072547552076,0.344481532341778,0,0,0,0,0,-0.0354084675517661,0,0,0,0,0,0,0,0,0,0.0132271088212968,-0.115007285467712,0,0,0,0,0
X601628.CH.EQUITY,0,0.142862596805023,0,0,0,0.389846594325634,0,0.00717114684956328,0,0,-0.130460936626201,0,0,0,0,0,0,0,0,0,0,0,0.0596542856256794,0,0,0,0,0,0,0.125889008398602,0,0,0.00762463862855883,0.0957703621317872,0,-0.058663770846398,0,0,0,0,0.121129040175805,0,0,0,0,0,0.062132380517289,0,0,0
X1299.HK.EQUITY,0,0.0137457072941674,0,0,0,0.242574555734228,0,0,0,-0.044045227330484,0.277245773411597,0,0,0.0343908198618425,0,0,0,0.140598311402685,0,0,0,0.205609263412379,0.207126534943781,0,0,0,0,-0.205686293943236,0,0,1.73472347597681e-18,0,0,0,-0.113471726757066,0,0,0,0,0,0.0444165268368649,0,0.121722427146935,0.190087934017922,0,0,0.174866574579338,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.515788287101092,0.62925373905253,0,0.639060826075905,0,0,0,0,0,0,0,0,0,0.112047300070738,0,0,0,0,0,0,0,0,0.163216176814033,-0.172837260629342,0.118918430810264,0,0.0944273839423848,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170787279098402,0.13911113617646,0,0.277423003827289,0,0,0,0,0,0,0,0,0,0,0,0,0.0300937386938869,-0.0527598740986209,0,0,0,0,0,0,0,0,0,-0.0155526633057828,0,0,0,0,0,0
