,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY,X2801.TT.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X2823.TT.EQUITY
X601398.CH.EQUITY,0,0.401385055484563,0,0,0,0,0,0,0,0,0.0423735770638888,0,0.0298132727977526,0.0684859968958479,0,0,0,0,0,0.0162660202428257,0,0.0616444487794905,0,0.0124054613752574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940226265355916,0,0,0,0,0,0,0,0,0,0.0608255780049055,0
X601939.CH.EQUITY,0.549057200147083,0,0.0362766304665827,0,0,0,0.151270207799431,0,0,0,0.126664500352602,0,0,0,0,0.0725909733133942,0.11195116156158,0,0,0,0,0,0.168010299087925,0,0,0,0,0,0,0.0193697022521925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.749873087203214,0,0,0.12851156821153,0,0,0,0,0,0.0340640786142949,0,0,0,-0.20007356791052,0,0,0,0,0,0,0,-0.114063647158782,0,0.186519032962066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161537625464176,0,0,0,0,0,0,0,-0.0394212621330026
X601988.CH.EQUITY,0,0,0.358592985382525,0,0,0,0,0,-3.46944695195361e-18,0.21644216856661,0,0,0.293255660803936,0,0,0,0,0,0,0.0518244916162233,0,-0.0310363650935757,0,-0.116909427020847,-0.0293115129742463,0,0,-0.140751839268106,0,0,0,0,0,0,0,0,0,0,0,-0.026046888299782,0,0,0,0,0,0,-0.0884749634412462,0,0,0
X601658.CH.Equity,0.222951101506398,0,0,0,0,0,0,0,0.196621197299499,0,0,0,0,0.065579790945165,0,0,0,0,0,0,0,0,-0.0296546000719438,0.338166989708735,0,0,0,0,-0.0441573801119953,0.012514615893233,0,0,0,0,0,0,0,0,0,-0.0417301989948469,0,0,0,0.27833556352062,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0663173858257365,0.270803838861893,0,0,0,0,0,0,0.195029988747819,0,0,0.12103979146825,0,0,0,0.107162045360119,0,0,0,0,0,0.0881208642381427,0,0,0,0,0,0,0,0,0,0,0,0,-0.00313664553006272,0,0,0,0,0,0.0194164890361871,0,0,0,0.0257671519507086,0,0,0
X601318.CH.EQUITY,0.0224707460301815,0.26589864606168,0,0,0,0,0,0,0,0.0541358067099598,0,0,0,0,0,0,-0.144821747157252,0,0.229126143434134,0,0,0,0.049462068509527,0,0,0,0,0,-0.0406872099771587,0,0.545169837262457,0,0,0,0,0,0,0,-0.144067310226421,0,0,0,0,0,0,0,0,0.173788218613661,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.194740642057745,0.0533855223233011,0,0,0.224926954226294,0.1896300022411,0,0,0,0,0,0,0,0,0.179530945650731,0.00123500062174628,0,0,0.054611149644779,0,0,0,0,0,0,0,0,0,0,0,0.0121347697562537,0,0,0.0613963843380254,0,0,0,0,0.0657150551232269,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0890943538795178,0,0,0.545219542094579,0,0,0,0,0,0,0.286215340970681,0,-3.46944695195361e-18,0.208886348570227,0,0,0,0,0,0,-0.0400915390292563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527699098278374,0,0,0,0,0,0,0,-0.178461041716206,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.195130055188717,0,0,0,0,0,0,0,0,0,0,0,-0.0113015765692831,0,0.00622377997704749,0,0.154089786625103,0,0,0,0.112396309459436,-0.104083120209476,-0.0355285580680384,0,0,0,0.0508626582956059,0,0,0,0,0,0,0,0,0,0.346669512901185,0,0,0,0,0.23064876036913,-0.00704622861909918
X601998.CH.EQUITY,0,0,0,0.169204156569655,0,0.161961512851395,0,0,0,0,0,0,0.0185796822125249,0,-0.0504213144573408,0.198089185017341,0.286651056507988,0,0,0,0,0,0,0.0412213500344176,0,0,0.0441172501669197,0,0,0,0.0382079915401154,0,0,0,-0.00565088921872938,0,0,0,0,0,0,0,0,0.128021666937336,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,-0.137578524446998,0,0,0,0,0,0.0975511105768032,0,0,0,-0.10591775081952,0,0,0,0,0,0.0694424505505389,0,0,0.187633482511477,0,-0.170920153985401,0,0,0,1.011704873336,-0.200942212418286,0,0,0,0,0,0.00968943626411513,0,0,0,0,0.141177012782766,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.345425067917746,0,0,0.0436508538287058,-8.67361737988404e-19,0.203744824029304,0.0752152609331184,0,0,0,0,0,0,0,0,0,0,0,0.137673209759288,0.0913849708898056,0,0,0,0,0,0,0,0,0.0451499036234028,0,0,0,0,0,0,0.0578485784891077,0,0,0,0
X601628.CH.EQUITY,0,0,-0.159273645047069,0,0.0122940186484271,0,0,0,0.101008509422303,0,0.197903944193323,0,0.0992453222807198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239799656373646,0,0.149123974030035,0,0.221780755372755,0,0.0138894033208133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490545166550892,0,0
X000001.CH.EQUITY,-0.0105285721860101,0,0,0,0,0.149806009562598,0,0.160374797184349,0,0,0,0,0,-0.0349816214758035,0,0.129846338002614,0,0,0,0,0,-0.172252821133758,0.198111746232804,0,0,0,0,0.344700332408322,0,0,0,0,0,0.0991090501196418,0.102240837160487,0,0,0.0620330908953471,-0.0221882428585223,0,0,0,0,0,0,0.188584591687162,0,0,0,0
X600015.CH.EQUITY,0,-0.0693410488959253,0,0,0,0.107430272703008,0,0,0,0,0.0855450461107587,0,0.0174941482436131,0,0.208503974542821,0,0.212121276010624,0.0568479434221017,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.0139661005870278,0,0,0,0,-0.0567427821242157,0,0,0.177694498907077,0,0,0,0,0,0,0,0,-0.0641205190972064,0,0
X601169.CH.EQUITY,0,0,0,0.124967734390329,0,0,0,0.0035096488906691,0.109355052068467,0,0.204313138514025,0,0,0,0,0,0,0,0.19090106957841,0.137404881241351,0,0,0,0,0,0,0,0,0,0,0,0.219022301845998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163804915463791,0,0
X601229.CH.EQUITY,0,0,0,0,0.215873376323751,0.0979632717476632,0,0,0.0553028617527772,0.0266932768468578,0.0570313346023443,0,0.212011569057384,0,0,0.0877604357515732,0.0125184366717961,0,0,0,0,0,0,0.182127248099737,0,0,0,0,0,0,0,0,0,0,0,0.0114040572837408,0,0,0,0,0,0,0,0.0881210536480906,0,0,0,0,0,0
X600919.CH.EQUITY,0,0.0918834868142718,0,0,0,0,0,0.0175012174244628,0,0,0,0,0,0,0,0,0.0455195108268193,0.144569707638219,0,0,0,0.0499140522197387,0,0.0395316198730879,0,0,0,0.230856197176624,0,0,0,0,0,0,0,-0.120321360033242,0,0,0,0,0,0,0,0.161582616593468,0,-0.0103816629094688,0,0,0,0
X601916.CH.Equity,0,0,0,0,0.105225140717255,0.051995266169064,0,0,0,0,0,0.00791909192400198,0,0,0.191555456959147,0,0.153841029356114,0,0,0,0,0,-0.0120568191406578,0,0,0,0,0.064919561776718,0.173210836887623,0,0.147581071065441,0,0,0,0,0,0,0.145382915657327,0,0,0,0,0,0,0,0,0,0.133918626686579,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.0248411309741656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492840155290193,0,0,0,0,0.350417905433135,0.132149633466309,0,0,0,0,0,0.0265531843649565,0,0,0.208793710638915,0,0,0,0,0,0,0,0,0,0,0,0.125809379040464,0,0,0.0641102064761064
