,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0.0480208862083496,0.186840182132347,0,0,0,0,0,0,0,0,0,0,0,0.0672575030737027,0.148857298988952,0,0,0,0.0888655952608445,0,-1.73472347597681e-18,-0.000117519350805682,0,0,0,0,0,0,0,0.0190630361362636,0,0,0.0795944136401156,0,0,0,0,0,0,0,0,0,0,0,0.0228981883779238,0,0,0.0482089805888178
X601318.CH.EQUITY,0,0,0.0604218792369778,0,0.174955649280448,0,0,0,0.0995097696259922,0,0,0,0.0735097124074387,0,0,0,0.0739960393685711,0,0.193093076394563,0,0,0,0,0,0,0,0,0,0,0,0,0.0998526524307451,0,0,0,0,0,0,0,0.019115480515382,0,0,0,0,0.0520247561938668,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.255974512609422,0,0,-0.102372199529283,0,0,0,0.175554022489947,-0.038286321476231,0.00615687386832345,0,0,0,0,0.211727481272952,0,-0.144568131383957,0.500667705111417,0,0.149766677959449,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176583901298265,0,0,0,0.00952531254913648,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0516962248329324,0.0566028614044006,0,0,0.0684087645589005,0,0.445892896506614,0,0,0,0,0,0,0.170007583670273,0.0591473439857205,0,0,0,0,0,0,0,0,0,0.136019542381027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652370178264516,0,0,0,0,-0.0788382491639553,0,0,0
X600036.CH.EQUITY,0.0789466136810295,0,0,0,0,0.0659581747787133,0.300645681078928,0.0513151270497915,0,0,0,0,0.192473973796621,0,0,0,0,0,0,0,0.166282821342899,0.299628291943138,0,0,0,0,0,0,0,0,0,0.13137363431471,0,0,0,-0.0135759899280137,0,0,0,0,0,0,0.0250482502875004,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0237161825075548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211833498317724,0,-0.140505261320128,0,0,0,0,0,0.178385999258689,0.59410256982902,-0.0828682570054218,0,0,0,0,0.0820829234378287,0,0,0,0,0,-0.0285131692133727,0,0,0,0,0,0,-0.0595409697630235,0,0
X1299.HK.EQUITY,0,0,-0.133501217730823,0,0.0583079258461752,0,0,0,0,-0.0356471290647032,0,0.0648467471325851,0,0,0,0,0,0,0,0,0,0,0,0.21120820381411,0.12149716944444,0,0,0,0,0,0,0.198733580353416,0,0,0,0,0,0,0,0,0,0,0.107399271611704,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0734104213101091,0,0,0.451559519695036,0.21614357744748,0,0,0,0,-0.0267104675147036,-0.059673615287813,0,0,0,0,0,0,0,0,0,0,0.108588379419484,0,0,0.100263652214048,0,-0.100170502711034,-0.0260402660981771,0,0,0,0.0500141150927957,0,0,0,0,0,0,0,0,0.149019031879664,0,0.0732809135416322,0,0.165628584342301,0,-0.000964982963874102,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0214592104201716,0,0,0,0,0,0,0,0,0,0,0,0,0.230923920649219,0,0,0,0,0.149086452911757,0.347898824903115,0,0,0,0,0,0,0.119439411828169,-0.0936787003518757,0,0.0719300763483292,0,0,0.0306029529251765,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0949975082364817,0,0.0897806742297023,0,0,0,0,0,0.0214887818729309,0,0.0756790375634575,0,0.000607579057842166,0,0,0,0,0,0,0.13522127466301,0,0,0,0.374331644618908,0,0.0228626170591682,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314326176650346,0,0,0,0,0,0
