,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.099219022085606,0,0,0,0.0159197842507408,0,0,0.254731137939086,0,0,0,0.348612421937814,0,0,0,0,0.159226743065938,-0.201502525020269,0.463084375798042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820788281090416,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.12381278051794,0,0.259403919475308,0.0123289912162714,0,0,0,0,0.152755873838568,0,0.0751696911876976,0.0317607036651981,0,0,0,0,0,0,0,0.0857164248275657,0,0,0.0815765210508856,0.110482951897398,0.0493903845569476,0,0,0.0354103957448302,0,0,0,-0.00521763452450405,0,0,0,0,0.108233132043909,0,0,0,0,0
X601939.CH.EQUITY,0.540076550957038,-0.332606499182042,0,0,0,0,-0.00276656077015231,0,0,0,0,0,0,-0.0238349343522273,-0.273384396625259,0,0,-0.0213704281066859,0.16425392937309,0,0,0,0,0,-0.166881288660903,0,0,0,0.20356911206489,0.777395960341807,0,0,0.0934146968228241,0,0.028168255433702,0,0,1.73472347597681e-18,0,0,0,0,-0.0934199036929515,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.2266643334825,0,-0.0831859033015091,0,-2.77555756156289e-17,0,0.861621590506157,0,0,-0.123775799617656,0,0,0,-0.26708140283133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235185115322672,0,0,0,0,0.0713943794252522,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.198509159190994,0.349975427446578,0,0,0,0,0,0,0,0,0,0.0693929493601504,-0.163850482882052,0.316245370296319,0,0,0,0,0,0,0,0,0,0.0679857029373702,0,0,0,0,0,-0.197740779501827,0,0.11627522851432,0,0,0,0,0.167550749983875,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.361263408776999,0,0.00110657062065428,0,0.185808103465207,0,0,0,0,0,0,0,0,-0.198771545934755,0,0,0,0.190344878415353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216769639414855,0,0,0.0618667582037889,0,0,0,0,0,0,0.433163948080891,0
X1299.HK.EQUITY,0,0.0904914513206236,0,-0.122944964485827,0.31057193479165,0,0,0,0.0719973443504557,0,0.123611073920829,0,0,0.335031079242661,0,0.176568316813786,0,0,0,0,0,0,0,0,0,0,0,-0.104689148622049,0,0,0,0,0,-0.136570840811622,0,0,-0.00228632849720115,0,0,0,0,0,-0.1619738698932,0,0,-0.0423148839698878,0,0.144802466468114
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.374456323490269,0,0,0,0.148663919997215,0.191183753227969,0,0,0.200371836555728,0,0,0,0,0.134378796008045,0,0,0,0,0,-0.0306417764720416,0,0,0,0.345864943308467,0,0,0,0,0,0,0,0,0,0.172656234120148,0,0,0,0,-0.126592913090515
X601628.CH.EQUITY,0,0.280081754066255,0,0.0490644844722472,-0.0917660019818343,0,0,0,0,0,0,0,0,0,0.206864995307431,0,0,0,0,0,0,0,0,0,0.122746224129435,0.0825573583645649,0,0,0,0,0.139620334536631,0,0.0898194054696109,0.0974571690198611,0,0,0,0,0,0,0,0,0,0,0.0210599282281096,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.749078223661553,0,0,0,0,0,0,0,0,0,0.0913136654177745,0,0,0,0,0,0,0,0,0,0,0,0,0.0144989725521732,0,0,0,-0.210830316012194,0,0,-0.0678921677965134,0,0,0,-0.00412519438802904,0,0,-0.0437595834891964,0,0,0.125526176385274
X601166.CH.EQUITY,0.188154021038968,0,0,0.237400229361378,0,0.0243249972931983,-0.00217237363503474,0,0.0121552460453142,0.162056728117481,0,0,0.319613590008067,0,0,0,0,-0.0838998383241258,0.043307397412021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174014172131675,0,0,0,8.67361737988404e-19
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578760571630511,0,0,-0.199527297542497,0,0,0,0,0,0,0,0,0.355192039874166,-0.0849330525379598,0.0441005030488651,0,0,0,0.314808929865439,0,0,0,0,-0.0299807210984305,0.0455549664611031,0.290741577737114,0,0,0.0954225303650935,0,0.038156680902232,0,-0.0525254526832564,0,0
X600000.CH.EQUITY,0,0,0,0,0.00895756764901074,0,0.0440859119699678,0.140149805110613,0,0.195712892100845,0.353495326068519,0,0,0,0,0.0714112689983288,0,0,0,0,0,0,0,0,0,0,0,0,0.0561699704397346,0,0,0,0,-0.0767809641514542,0,0,0,0.110813182644072,0,0,-0.108963891770109,0,0,0,0,0,0.20965996484786,0
X11.HK.EQUITY,0,0,0,0,0.45344078195207,0,0,0.125394259148515,0,0,0,0,0,0,0.317679317589656,0,0,0,0,0,0,0,0,-0.388879260639375,0,0,0,0,0,0,0,0.484819077621662,0,0,0,0,0,0,0,0,0,0,0,0.117574936690525,0,0.0198925157435484,0.146306639018639,0
X601601.CH.EQUITY,0,0.077537989673141,0,0,0,0,0,0.0590360244408976,0.256549006429262,0,0,0.0174692800371824,0.00818064868428663,0,0,0,0,0,0.000281446133194738,0,0,0,0,0,0,0.265260326347236,0,0,0,0,0,0,0.0292430656003394,0,0,0,0,0,0,0,0,0,0.122636473651312,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.0850037659872509,0.0311330089499421,0,0,0,0,0,0,0,0,0.232714058562481,0,0.596139755053038,0.0587386604753014,0,0,0,0,0,-0.0570545704872824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397266731830987,0,0,0,0,0,0
X2388.HK.EQUITY,-0.143972271834897,0.382063400330291,0,-0.256343489682276,0.137779927245361,-0.462532998442998,0,0,0,0,0,0,0,0,0,0.509220860740207,0,-0.0205141567060328,-0.09793763252773,0,0,0,0,-0.0878947496057283,0,0,0,-0.0345067370450268,0,0,0,0,0,0,-0.0850062724530304,0,0,0.0494813684670731,0,0,0,0,0,0.532960707426341,0,0,0,0
