,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.13097180331966,0,0.259187830910431,0,0,0,-0.0452273506197626,0,0,0,-0.0556355746618099,0,0,0,0,0,0,0.181261805689329,-0.0522976959217284,0,0,0,0,0,0,0.0521318701762613,0,0,0,0,0,0,0.0633719721853486,0,0,0,0,0,0,-0.120192471497823,0,0,0,3.46944695195361e-18,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0337424751337421,0,0,0,0.0328660499808938,0,0,0,0,0.423942719907073,0,0,0.0535643552334092,0,0,0,0,0,0,0.0474154364747755,0,0,0.0975069372036722,0,0,0,0,0,0,0,0,0,0,0,0,0.235665850080223,0,0.103332282247202,0.0177970990846366,0,0
X601939.CH.EQUITY,0,0.0352201402318316,0,0.776200266082184,0,0,0,0,0,0.0276831471976162,0.0757298964369994,0,0,0,0.0964037120640076,0,0,0,0,0.00633624803776145,0,0,0,0.0438172100903572,0,0,0,0,0.0455380522170982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.85337391384073,0,-0.0515938363976144,0,0,-0.0501202428484943,0,0,0.0413159998545533,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0424805688313373,0,0,0,0,0,0,0,0.0180471109397735,0,0,0,0,0,0,0,0,0,0.144972610237039,0,-0.0328972775628782,0.0292860361938298,-0.0701204584645002,-0.13540871673616,0,0.0593967701661802,0
X601628.CH.EQUITY,0.0115496715026754,0,0,-6.93889390390723e-18,0,0,0,0,0,0.170842101817623,0,0.0579248522705933,0,0,0,0,0,0.359339519435006,0,0,0,0,0,-0.0384465098323439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402570491453289,0,0,0,0,0,0,0,0,0.116700840203305,0,0,0
X600036.CH.EQUITY,0,0,0.156696538731664,0.225240240659513,0,0,0,0.0174442137454113,0.0603712673183738,0,0,0,0,0,0.0356733222140541,0,0.073805843851505,0,0,0,0,0,0.0222891765489068,0,0,0,0,0,0,0,0,0.00522237687903779,0,0,0,0.0673055033577885,0,0,0,0,0,0,0,0.00985354400879615,0.188947010975934,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0273289338774609,0,0.029811724437813,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.102828587900685,0,0.998878008641462,0,0,0.0848928115956267,-0.0578409807786689,-0.00352812008403027,0,0,-0.0293464825824951,-0.0586146018004218,0,0.00521478602786307
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.381423695249657,0,0,0,0.087597091392123,0,0,0,0,0,0,0,0,0,0.171818312211206,0,0,0,0,0,0,0,0.115139299594015,0,0,0.0603769608893012,0,0,0.0938093322597985,0,0,0,0,0,0,0,-0.0914902034476756,0,0.190058524392166,0,0
X5.HK.EQUITY,0,0.28853963449136,0,0,0,0,0,0,0,0,0,0,-0.264588695417826,0,0,0,0,-0.257351749743349,0,0,0,0,0,0.10214555135946,0.446991480741618,0,0,0,0,0,0,0.286273815250974,0,0,0.134640690016222,0.409685332059563,0,0,0,0.289279732569684,-0.0015579417765416,0,0,0,-0.267028504443857,0,0,0,0,0.0632514678587305
X388.HK.EQUITY,0,0.167141750263435,0,0,0.33769488856654,0,0,0.0340051954135666,0.179164400903245,0,0,0,0,0,0,0.0822628946529063,-0.397046229163862,0,0,0,0,0.274843116687506,0,0,0,0,0,0,0,0,0,0.384973381635849,0,-0.301525531725721,0,0,0,0,0,-0.141742774989396,0,0,0.112308038272284,0,-0.0250565832769104,0,0,0.118681067021218,0,0
