,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.145211865300933,0.00521624999938454,0,0,0.166640522475873,0,0,0,-0.0313171565569083,0.24244345560311,0,0.00834472226369762,0.102488816180271,0,0,0,0,-0.0946840371706459,0,0.178933434235978,0.112274792218959,0.120236919868718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962121478916182,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0.00128967074385426,0,0,0.0455429581165214,0,0.00917149934547265,0,0.0545641315761295,0.31020780531146,0.0292289114272153,0,0,0,-8.67361737988404e-19,0.0476193405798525,0,0.252302616808357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.184486401513581,0,0,0.323700613038425,0,0,0,0,0,0,0,0,0,0.257087402602801,0,0,-0.0395034994586288,0,0,0,0,0,0,0,0,0,0.034811636425911,0,0,0,0.0347006306036228,0.0673145278748552,0,0,0,0,0,0.0118836525042877,0,0,0,0.0417268812057024,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.239620395608613,0,0,0.0759707695122946,0,0,0,0,0,0,0.0868838155683808,0.142285039236582,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229698611376927,0,0,0.252858121081206,0,0,0,0,-0.0751729502031449,0,0,0,0,0,0,0,0,0.0379740289141823,0,0.0898558462985302,0
X5.HK.EQUITY,0,-0.0636091371941715,0,0,0,0,-0.0364443925187673,0,0,0,0.0651347945736384,0,0,0,0,0,0,0,0,0.274759537297293,0,0,0,0.38717415378185,0,0,0,0.012345278063464,0,0,0,0,0,0,0,0,0,0,0,0.250746783585912,0,0,0.0632306067852417,0,-0.175401507755138,0,0,0,0,0
X601658.CH.Equity,0,0.175414768080745,0.0688707339957242,0,0,0,0,0.164864191379765,0.0439316611929146,0,0.180889154063318,0,0.0888193195271523,0,0,0,0,0,0,0,0,0,0,0.0839406977784448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312983159528687,0.00264742645652603,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.515122349859038,0,0,0,0,0,0,0,0,0.12662099265463,0.204380513966227,0.10657975163375,0,0,0.0293640405274575,0,0,0,0,0,0,0,0,0,0,0,0,0.0319015032977738,0,0,0,0,0,0,0,0,0,0,0,0,-0.114145339075295,0,0,0,0,-0.0342694499799863,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0488718232722213,0,0,0,0,0,-0.0867437858948952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675895112133566,0,-0.0305248264053961,0,0.148099474004606,0,0,0,0.0762273852719046,0,-0.019715030574934,-0.0429397837345608,0,0,0,0,0,0,0,0,0,-0.0180877527999387,0,0
X600036.CH.EQUITY,0.136389067633624,0,0,0,0,0,0,0,0,0.0297914990045929,0.0350022531831632,0.0520279302045895,0,0,0,0.00307627006268464,0.464968231183875,0,0,0,0,0,0,0,0,0.0114208060379162,0,0.153414033353628,0,0,-0.0158563615397053,0.149133377502349,0,0,0,0,0,-0.140540111705004,0.0299891723224112,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.210427077957422,0,0.0406659175564087,0,0,0.0215864877569642,0.140874330325822,0,0,0,0.193351417583492,0,0,0,0,0.151466507763997,0,0.0256083327784192,0,0,0.0731719077912175,0.143476051004605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
