,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0,0.0479167216479801,0,0.188881423886965,0,0,0,0,0,0,0,0,0,0,0.0680393441651538,0.148932815443004,0,0,0,0,0.0892717211542657,-0.000120317823647648,0,0,0,0,0,0,0,0,0.0189671415663234,0,0,0.0781058829395086,0,0,0,0,0,0,0,0,0,0,0,0.0228650769629253,0,0,0.0480789721982972
X601318.CH.EQUITY,0,0,0.101313544486991,0.01457853445426,0,0,0,0,0.0986064026120302,0,0,0,0.0570506878294173,0,0,0,0.0234161028880288,0,0.132959018472376,0,0,0,0,0,0,0,0,0,0,0,0,0.2334136194721,0,0,0,0,0,0,0,0.011112586203179,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.180779866343877,0,-0.0312909214589447,0,0,0,0.176593731886204,-0.0279310282303219,0,0,0,0,0,0.152310221497136,0,-0.138117279376838,0,0.578631970538192,0.00708462598418308,0.133969295417247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375957742971171,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.130580147811517,0,0,0,0,0.0878481976128428,0.314549532804744,0,0,0,0,0,0.228218891596448,0,0,0,0,0,0,0,0.319408787305974,0.134113176932926,0,0,0.00730236056282084,0,0,0,0,0,0,0.0822722165119565,0,0,0,-0.0501568478732419,0,0,0,0,0,0,0.0507431246498208,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.00525546949149689,0.156978671876549,0.0961782103998225,0,0,0.0952115298520403,0,0.428103218294158,0,0,0,0,0,0,0.105222674260768,0,0,0,0,0,0,0,0,0,0,0.0959257431184362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127969645391074,-0.0502304380114806,0,0,0
X601628.CH.EQUITY,0.0226797622487385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230031340242208,-0.138238617236789,0,0,0,0,0,0,0.2091786081533,0.576375034150105,-0.0823429742777097,0,0,0,0,0.0762837509962333,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592342064892485,0,0
X1299.HK.EQUITY,0,0,-0.212716196938211,0.0742843464695547,0,0,0,0,0,0,0,0.107383400063562,0,0,0,0,0,0,0,0,0,0,0.204453077399521,0,0.041755551822991,-0.104907865864936,0,0,0,0,0,0.289408821816235,0,0,0.189616191819922,0,0.0188558788485306,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.272465030084487,0.471257977183709,0,0,0,0,-0.064208052815112,0,0,0.048613226361059,0,0,0,0,0,0,0,0,0,0,0,0.0521903651002653,0,-0.100199728026639,-0.0275280587215055,0,0,0,0.0494724885620294,0,0,0,0,0,0,0,0,0,0.225580590189305,0,0,0,0.184400048732305,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0343261095476726,0,0,0,0,0,0.0607934775660604,0,0,0,0,0,0,0.184127694553372,0.0762248486019003,0,0,0.299990219948146,0,0.288961232817181,0,0,0,0,0,-0.0495962062412998,0.0969773359033819,-0.127636687225669,0,0.236336069437751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0975760967925674,0.0929648510960742,0,0,0,0,0,0,0.0319732507986921,0,0.105350800081942,0,0.00857340771425836,0,0,0,0,0,0.139425668698546,0,0,0,0,0.374058978202445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210959263743179,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.204920147726726,0,0,0,-0.151906619656971,0.231263629953,0,0,0.108447612414325,0,0.1678738673283,0.288880806823279,0,0,0,0.263526101786851,0,0,0,0,-2.16840434497101e-19,0,-0.331034617704674,0,0,0,0,0,0,0,0,0,0,0,0,0.00680589916208555,-0.216875318244913,0,0,0.168326853730822,0,0.10230682943698,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.24894225393686,-0.119354174095297,-0.0349448434873761,0.159916552300637,0,0,0,0,0,0.0663930360421226,0,-0.0224662636429669,0,0,0,0,0.467694691699689,0,0,0,0,0,0,0,0,0,0,0,-0.0329437618452057,0.0173553439052146,0,0.105124346684917,0,0.101327188567783,0,0,0,0,0,0,0,0,0,0,0.263954872368871,0,0
X000001.CH.EQUITY,0,0.0490326016743094,0,0.189698886057989,1.73472347597681e-18,0.0359599237983971,0,0,0,0.449376928073931,0,0.0937044989906786,0,0,0,0,0,0,0,0,0.247544792446513,0,0,0,0.0183338484006944,0,0,0,0.0392971316644651,0,0,-0.114668799019488,0,0,0,0,0,0,0,0,0,0,0,0.29532106094006,-0.0823548973437219,0,-0.105860293025658,0.0818740690601247,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00567544816106168,0,0.0281871537743854,0,0,0,0,0,0.35478762106878,0.0458558562192215,0,0,0,0,0,0,0,0,0.018118267298,0,0.313093885551978,0,0,0,0,0,0,0.0872520872433362,0.00810705276211026,0,0,0.130080367748853,0,0,0,0,0,0,0,0,0.103869028621506
X601601.CH.EQUITY,0,0.279637188442122,0.1400343767425,0,0,0,0,0,0.0285520411342566,0.0746457974839559,0,0,0,0,0,0,0,0,0.346824160021281,0,0,0,0.0538144131026939,0,0,0,0,0,0.00235528537079271,0,0,0.0821697900139016,0,0,0,0,0,0,0,0,0,0.0016962463020342,0,0,0,0,0,-0.145577043637387,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.0412630883670759,0.0792252219922311,0,0,0.0646464608557471,0,0,0,0.106683366066051,0,0.294239715011932,0,0,0,0,0,0,0.268122616989402,0,0,0,0,0,0.0197735337869429,0.029488028293185,0,0,0,0.0130011935407902,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0875284794163842,0,0.0924105746637413,0,0,0,0,0,0,0,0,0,0,0,0.44456037920724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271904095985185,0,0,0,0,0,0,0,0,0,0,0,0,0.00349699259486539,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.17332248267208,0,0,0.0341973920456634,0,0,0,-0.00854455524485462,0,0,0,0.157777093577257,0,0,0,0,0,0,0,0.0639754267391214,0,0,-0.130878015444008,0,0,0.178969242623671,0,0,0,0,0,0,0,0,0,0,0,0,0.232653873820852,-0.0560640604698116,-0.0152261085226151,0,0,0,0.173332913450171,0.121853978731493,0,0
