,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601881.CH.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.442632727059578,0.120539343652638,0.0538750684544378,0,0.199287843931061,0,0,0,-0.0700247482861326,0.0507784109402275,0,0,-0.0532010028676029,0,0,0,0,0,0,0,-0.00658441406554569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185782857100627,0,0.0713004701726527,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.198571304712414,0,0,0.00232766107209502,0.017081752582462,0,0,0,0,0,0.212758107324627,0,-0.0479569828667692,0.336586997345957,0,0,0,0,-0.138982064664012,0,0.197664042008118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09686768743961,-0.0330422547238059,3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.218612804132672,0.153843013478132,0,0,0,0,0,0,0,0,0,0,0,0,0.224901506356542,0,0,-1.73472347597681e-18,0,0.123401765378618,0,0,0,0,0,0,0,0,0,0,0.0115398128783899,0,0,0,0.0625515339975658,0,0,0.0634933629905532,0,0.0965452295520631,0,0,0,0,0,0
X601288.CH.EQUITY,0.412089783582921,-1.38777878078145e-17,0,0,0.217418601369739,0,0,0,0,0,0,0,0,0.112955094895443,0,0,0.085395156904208,0.0582368920564671,0,0,0,0,0,0,0,0,0.0201751414318913,0.024870488951966,0,0,0,0,0.020051053799787,0,0,0,0,0,0,0.0152914475952863,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.188337174643421,0,0.265415230451154,0,0,0,0,-0.122354451724415,0.361241960199215,0,0,0,0,0.269023636698157,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584721639448306,0,0,0,0,0,0,0,0,0,0.0770995631209304,0,0.0887379559340786,0,0
X600036.CH.EQUITY,0,0.0816601137312039,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0801861354722221,0.0374693664528406,0,0.255256555273565,0,0,0,0,0,0,0.204367636480099,0,0,0,0,0,0.214171248221409,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.142972705990498,0
X1299.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0,0,0.221371475677125,0,0,0.240131141765306,0,0,3.46944695195361e-18,0,0.181780754879338,0,0,0,0,0,0.302947859320531,0.173959103692163,0,0,0,0,0,0,-0.0937354928127992,0,0,0,0,0,0,0.0133725481541059,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230625904107733,0,0,0,0,0.0520788268036034,-0.398521715104909,0.747612912827446,0.560143161775107,0,0,0,-0.182006174835188,0,0,0,0,-0.174364708536699,0,-0.0419657414043726,0,0,0.0962584696811888,0,0,0,0.434055047986807,-0.206350381761778,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.189406264767587,0,0,0,0,0,0,-0.181585364133229,0,0,0,0,0,0.17771427831767,0,0,0,0,0,0,0,0,0.0437814312074926,0,0,0,0.307981871239855,0,0,0,0,0,0.146258659253763,0,0,0,0,0,0,0,0,0.096099415536109,0,0,0
X601658.CH.Equity,0,0.160762127852962,0,0,0.134976855947279,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206613336142037,0,0,0,0.00112566562838921,0,0,0,0,0,0,0,0,0,0,0,0,0.0410586258603927,0,0,0.442936425257814,0,0,0,0.379940431475086,0.00481907323336232,0,0,0,0,0,0.191828321300286
