,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X2886.TT.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.124315853309074,0,0.113464813764937,0,0,0,0,0,0,0.186581244247876,0,0,-0.248334246700122,0,0.0596511408960225,0.162710907225482,0,0,0,0,0,0,0.137415479181218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309728621440555,0,0,0.012866397393829
X601318.CH.EQUITY,0,0,0,0,0,0.0741016823555291,0,0,0.262682442384516,0,0,0.3330701630365,0,0.106993894451684,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0843056495153284,0,0,0,0,-0.247973067772469,0,0.0441046709822779,0.113317731000202,0,0,0,0,0.09751892947447,0,0,-0.0154160647568182,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.473982059291036,0,0,0,0,0.184218526063905,0,0,0,0,0,0,0.0612296732240063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370530729827977,-0.115392496416045,0,0.0490389104198253,0,0,-0.0446080956047092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.545234443353536,0,0,0,0,0.142946267571618,0,0,0.00882963747125984,0,0,0,0,-0.0270195371845249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181572333882454,0,0,0,0,0,0.0357951471779647,0,0,0,0,0,0,0.240815439087537,0,0,1.73472347597681e-18,0.00820172934011972,-0.0163826973991844,0,0
X5.HK.EQUITY,0,0,0.09407658064079,0.0372138273512587,0,0,0,-0.224605644294687,0,0,0,0.167229535010275,0,0,0,0.619704842388862,0,0,0,-0.0782515867093992,0.178455696811511,0,0,0,0,0,0,0,0,0,0,0,0.0210199765631346,0,0.250632424804475,0.193424160117132,0,0,0,0,-0.155361420269634,0,0,0,0,0,-0.051031075306945,0,0
X601988.CH.EQUITY,0,0,0.106008374516203,0.319299669444009,0,0,0,0,0.214479511808754,0.117546814361036,0.169651109717334,0,0,0,0,0,0.0797575963823168,0,0.0854794712572893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612689592543046,0,0,0,0,0,0,0,0,0,-0.125494291089954,0
X600036.CH.EQUITY,0,0.157919725856415,0,0,0,0,0,0.0530662698053465,0,0,0,0.399666239567043,0.0327956673138727,0.21101711498548,0,0,0,0,0,0,0,0,0,0.13025030250963,0,0.0387028352655253,0,0,0,0.0276513663009922,0.0806439758409465,0,0,0,0,0.0379060715184618,0,0,0,0,0,0,0.00133319488105487,0,-0.0589065442618699,0,0,-0.0552688878173065,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.146495352998275,0,0,0.134695811809625,0,0,-0.202420079855999,0,0.374705604795152,0.268906119403903,0.097087495238615,0,0,0,0.00923348178031544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401524169576138,0,0,0,0,-0.0442349713001276,0.0967710571869139,0,0,0,0
X601628.CH.EQUITY,0.179282637290162,0.423674622365046,0,0,0,0,0,0,0,0,0,0,-0.103223022290656,0,0,-0.282906445316564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578419804971204,0,0,0,-0.0388951221514678,0.0715435719798426,0,-0.230002116717025,0,0,0,0,0,0,0,0.0603509400958135,0,0,0,0.127404663696752
X601166.CH.EQUITY,0,0,0,0,0,0.293150981524646,0,0,0,0,0,0,0.0427552214387528,0.472720889570502,0,0,0,0,0,0,0,0,0,0.20060973784979,0,0,0,0,0,0,0.187559186503259,0,0,0,0,0,0,0,0,0.245377234044404,0,0,0.0581041319749411,0,0,0,0,0,0
