,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601236.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X601901.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.411961258953372,0,0,0,0,0,0,0.0988134825604175,0,0,0.0774916390190862,0.156484025987132,0,0,0,0,-0.101590026910354,0,0,0,0,0,0,0.0668585492075139,0,0,0,0,0,0,0,0,0.289540909975085,0,0,0,0,0,0,0,0,0.102071211793323,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.242051223247665,0.202642477591911,0,0,0,0,0,0,0,0,0,0.182869044353677,0,0,0,0,0,0,0,0,0,0,0,0,0.0225983437488052,0,0,0.141213991496118,0,0.102936276977543,0,0,0,0,0,0,0,0.009330980590835,0,0.0296262136531534,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.230516254540586,0,0,0,0,0,0,0,0,0,0,0,0.493442794309993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121993592708507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100884639453594,0,0,0
X601288.CH.EQUITY,0.311677822053387,0,0.126052583477749,0,0.386357367876665,0,0,0,0,0,0,0,0,0.103957811057059,0.0243551325239065,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0147446630165598,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.205537889301965,0,0,0,0,0,0,0,0.113242967932228,0.170475686460994,0,0,0,0,0.0136947507389327,0.0191772856025494,0,0,0,0.0693473434073757,0,0,0.182037632727035,0,0,0,0,0,0,0,0,0,0.0438040335034235,0,0,0,0,0,0,0,0,0.131414651617149,0,0,0,0,0
X5.HK.EQUITY,0.198998777117995,0,0,0,0,0,-0.427387864011776,0,0,0,0,0,0,0,0.594302663201236,0,0,0,0,0,0,0,0.358426199760671,0,0,0.377877748388073,0,0,0,0,0,0,0.705826544364003,-0.0802496269026695,-0.130674283110789,0,0,0,0,0,-0.525602710293607,0,0,0.177863567722383,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.038506305697348,0,0,0.055126203958481,0,0,0.154642085772322,0,0,0.0144595763297973,0,0,0.162664020662477,0,0,0,0,0,0,0,0,0,0.0161035015695188,0.172850239483678,0.120786034167861,0,0,0,0,0,0,0,0,0,0,0,0.0665877708875355,0,0,0.0713510667833327,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.112106108588946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201439416366741,0,0,0,0.571911468202101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354746472248214,0,0,0,0,0,0.0357022470754424,0,0,0,0
X601628.CH.EQUITY,0,0,0.261884607066302,0.0214370142312994,0.237800038406997,0,0,0,0,0,0,0,0,0,0,0,0,0.0539419871507591,0.133656861876854,0,0,0,0,0,0.095787767858223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105155078805469,0,0
X601658.CH.Equity,0,0,0,0,0,-0.08209133924539,0,0,0,0,0,0,0,0,-0.156915902749391,0,0,0,0,0,0,0,0,0,0,0,0.148095432666936,0,0,0.0213557806266322,0,-0.707246022817632,0,0,0,0,1.06275804396883,0,0,0,0,0,-0.0773322806706514,0,0.600039425112557,0,0,0.419901537025784,0,0
