,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X601077.CH.Equity,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0.102487179099879,0,0.0360017043060021,0,0,0,0,0,0,0.164257490736066,0.341717555686627,0,-0.14984622382021,0.045371953059146,0,0,0,0,0.154979155293687,0,0,0,0.0648150318967176,0,0,0,0,0,-0.0490955337730122,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.186435331171039,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.359554306823382,0,0,0.229154200617794,0,0.010280379635235,0,0,0,-0.117590115125557,0,0,0,0,0,0.147593551138346,0,0.00234476500506251,0,0,-0.278202613853069,0,0,0.262976124903244,0,0,0,0.199857858681125,0.104373027391126,0,0,-0.103737016484249,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.488047792426211,0,0,0.0290541533772902,0,0.150478142882435,0,0,0,0,0,0,0.0589297692809816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366128761524167,-0.121541183650481,0,0.0668805370978675,0,0,-0.0603594359870924,0,0,-0.0126989598515444,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.50532506632161,0,0.159685835994298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108454770324104,0,0.0152360772220401,0.113073578161546,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.185910099226825,0,0,0.0426949973553241,0,-0.0421254284643792,0,0
X5.HK.EQUITY,0,0,0.0191054994650697,0.239623369173929,0,0,0,-0.282782291716867,0,0,0.00376550593831366,0.166097419444285,0,0,2.16840434497101e-19,0.875002497216436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118400642994244,0,0,-0.00824265913617512,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0283285814983754,0,0.189583401566708,0.243797808853371,0,0,0,0,0.0751186671469977,0.194062758689398,0.0618369752014308,0,0,0,0,0,0,0,0.0947732628432646,0.107746588893423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170735212859908,0
X600036.CH.EQUITY,0,0.0347898035343471,0,0,0,0,0,0.168868625257086,0,0.0213237232619773,0,-8.67361737988404e-19,0.207648627159405,0.0773796932537489,0,0,0,0,0,0,0,0,0,0.0774660329569783,0,0,0,0,0,0.0985726100334975,0.111297205614123,0,0,0,0,0.110750423809199,0,0,0,0,0,0,0,0,-0.0406576583613063,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.153156583243603,0,0,0.0934120538904424,0,-0.0100753417874816,-0.198269676565133,0,0.376612142807577,0.286637456166311,0,0,0,0.0867750538861592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519384539457322,-0.0374903968145615,0.102173025144795,0,0,0,0
X601628.CH.EQUITY,0.062323762583639,0.393441721087163,0,0,0,0,0,0,0,0.0234220522141654,0,0,-0.0506860927262114,0,0,-0.131710264105182,0,0,0,0,0,0,0,0,0.0325599205025198,0,0,0,0,0.135108623119157,0,0,0,-0.140540642793285,0,0,-0.130678508418231,0,0,0,0,0,0,0,0.13320869717965,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.078643433395145,0.428236293987679,0,0,0,0,0,0.0532915871947323,0.324149643856804,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.154144067451789,0,0,0,0,0,0,0,0,0.141473304513528,0,0,0,0,0,0,0,0,0
