,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2884.TT.EQUITY,X600926.CH.EQUITY,X601696.CH.Equity,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0882100000631232,0,0.12808356541121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510988552082575,0,-0.289731968320932,0,0,0,0,0,-0.0727744918819097,0,0,0,0,0,0,0,0,0.0816903192761332,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.048386371636796,0,0,0.0710702358953465,0,0,0.103935839558232,0,0.38274513618012,0.123347234134908,0,0,0,0,0,0,0,0,0,0,0.0879633245974297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419949956013288,0,0
X601939.CH.EQUITY,0,0.0707048248088695,0,0.783221502521932,0,0,0,0,0,0.0397966415017225,0.0584703097758714,0,-0.0449125496354475,0.00701767342456987,0,0.0712641524678438,0,0,0,0.00277748546188334,0,0.0422609467149854,0,0,0,0,0,0,0,0,0,0.0725360527123378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.801453645391741,0,0,0,0,-0.0368505239403052,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0642566664829989,0.060553922225751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180921685951528,0,-0.0556131405298682,0.0466965309977428,-0.012156668145046,0,0.00408451427262252,-0.214190960991928,0
X601628.CH.EQUITY,0.00118489925530399,0.118515384870805,0,3.46944695195361e-18,0,0,0,0,-0.0290661929538588,0.244624176990961,0,0.286755661407902,0,0,0,0,0,0.165435343795383,0,0,0,-0.174314871012798,-5.55111512312578e-17,0,0,0,0,-8.67361737988404e-19,0,0,0,0.355942931761918,0,0,0,0,0,0,0,0,0,0,-0.0219250208952148,0,0,0,0,0,0.122431509206222,0
X600036.CH.EQUITY,0,0,0.163491117682372,0.224915990287161,0,0,0,0.0174738838573716,0.0608461912194872,0,0,0,0,0,0,0.039403511092139,0.0691475813603243,0,0,0,0,0,0,0,0.019452678331865,0,0,0,0,0,0,0,0,0,0,0.0661968407714718,0,0,0,0,0,0,0,0.00844299116370133,0.199192297094654,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0604385126980984,-0.0494437655207458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332979774400499,0,-0.120785990706264,0,0.993388542685277,0,0,0.072611605169727,0,-0.00672409118448825,0,0,-0.0110396068700694,0,-0.0177780403704971,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.433490579129222,0,0,0,0,0.0324070651592396,0,0,0,0,0,-0.0983001685778785,0,0,0.31274946064476,0,0,0.0977952917766358,0,0,0,0,0,0,0,0,0,0,0,0,0.0825023455866536,0,0,0,0,0,-0.0903435286744062,0.231667595208784,0,0.143176507231472,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.119424573702827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454206030794635,0,0.5212491555776,0,0,0.169368917510593,0,0,0,0,0,0,0,0,0.233527326155191,0,0.15753158251732,0,-0.257580324108016,0,0,0,0,-0.283363588572169,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.450406667907024,0,0,0.0989287898725324,0.18058236068872,0,0,0,0,0,0.0701542263043385,0,-0.118745866053707,0,0,0,0,0,0.218557991007941,0,0.0686297440765143,-0.236068367773445,0.421726120250017,0,0,0,0,0,0.143906010768426,-0.342157080831853,0,0,0,-0.310106780697309,0,0,0,0,0.210823362835077,0,-0.109567587237304,0,0,0,0,-0.174789105420864
X601658.CH.Equity,0,0.0854671844225929,0.26016652869291,0.0443121214735639,0,0,0,0,0,0,0,0,0,0,0,0.0736798293581423,0.0170798462670458,0.116689292331373,0,0,0,0,0,-0.0651218031876085,0,0,0,0,0,0,0,0.0343878279056148,0,0,0,0.0665543561026612,0.066862733426039,0,0,0,0,0,0,0,0.142989890432048,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.172455750235621,0,0,-0.0517492936329282,-0.024096898746259,0.0412293589848903,0,0,0.28660364992946,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197929634938065,0.0734976868772971,0,0,0,0,0.127069725618623,0,0.121227634608,0,0,0,0,0.157268731255836,0.0374956572277269,0.160057705162704,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0410557951344317,0,0.452362814746328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321492607918983,0.250448451592315,0,0,0.112429407507824,0,0.0263751967837912,0,0,0,0,0,0,0,0,0.0488037477452375,0,0,0,-0.0272043523824575,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.371711793292576,0,0,0,0,0,0,0,0,0.123458371171901,0.0360925973321711,0.121971713627289,0,0.0486940002558657,0.0272105524334244,0,0,0,0,0,0,0,0,0,0,0.0032729543396299,0,0,0,0,0.0416999218937348,0,0.222192991732795,0,0,0.0276061352408413,0,0,0,0.0304266452096139,0,0,0,0.0223112965388589
X601328.CH.EQUITY,0.0576646531338585,0,0,0.195693088662926,0,0,0.00093446822163305,0,0,0,0,0.0496689006363651,0,0,0,0,0.0723466784607818,0,0,0.392913267957547,0,0,-0.00750530794716363,0,0,0,0,0,0,0,0,0,0.0453933995737702,0,0,0.0816461295050159,0,0,0.00399259771628705,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.624471606476276,0,-0.0932288610856731,0,0.0944516938622258,0,0.044813303401909,0,4.33680868994202e-19,0,0,0,0,0.127633997623292,0,0,0,0,0,0.0623266148625394,0,0,0,0,0,0,0,0.328696701109255,0,0,0,0,-0.0167370373363412,0,0,0,0,0,0,0,-0.00835005078944149,0,0,-0.0280565449765427,0
X600000.CH.EQUITY,0,0,0,0,0,0.131006446630862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382704498545926,0.0406769050430316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137237261195654,0,0,0.0972531059154524,0,0,0,0,0,0.111531217779282,0,0,0.287737855383946
X601601.CH.EQUITY,0,0.125061312769589,0,0,0.335135185752478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145858538266928,0,0.214844423741058,0,0.107333430366822,0,0.0978884297160976,0,0,0,0,0,0,0.127314671564656,0,0,0,0.00912397981328656,0,0,0,-0.0895972170179046,0,0,0,0,0,0,0,0.12096260152882,0,0
X601319.CH.EQUITY,-0.010510371572236,0,0,0,0,0,0,0,-0.0221186567677284,-0.0022535519214196,0,0,0,0,0,0.127882006798166,0,0.258571435178456,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238192661774075,0,0,0,0,0,0,0,0,-0.110696408983681,-0.0254777467708986,0.0262514047810436,-0.136461931371816,0.312197813807774
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.00743088353475985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201523642461225,0,0,0.348177280602152,0.0233839595828608,0,0,0.0518136297024963,0,0,0.037830060075872,0,0,0,0,0.0632964300873603,-0.0766325957813206,0,0,0,0,0,0,0,0.542066382724371,-0.279241916356412,0,0,0
