,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X000069.CH.EQUITY,X601901.CH.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.509156929170966,0.0651295732853049,0.100682285202698,0.0176006525204074,0.0348714622703593,0,0,3.46944695195361e-18,0,0,0.0895705535353476,0.0372067145394792,-0.0319238620160858,0.00774992407512314,0.0517703619684593,0,0,0,0,0.0667714152770857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833536446589329,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0707452516672244,0,0,0.120266667291241,0,0,0,0,0,0.25573030650444,0.00904270791442555,0,0,0,0,0,0.148023048794692,0,0,0,0,0,0.25149285630807,0,0,0,0.0755375140494012,0,0,0.0263495451407974,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.632232398654304,0,0,0.0916180106036278,0.0447978125966629,0,0,0,0,0.0175521298182115,0.0426182720168627,0,0,0,0,0,0,0,0,0,0,0,0.117191661373121,0,0,0,0,0,0,0,0,0,-0.0413855826223608,0,0,0,0,0,0,0,0,0,0,0,0,0.0396638725952713,0,0
X601288.CH.EQUITY,0.161958279479291,0,0.358306435960107,0,0,-3.46944695195361e-18,0,-0.0117698713997688,0,0.153751575312808,0,0,0,0,0,0.0351770904117668,0.0660019126263627,0,0.179634571166701,0,0,0,0,0,0,0,0,0,0.0228827357589796,0,0,0,0,0,0,0,0,0,-0.0950379268167041,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.18541691634128,0.0951811830971004,0.195066281206946,0,0,0,0,0,0,0.108521463377961,0,0,0.104776375130403,0,0,0,0,0,0,0.0584200270266123,0.0465662117892929,0,0,0,0,0,0,0,0,0,0,0,0,0.556471337462494,0.030712473819512,0,0,0,-0.919686808176245,0.146823688202441,0,0,0
X601988.CH.EQUITY,-3.46944695195361e-18,0,0.232486848891649,0,0.0678992263272126,0,0,0,0.176888696251886,0,0,0,0.110257040796954,0.0542444822068346,0,0.113694246485675,0,0,0,0,0.366075130472419,0,0,0,0,0,0,0,0.00774418313157859,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.1018212770406,0,0,-0.0227942449244071,0,0,0.0605014724933189,0,0,0.0522292533422491,0,0.340387321735041,0,-0.0479443429105859,0,0.0550837227527528,0,0,0,0,0.370411563931787,0.00204758954278119,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0412113689709492,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.108190199768037,0,0.241985945048442,0,0,0,0,0,0,0.191453345977203,0.0938286140793815,-0.054483024505378,-0.117530382124485,0,0,0,0,0,0,0,0,-0.0609765795194492,0,0,0,0,0,0,0,0,0.0374730425617483,0,0,0,0.327884106944399,0,-0.0827596763825777,-0.177058112971294,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0144743389742208,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.156469083136619,0,0,0,0,0,0,0,0,0,0.255533379257838,0,0,0.245053961208123,0,0,0,0,0.140177532675218,0,0,4.56821427015925e-05,0,0,0,0,0,0,0,0,0,0,0.0482480907754642,0,0,0
X601328.CH.EQUITY,0,0.0880536057008861,0.0854062183828551,0,0,2.77555756156289e-17,0.0859352698726717,0,0,0,0,0,0.126580894004011,0,0,0,0,0,0.188028397472988,0,0,0,0.0539159277285095,0,0,0,0,0,0.150518020313326,0.165082865794874,0,0,0,0,0,0,0,0,0,0,0.0230229793670439,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0947488152324317,0.04867721076794,0.199903519185653,0,0,0.0902524152888634,0.0854053732245973,0,0.13471499090578,0,0,0,0,0,0,0.0190107282893209,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.144694293645538,0,0,0,0,0,-0.01019194615469,0,0,0,0,0,0.0811243488565529,0,0
X601319.CH.EQUITY,0,-0.0846201495642034,0,0,0,0,0,-0.188745648003857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643274867592505,0,0,0,0,-0.0921884971239044,0,0,0,0,-0.066707721795424,0,0,-0.0827087522827192,0,0.0520663370822784,0.0685231000866826,0,-0.0631658681014512,0.193381996093327,0,0.345085007235792,0,0,0.330971854753158
X600000.CH.EQUITY,0,0.0471704571928472,0,0,0,0,0.186665399979891,0.102140558677966,0,0.147099424332724,0.0314793951753228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172175934461081,0,0,0,0,0,0,0,0.0145247433716819,0.0986552471541225,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0703059600946124,0,0,0.137615320263731,0,-0.0721768573433244,0,0,0,0,0.41962859357054,0,0.299656651714486,0.10589885030779,-0.100300962702075,0,0,0,-0.231813974097457,0,0,0,0,0,0,0,0,0,0.0690257108430252,-0.0432945877448943,0,0,0,0,0,0,0.088275285393863,0.161157159583946,0,0,0,0,0,0.216608257833534
X2388.HK.EQUITY,0,0,0,0,0.190034779684117,0,0,0.0185659750134051,0,0,0,0,-0.0649282877535598,0,0,0,0,0.0214065892692315,0,0.0211705954942915,0,0,0,0,0,0,0.017721138542707,0,0,0,0,0,0,0,0,0,0,0.139268090906258,0,0,0.0948975156845356,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.32219218967796,0.11448310726213,0,0,0,1.38777878078145e-17,0.0243467270686486,0,0,0,0,0,0,0,0,0,0.0393663687393291,0,0,0,0,0,0,-0.0519609680065772,0,0.0866137364306884,0,0,0,0,0,0,0.012909422446001,0,0.0137371348182956,0.329543379638097,0,0.0677976898703416,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.0271491274676079,0,0.119829131880506,0,0,0,0,0.175143468030954,0,0.214625381900957,0,0,0,0,0.164188500845617,0,0,-0.0307557479770154,0,0,0,0,0,0,0,0,0,-0.0190666823435795,0,0,0,0.123714551802162,0,0,0,2.16840434497101e-19,0,0,0,0.102455581403446,0,0
