,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.408358816766759,0.0275314177852067,0.0875051088331817,0,0,0,0,0.0189864493517665,-0.0874755359357116,0,0.0255331491785129,0,0,0,0,0,0,0.0343557966461647,-0.0684406535777966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138791573912982,0,0.0932786083181382,0.091140749405839,0,0,0,0,0,0,0.0964676719173708,0
X601939.CH.EQUITY,0.535892369673098,0,0,0.0904107007000547,0,0,-0.108146453538807,0,0,0,0,0,0,0.412225857061491,0,0,0,0,-0.169104442258215,0,0,0,-0.000574131594501676,0,0,0,0,0,-0.000749518875830819,0,0,0,0,0,0,0,0,0,0.0822356215211213,0,0,0,0,-0.0169849995353284,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.202659584108523,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.281628330594012,0,0,0,0,0.0857743412053849,0,0,0,0,0,0,0,0,0.101920200038481,0,0.0626881601550409,0,0,0,0.173326699702894,0,0,0,0,0,0.119916990372464,0,0,0,0,0
X601288.CH.EQUITY,0.429478360629343,0,0,0,0.267914878563105,0,0,0,0,0,0.0148623066342963,0,0,0,0,0,0.0120828878242435,0,0,0,0,0,0,0,0,0,0,0.0711100515070059,0.0106741030245269,0,0,0,0.0846183595350971,0,0,0,6.93889390390723e-18,0,0,0.0408281392621146,0,0,0.0797767476149019,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.13494845146404,0,0.481116976383172,0,0,0,0,-0.0338856383734822,0.404392854081058,0,0,0,0,0.137727520624332,0,0,0,0,0,0,0,0.0863076449091857,0,0,0,0,0,0,0,0,0,0,0.0355050757264286,0,0,-0.230860752107058,0,0,0,0,0,0,0,0,0.0958648370950041,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.139279448899091,0,0,0,0.156472108050831,0,0,0.0505652514061652,0,0.0465292646968059,0,0,0,0.193544164742384,0.135039484724949,0,0,0.0300203648659813,0,0.0501180375290227,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0577834286836636,0,8.67361737988404e-19,0,0.103757430691692,0.0708581955075751
X1299.HK.EQUITY,0,0,0,0.111128002864156,0,0,0,0,0,0,0,0,0.26339551976112,0.123741324594221,0,0,0,0,0,1.73472347597681e-18,0.0237191232951158,0,0,0.0727922955058464,0,0,0,0,0,0,0,0,0,0,0.0164941854934327,0.209167665350847,0,0,0,0,0,0,0,0.0785777963844399,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0138552461206498,0,-0.0338801054162274,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,-0.188802783961517,0,0,0,0,0.254916397844356,0,0,0.48564350926432,0,0,0,0,0.162178880060712,0,0,0,0,0,-0.353170337541012,0,0,0,0,0,0,0.452742059320775,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0144267995976144,0,0.088641078897034,0,0,0,0,0,0,0,0,0,0,0,0,0.2252764898769,0,0.129004785647134,0.0887692616745391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14366402696629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586853150029927,0,0,0.152830425552977
X601658.CH.Equity,0,0.016123681769,0,0,0.142490028716862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130457768295753,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0193516668796668,0,-6.93889390390723e-18,0,0,0,0.5859719393296,0,0.135925811557646,0,0,0,0,0.193717068816299
