,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.262999203570872,0,0.0515928403078943,-0.0128848252409296,0,0.467144676944263,0,0,0,0.0518142866583782,0,0,0,0,0,-0.00148086349261364,0,0,0,0,0,0.092368063805702,0.0341600409448452,0,0,0,0,0,0,0.0848202699718374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.23053684264995,0,0,0,0.125686996311188,0,0.100938678050833,0,0,0,0,0,0.0729596505082558,0,0.00469318860763709,0,0.10993385506344,0,0,0,0,0,0,0,0,0,0,0,0,0.08296961206165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202378207302013,0,0,0,0
X601939.CH.EQUITY,0.4155477598925,0.265997930549663,0,0.164209658186426,0,0,0,0,0,0,0,0.162130622800777,0,0,0,0,0,0.25624462995121,0,-0.218193669225757,0,0,0,0.0542257154533189,0,0.102736193438101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248454172751443,0,0,0,0
X601288.CH.EQUITY,0,0,0.0295620328496645,0,0,0.0551038637685753,0,0.408591743716488,0,0,-0.0831798050767738,0.0859269706172016,0,0,0,0,0,0,0.107109086440736,0,0,0,0,0,0,0.122563387135885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730735645469624,0,0,0,0.0486537953708635,0,0.0570430645664993,0,0
X600036.CH.EQUITY,0.1147318681056,0,0,0,0,0.107731031258497,0.30501114295092,0,0,0,0,0,0.204332221848098,0,0,0,0,0,0,0,0.0287307183492784,0,0.00580834259066062,0.104269334962153,0.267715296523967,0.0638344579836957,0,0,0,0,0,0,0,0,0,0,0,-0.0996624248122761,0,0,0,0,0.0772278995431732,0,0.0867848392440141,0,0,0,0,0
X601628.CH.EQUITY,0,0,-0.0232628567237151,0,0,0,0,0,0,0,0.123776495704923,0,0,0,0,0,0,0.00469047213127846,0,0.178765103563516,0,0,0,0,-0.130899473161612,0,0,0,0.652297748986961,-0.112154392839405,0,0,0,0.176017496915279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00234894533800517,0
X1299.HK.EQUITY,0,0,-0.0495143264741995,0,0.22074266820184,0,0,0,0,0,0.146252248233282,0,-0.126222004212348,0,0,0,0,0,0,0,0.148971415979227,0,0.157701503408571,0,0,-0.0853517836798527,0,0,0,0,0,0.24174305719505,0,0.174790248159659,0,0,0,0,0,0,0,0,0,0,-0.046740940460344,0,0,-0.119796013590951,0,0
X601988.CH.EQUITY,0,0,0.0240120073469937,0.535833849793575,0.237061159199725,0,0,0,0,-0.0259725793563764,0,0,0.175415603865164,0,0,0.111916550907341,0,0,0,0,0.0369058706278169,0,0,0,0,0,-0.00312704401152975,0,-0.0324891627862529,0,0.0172676551645664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.267776261400277,0.0549245761537207,0,0,0,0,0,0,0,0.188441313876284,0,0,0,0,0,0,0,0.068410921107847,0,0.292864824579256,0,0.257995815375982,0,0,0,0,0,0,0,-0.0422900525921904,0,-0.128783332662167,0.129236102232261,0,0,0,0,0,0,0,0,0,0,0.00345446830655631,0,0,0,0,-0.00446338311202009
X601166.CH.EQUITY,0,0,0.101855671344171,0,0.0908620296421368,0,0,0,0,0,0,0.0315192857289126,0.0761454735609146,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.130915094368717,0.367638011853952,0,0.019565977580763,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0247820957952227,0,0,0,0,0
