,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X600061.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,0,0.546779943903048,0.0760480246348761,0,0,0,0,0,0.0184571083117656,0,0,0,0.14471118572218,0,0.195860601193426,0,0,0,0,0,0,0,0,0,0,-0.0643801176826714,0,0.0608525351861427,0,0,0,0,0,0,-0.0481057544459923,0,-0.0653045405918731,0,0,0,0,0,0.053309139904636,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0579989885696147,0,-0.0432839005289115,0.0395124790841564,0.157989653830393,0.267092243576852,0,0,0,0.0126838669654312,0,0,0.251295254651383,0.0814094169815915,0,0,0,0,0,0,0,0,0,0,0,0.0964593523417432,0,0.13805591890042,0,0,0,0.0964941120937214,0,0.0580965223019301,0,0,0.0276557247279122,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.186763761710608,0,0,0.45507152444065,0.0966252806877867,0.0787805705595282,0,-0.0191052185857148,0,0.0631594898920523,0,0,0,-0.0519099910903307,0,0,0,0,0,0,0,0,0.204517241115007,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0208535156107767,0,0,0,0,0,0.0231764820604538,-0.036076594917029,0,0,0.0621985841594278
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0077136539673943,0,0,0,0.0329789619870536,0,0,0,0,0,0,0,0,0.157787164033876,0.498229948817537,0,0,0,0,0,0,0,0,0.167232508810502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805081769260609,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0977612755005278,0,0.364717109388144,0,0,0,0,0,0,0,0,0.0736768171467637,0,0,0,0,0,0,0,0,0,0,0,0.207395763267122,0,0,0,0,0,0.0497108690469621,0,0,0,0.23792255630196,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,-0.0222320166834606,0,0,-0.133434494640247,0.387888516294918,0,0,0,0,0,0,0,0,0,0,0,0,-0.273603355453059,0,0,0,0.338382174384463,0,0,0,0,0,0,0,0,0.17179240769064,0,0,-0.0593892792308482,-0.186642103547552,0,0,-0.126527033774793,0,0,0,0,-0.0443497211180238,0,0,0,0,0.518430942865208
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111438425785426,0.0674119414122057,0.0636782275512206,-0.106145610979703,0,0.104075791528299,0,0,0.432751595865736,0.0275605562710917,0,0,0.0852748071203653,0,0,0,0,0,0.349508535958884,-0.181099501398898,0,0.10202927125969,0,0,0,0.176944594975467,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.261334539623902,0,0,0.170901392752008,-0.00780049080920889,0,0,0,0,0.0725394868587547,0,0,0.297970032520446,0.472426507502883,-0.056367507462236,0,0,0,0,0,0,-0.0821595914464209,0,0,-0.0454511920103529,0,0,0,0,0,0,0,-0.141522023577903,0,0,0,0,0,-0.155966200426774,0,0,0,-0.248418498120327,0,-0.151922216655003,-0.0204927109213357,0
X601628.CH.EQUITY,0,0.164638238582522,0,0.053637837244487,-0.0785889512523913,0,0,0,0,0,0,0,0,-0.0317296551904025,0,0.205040810218466,0,0,0,0,0,0,0,0.0450801510341876,-6.93889390390723e-18,0.297190239609858,0,0,0.00143561427240226,0.183660621879342,0,0.0877377564696165,0,0.0764503005701168,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,3.46944695195361e-18,0,0.364229156568161,0.00795944613712473,0,0,0,0,0,0,0,0.462230326857795,-0.0107625967995373,0,0,0,0,0,0,0.123989165052881,0,0,0.074985124898391,0,0,0,0,0,0.0364281701281543,0,-0.0641865294136193,0.227904795845355,0,0,0.0906972837627999,0,0,0,0,0,0,0,0,0,0,0,0,0
