,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601009.CH.EQUITY,X2884.TT.EQUITY,X601881.CH.EQUITY,X601236.CH.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0.467232846264,0.126326963028671,0.00458642289735189,0,0,0,0,0.0500127063094791,-0.067073708101896,0.0954815611799257,0,0,-0.0790959049782087,0,0,0.0992006512738796,0,0,0,0,0,0.0381013548111788,0,0,0,0,0,0,-0.0218213277159891,-0.0240196262808113,0,0,0,0,0,0,0,0.0579579048852078,0.0768146002592841,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.341869480019641,0,0,0.0609143266733161,0,0,0,0,0,-8.67361737988404e-19,0.173258138636272,-0.0326416096430047,0,0.236000383329817,0,0,-0.070943301371844,0,0,0,0,0,0.10550607687734,0,0,0,0,-0.0773188825565963,0,0,0,0,0,0,0,0,0,0.0395465636085887,0.131237947798713,3.46944695195361e-18,-6.93889390390723e-18,0,0,0,-0.11991641385198,0,0,0,0,0
X601318.CH.EQUITY,0.110235864976003,0,0,0,0.197093506884487,0.11280192523407,0,0,0,0,0,0,0,0,0,0,0.139937088531221,0,0,0,0.013370137500942,0,0,0.130482891012682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170738372234712,0,0,0,0
X601288.CH.EQUITY,0.19138132949774,0.271493370824089,0,0,0.111282908878844,0,0,0,0,0,0.0191667070620038,0,0,0.0876070352346081,0,0,0,0,0.0636130774143367,0,0,0,0,0,0,0,0.063920906390118,0.0908406331935124,0,0,0,0,0.0393646880842645,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0472537295791522,-3.46944695195361e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.071533265085188,0,0.429563016988074,0,0,0,0,0,0.379544887378335,0,0,0,0,0.0354437828912155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118228502772006,-0.120622102019448,0,0,0,0,0,0,0,0,0,0.123535573251131,0.11250243534247,0,0
X600036.CH.EQUITY,0,0.0803494512875365,0,0,0,0,0,0,0,0,0,0,0.0346750293028789,0,0,0.0544079413251373,0.298996324114115,0,0.0252866623147969,0.0346302135864361,0,0,0,0,0,0.264867412224114,0,0,0,0,0.0748071654105593,0,0,0,0,0,0,0.0511374572177364,0,0,0,0,0,0,0,0.0519662154982051,0,0,0.104349279676258,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.23243923202388,0,0,0.266857019400506,0,0,0.131602420966936,0,0.0269978526242189,0,0,0,0,0.320866057721449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655320080308018,-0.314156663497055,0,0.126954177873655,0.625913365619726,0,0,0,-0.233590624078158,0,0,-0.179258081969932,-0.102536151220222,0,0,-0.00256937704401207,3.46944695195361e-18,0,0.161261733399992,0,0,0,0.251035331760868,-0.192485656646381,0,0,0,0.0868884240474989,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.185772344186093,0,0,0,0,0,-0.158893578870208,0,0,0,0,0.146166859288054,0,0,0,0.143388538642237,0,0,0,0,0,0,0.0521093868738758,0,0,0.188059036902046,0.000564126954374221,0,0,0,0,0,0.165526422003437,0,0,0,0,0,0,0.0899617073306377,0,0,0,0,0
X601658.CH.Equity,0,0.20010748982132,0,0,0.119138463569393,0,0,0,0,0,0,0,0,0,0,0,-0.0523185240330722,0.257463252038075,0,0,0,0,0,0,-0.209228678413437,0,0,0,0.0407796461993248,0,0,0,-0.0713471781301562,0,0,0,0.152577725855622,0,0.114786193057131,0,0,0,0.40738607784253,0,0,0,0,0.107574205569248,0,0.0644974061473481
