,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X000069.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,-6.93889390390723e-18,0.628966896206162,0,0.0109235892484597,0,0,0,0,0,0.0463717336984502,0.0741475667773494,0,0,0,0,0,0.092535212957839,0,0,0,0,0,0,0,0,0,0,0,0.102184028746399,0,0,0,0,-0.0107007191489529,0,0.0340315829832366,0,0,0,0,0,0,0,-0.0298242006965891,0,0,0
X601318.CH.EQUITY,0,0,0,0.11813074887766,0,0,0,0,0.0649401349869077,0,0,0,0,0,0,0,0,0.242068057579283,0,0,0,0,0.309262277317576,0.0985241825955908,0,0,0,0.0181214002457753,0,0.0738492841407644,0.002586449021994,0,0,0,0,0.0131822477088469,0.0337256653825283,0,0,-0.000221824725641746,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.187876990023753,0.0536855318163369,0,0.364128489501547,0,0.0543824465773479,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.15464586696598,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.116253779202451,0,0
X601288.CH.EQUITY,0.0614961913618493,0,0.221377399484574,0,0,0.0104420096730671,0,0,0,0.220837493712526,0,0,0,0,0,0,0,0.0292834284378289,0.0630548913557503,0,0,0.235394442891879,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.052149203192888,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0466918922876468,0
X5.HK.EQUITY,0,0,0,0,0,0.25342607514652,0,0,0,0,0.353758905680173,0,2.77555756156289e-17,0,0.163731836235677,0.240017664607688,-0.149299421571771,0,0,0,0,0,0,0,0,0.0840949139470322,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0240162809568852,0.214806100798602,0.0872015263221999,-0.847730727024933,0,0.232787082012202,0
X601988.CH.EQUITY,0.0903620692063873,0,0.172796105374735,0,0.0372406417817094,0,0,0,0.0390803635156619,0,0,0.0652240173313875,0.126075748232531,0,0,0,0,0.149378048843938,0,0.407042060275182,0,0,0,0,0,0.0356232094652143,0,0,0,0,0,0,0,0,0,0,0,0.00332973280074963,0,0,0.0223839359500319,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.380139086608307,0,0,0,0,0,0,0,0,0,0.0675133001193675,0,0,0.357021423057192,0,-0.0113793250324343,0,0,0,0,0,0,0,0.0579829168025917,-0.116455152882836,0,0,0,0,0,0,-0.106196340198933,0,0,0,0,0,0.0245856331113827,0,0,0,0,0,0,0,0,-0.0856849869989838
X600036.CH.EQUITY,0,0,0,0,-0.103322979951174,0,0,0,0,0,0,-0.0426692321156319,0,0,-0.012318067472241,0,0,0,0,0,0,0.791465498296951,0.0771462523899709,0,0,-2.16840434497101e-19,0,0,0,0,0.034644668421674,0.149614256777061,0,0,0,0,0.00994350003957239,0,0,0,0,0,0,0,0,0,0,0.0715577065646135
X601628.CH.EQUITY,0,0.212571278900892,0,0,0,0,0,0.0309698243904472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681527,0,0,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218809,0.0277536992582405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.142964512690604,0,0,0,0,0.122965839565914,0,0,0,0,0.241636191976357,0,0,0,0,0,0.225124461809162,0,0,0,0.0487243391900532,0,0,0.00830143507058907,0,0,0.024147031138824,0.19769646287383,0,0,0,0,0,0,0.0128274041910535,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.110254910634855,0,0.212059460791329,0,0,0,0,0.137615692009521,0.110861621033701,0,0,0,0.157506291905925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.142336396367972,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.151630632510886,0,0,0,0,0,0,-0.0531670711446486,0.273454407794869,0.356572214458734,0,0.23567310916339,0,0,0,0,-0.26876067700952,0,0,0,0.220403619855235,0,0,0,0,0,0,0,0,0,0,0,0,0.0913362136282581,0,0,0,0,0,0,0.0816233380018705,0
X600000.CH.EQUITY,0,0,0,0,0.0803327559530409,0,0,0.230361543574137,0,0,0.169664308494534,0.0171192211410223,0,0,0.114558113010674,0,0.042573868204457,0,0,0.0290518248330374,0,0,0,0,0,0,0,0,0,0.0711592546096677,0,0,0.0793148858093791,0,0,0,0,0,0.0391593323794434,0,0,0,0,0.0419994725303776,0,0,0,0.00412053367242637
X601319.CH.EQUITY,0,-0.065078962558716,0,0,0,0,-0.339017234873964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26456279573549,0,0,0,0.618545495170293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102055405639647,0,0.132947838843251,0.228371010690757,0,0,0.0334445355647853,0
X2388.HK.EQUITY,0,0,0,-0.0633982798230515,0.149405983222605,0,0.162696255426868,0,0,0,0,0.266659759433159,0,0,0,0.0833760585663356,0.11031785882342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124365045560338,0,0,0,0.113612280436875,0,0.108677968150336,0,0,0,0,0,0,0,0,0
