,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.460776432706738,0,0,0,3.46944695195361e-18,0,0,0.117572243354881,0,0,0,0.177694650300923,0.171407846474405,0,0,0,0,0,0,0,0,0,-0.0343305913116517,0,0,0,0.0456345734346007,0,0,0,0,0,0,0,0,0,-0.0324424280983954,0,0,0,0,0.0685515187643204,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0384734423707161,0,0,0,0.175366845412443,0.276336128934074,0,0,0.000200145108206786,0,0,0.293031673852668,0,0,0.0696294016844893,0,0,0,0,0,0,0,0,0,0,0.00395096558054196,0.10900140312191,0,0,0,8.67361737988404e-19,0,0.0805327580814683,0.0822246187035384,-8.67361737988404e-19,0,0,0,0,0.0751877393433159,0,0,0,0,0
X601939.CH.EQUITY,0.0360604205897545,0,0,0.618423502949018,0,0.0523646503166098,0,0,0,0.141954413455123,0,0,0,0,0,0,0,0.0210733879114994,0,0,0,0,0.144301565490924,0,-0.017213170880808,0,0,0,0,2.06240161588593e-05,0,0,0,0,0,0,0,0,0,0,0,0.0642154269523687,0,0.0391942719014841,0,0,0.0509108252000364,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.241423922749477,0.187773491606636,0,0.939875802793666,0,0,-0.0159740762220412,0,0,-0.308987769446442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258174811056631,-0.107452895631414,0,-0.0154601971291,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.064013310811905,0,0.412932092607649,0,0,0,0,0,0,0,0,-0.0298053022288404,0.0486803956380832,0,0,0,0.0263214394909182,0,0,0,0,0,0,0.229758142978929,0,0,0,0,0,0,0,0,0,0,0,0,0.256305255190864,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.396890241858107,0,0,0,0,0.0289948515716182,0,0,0,0,0,0,-0.201404086919903,0,0,0,0,0.32238950319699,0,0,0,0,0,0,0,0.129788044995639,0,0,0,0,0,0,-0.198093098355169,0,-0.103703454678939,0,0,0,0,0,0,0,0.375926234096295,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0632892823613967,0,0,0,-0.0837135623333054,0,0,0,-0.0972367348918983,0,0,0,0.515922953647256,0,0,0,0,0.0345110789389904,0,0,0.081793972964331,0,-0.205952145297542,0.373811902164347,0.0276783451906069,0,0,0.0538034793552195,0,0.0656519197184862,0,0,0.167797429574026,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.1808039692055,0,-0.0805896111689927,0.191926244755182,-0.0498019693113571,0.116253466416481,0,0,0.0907011574530206,0,0,0,0.325854107484377,0,0.407080542513436,0,0,0,0,0,0,-0.154556775559881,0,0,0,-0.129023673829285,0,0,0,0,0,0,-0.14659353088625,0,0,0,0,0,0,0,0,0,-0.170517746962879,0,-0.129715462198533,0,-0.0774974488456919
X601628.CH.EQUITY,0,0,0,0.0317773985615296,0,0,0,0,0,0,0,0.141179943175332,0,0,0.343035795842335,0,0,0,0,0,0,0,0,0,0,0,0.193162340847561,0,0,0,0.164677162967749,0,0.0867987214915932,0.0730725690929133,0,0,0,0.0671644834588384,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.100577962779701,0,0.420163416282476,0,0,0,0,0,0,0,0,0,0.436843213467147,0,0,0.00198173735200743,0,0,0.17457631954261,0,0,0,0,0,0,0,0,0,0,-0.0670372703747793,0,0,0.187709743147565,0,-8.67361737988404e-19,0,0.0110009749889962,0,0,0,0,0,0,0,0,0,0,0
