,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X600061.CH.EQUITY
X601398.CH.EQUITY,0,0,0.458222775865842,0,0,0,0,0,0,0.170433124903464,1.38777878078145e-17,0,0,0.197828620784195,0.110400806196351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438984893515158,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0202510990415541,0,0,0.0732640751369183,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0985635157412967,0.117860266721291,0.101266160757728,0,0,0,0,0,0.412192843884353,0.0464198012003821,0,0.0701398114792174,0,0,0,0,0,0,0,0.0351658209688135,0,0,0,0,0,0,0,0,0,0.141479298546926,0.0288427202864908,0.00210928784081847,0,0,0,0,0.0762910067767242,0,0,0,0,0
X601939.CH.EQUITY,0.0216469169902066,0,0,0.745462797575341,0.0442367485104091,0.0450441182224508,0,0,0,0.219953549081026,0,0,0,0,0,0,0,0.0435860779553214,0,0,0,0,0,0,0,0,0,-0.00729950251003201,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.00195182960608732,0,0,0,0,0.0588471285574888,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.217620278182383,0.135542711086232,0,0.813453605960996,0,0,0,0,0,-0.218285251215907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,-0.237163672539927,0,0,0,0,0,0,0.0194512720226558
X5.HK.EQUITY,0,0,0,0,0,0.0639133864238854,0,0.40648773241667,0,0,0,0,0,0,0,0,-0.0304929797239993,0.0489916249244531,0,0,0,0.0264512346604683,0,0,0,0,0,0,0.234625979388856,0,0,0,0,0,0,0,0,0,0,0,0,0.257602694552449,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0139738091862975,0,0.265828660789643,0,0,0.0488153895960397,6.93889390390723e-18,0,0.197340978820602,0,0,0,0,0,0,0,0,0,0,0.15941489324979,0,0,0,0,0,0,0,0.18930800084271,0,0,0,0,0,0,-0.151779406649905,0,0,0,-0.0734445370636351,0,0,0,0,0,0.234356315055871,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.438862888291634,0,-8.67361737988404e-19,0,0,0.217102225815101,0.0141631996343858,0,-0.0865058728998195,0,0,0,0,0.106497613968983,0,0,0,-1.73472347597681e-18,0,-0.159541457776297,0.133684150876961,-0.0920574130495914,0,0.267040093240038,0,0,0,0,0,-0.092255252709813,0,0,0.11537190918844,0,0,0,8.67361737988404e-19,0,0
X1299.HK.EQUITY,0,0.039819473629363,0,-0.1666722294626,0.226768744552225,0,0,0,0,0,0,0,0,0.332189289117342,0,0.220981738544119,0,0,0,0,0,0.00246636381470779,-0.116341426766409,0,0,0,0.198141320993924,0,0,0,0,0,0,-0.0677034541150405,0,0,-0.129532249011464,0,0,0,0,0.0917037480996735,0,-0.0583702454445702,0,-0.087467225205511,0,-0.0424195378605977
X601628.CH.EQUITY,0,0,0,0,-0.079526576672223,0,0,0,0,0,0,0.0783747488107451,-0.00799034787388444,0,0.291731315935283,0.0194458900426322,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.430950085432381,0,0,0,0,0.247601551140709,0,0.0406274131472381,0.0349187440900295,-0.0331586204582554,0,0.025025106585928,0,0,0,0,0,-0.0346518300495829,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0108227516771137,0,0,0.011325013335242,0.297732390324088,0,0,0,0,0,0.562205345248858,0,0,0,0,0,0,0.124528781096696,0.400540901998959,0,0,0,0,0,0,0,0,-0.200723808410678,0,0,0,0.0238708479541703,0.0709090934779218,0,0.0239251424140913,0,-0.188053862919233,0,-0.0299981794366011,0,0,0,-0.0892952220822057,0,0,0
X601166.CH.EQUITY,0.101638491905173,0,0,0.267328505537772,0,0.0287052116132559,0,0,0.00910779895855984,0.183330225806554,0,0,0.225129025685677,0,0,0,0,0.0197881752634147,0,0,0.0521269756605083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155643636761426,0,-0.0201748112097905,0,0
X601319.CH.EQUITY,0,0.267192074681296,0,0,-0.24608783893149,0,0.0100630484800006,0.0421188654639823,0,0,0,0,0,0,0,0,0.0707943196325595,0,0,0,0,0,0,0,0,0,-0.0508280485233061,0,0,0,0,0,0,0,0.0498828825420783,0,0,0,0,0.540148564970272,0,0,0,0,0,-0.077588861728713,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0667551679652371,0,0.279506908219654,0.367745746723541,0,0,0,0,0,0,0,0,0.0407480917382785,0,0,0,0,0,0,0,-0.0274427820286518,0,0,0,0,0,-0.0713888864021913,0,0,0,0,-0.00260967945776313,0,0.117817063046117,0.0349589527933119,0.0703408973345967,0,0,0,0.195881501557903,0
X11.HK.EQUITY,0,0,0.399865979961064,0,0.198760796825058,0.110234481374297,0.185492166791668,0,0,0,0,0.0900640108220276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273045227675284,0,0.0803859083670054,0,0,0,0,0,0,0,0,0.0567988395528456,0,0,0,0,0,0.00417086892663387,0.193699823038677
X601601.CH.EQUITY,0.00493237937316901,0.058210333528681,0,0,0,0,0.0705431254015763,0,0.268712238698437,0,0,0,0,0,0,0,0,0,0,0.0280514405721139,0,4.33680868994202e-19,0,0,0,0.252430509122973,0,0,0,0.0509754478183533,0,0,0,0,0,0,0,0,0,0,0,0,0.0902872267304596,0,0,0,0,0
