,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601077.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X2892.TT.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0.328325881622221,0,0,0,0,0,0,0,0,0,0,-0.0279849396683674,0,0,0,0,0,0,0,0,0.045413433700052,0,0,0,0,0,0,0.0680974069456205,0,-0.0391013993470887,0,-0.0400436562988313,0,0,0,0,0,0.191792006910124,0,0,0.0294587410065741,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339482452743489,-0.0558254179472369,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512469855175591,0.324164775839588,0.215308816466043,0,0,0,0,0,-0.068963015313818,0,0.120451321583621,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0473208664910593,0,0,0,0,0,0,0,0,0,0.114250576786102,0,0,0.0183844753082172,0,0,0,0.21591201892288,0,0,0,0,0.304473293195807,0,0.077087694068242,0,0,0,0.0302309659427652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395202161156029,0,0,0
X601288.CH.EQUITY,0.119055186611358,0,0,0,0,0.059482903033806,0,0,0.103213420273321,0,0.04477933814616,0,0,0,0,0,0,0,0.0865679336428599,0.118306489576898,0,0,0,0,0,0,0,0,0,0.0791735915507313,0.284493965664527,0,0,0,0,0,0,0,0,0,0,0,0,-0.108847866938507,0,0,0,0
X5.HK.EQUITY,-0.040132909195326,-0.0664481719535352,0,0.442646045141714,0,0,0.0861449575292317,-0.326504755884486,0,0,0,0,-0.150868432277677,0,0,0,0,0.256015187657749,-0.0340309013248317,-0.0946850570096453,0.368623863022678,0,-0.0789635355753993,-0.178403206070863,0,0,0,0,0,0,0,0.274594193894093,0,0,0,0,0,0,0,0.0527314861129803,0,0,0,0,0.0954353834030205,0,0,0
X601988.CH.EQUITY,0.215043524553869,0,0,0.0407648497177292,0,0,0,0,0,0.223471668079644,0.0322134204087372,0,0,0,0,0,0,0,0,0.245769474986065,0,0,0,0,0,0,0,0,0,0,0.279383404629308,0,0,0,0,0,0,0.0629553156775401,-0.0310985069769901,0,0,0,-0.130651717468669,0,0,0,0,0
X600036.CH.EQUITY,0,0.365345309570638,0,0,0,0,0,0.0390384331106556,0,0,0,0.359502216666732,0,0,0,0,0,0,2.71050543121376e-20,0,0.165768125815931,0,0,0.1871490626346,-0.0327916719949194,0.0315877603620398,0.00886183007641692,0,0,0.03680022391974,0,0,0,0,0,0,0,0,0,0.0508213235516982,0,0,0,0,-0.11148009702008,0,0,0
X1299.HK.EQUITY,0,0.227194213621141,0,0,0,0,0,0,0,-0.141487388360903,0,0,0,-0.166089870047312,0,0.315085544434404,0.40289440740486,0,0.131771849664024,0,0.0494378863061408,0,0,0.0749434480682898,0,-0.0125739856474184,0,0,-0.218311210150114,0,0,0,0,0,0.0560344939749577,0,0,0,0.0331737679706832,0,0,0,0,0,0.00808173485810954,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.0227255279725897,0,0.0222248170941255,0,0,0.0399290318649788,0,0.290618112617998,0,0,0,0,0,0.102888691254958,0,0,0,0,0,0,0,0,0.0765375835431985,0,0,0,0,0,0,0,0,0,0,0,0.172082620665724,0,0,0,3.46944695195361e-18,0,0
X601166.CH.EQUITY,0,0.00554763338754195,0.0741595940375658,0,0,0.234878424277542,0,0,0.00742883782272445,0,0,0,0,0,0.233619336298943,0,0,0,0,0,0,0,0,0.39619459907397,0.267337559520983,0,0,0,0,0.187296441981654,-0.035200509781231,0,0,0,0,0,0,0,0,0,-0.183530812126564,0,0,0,0,0,0.0110070274981855,0
