,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X2891.TT.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.173473996611417,0,-0.023513235500421,0,0.514708530626455,0,0,0,-2.77555756156289e-17,0.130765811052102,-0.255894030996483,0.519506095534489,0,0,0,0,0,0,0,-0.018751961650752,0,0,0,0,0,0,0,0,0,0.0617535332210696,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.212111204789998,0.00104054358712508,0,0,0,0,0.0770857287877303,0,0.112305045435039,0.084259660058962,0,0,0,0,0,0,0,0.247116166334828,0,0,0.129469367902042,0,0.0480135154265385,0,0,0,0,0,0,0,0,0,0,0.00636851099361998,0.0123148150211626,0,0,0,0,0
X601939.CH.EQUITY,0.725272659658321,0,0,0,0,-2.16840434497101e-19,-0.067871948936762,0,0,0,0,0,0,-0.0175539707540003,-0.0133361508806361,0,-0.204733630500118,0,0,0.107458924490453,0,0,0,0,-0.314444276149759,0,0,0,0,0.718101682310621,0,0,-0.0647109429269796,0,0,0,0,0,0,0,0,0,-0.0302051302415274,0,0,0,0,-2.77555756156289e-17
X601288.CH.EQUITY,0,0,0,0,0,0,-0.271678907599669,0,0.205052652665149,0,0.579660538477534,0,0,0,0,0,0,-0.0983908777169769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.221408471838695,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0776475049805914,0.478070951069629,0,0,0,0,0,0,0,0,0,0.0207907135896271,-0.0877788454344052,0,0.0230190930733114,0,0.0523453785400753,0,0,0,0,0,0,0.256078009483309,0,0,0,0,0,-0.10674894785261,0,0,0,0,0,0,0.274246462038008,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.35859267636603,0,1.73472347597681e-18,0,0.0809360161495039,0,0,0,0,0,0,0,0,-0.190227868475849,0,0,0,0.279132576239533,0,0,0,0,0,0,0,0.0761840451046876,0,0,0,0,0,0,-0.218190748398523,-1.38777878078145e-17,-0.0668115337600463,0,0,0,0,0,0,0,0.418421793526329,0
X1299.HK.EQUITY,0,0,0,-0.0128430429095264,0.219766383221175,0,0,0,0,0,0,0,0,0.274242954234447,0,0.193403654663655,2.77555756156289e-17,0,0,0,0,0,0,0,0,0.12460429535656,0,-0.0827459134300939,-0.00478965992985976,0,0,0,-0.176784726797401,-0.0505319562094614,0,0,-0.0359007610041975,0,0,0,0,0,-0.01593738113725,0,0,0,0,0.154383408501234
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.574521572280553,0,0,0,0,0.0864125848301391,0,0,0.288039358940834,0,0,0,0,0.139537256795458,0,0,0,-0.117211067668525,-0.031846078981314,-0.0377265786020716,0.000127994282327862,0,0,0,0.183374365423119,-0.103175797027331,0,0,0,0,0,0,0,0.0111200165552565,0,0,0,0,-0.141536378843901
X601628.CH.EQUITY,0,0.165688145819821,0,0.0734785553667641,0,0,0,0,0,0,0,0,0,0,0.140078452417093,0,0,0,0,0,0,0,0,0,0.17673955908431,0.135958064063572,0,0,0,0,0.155159198201531,0,0.106273003169065,0.136180631592243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.719377119042005,0,0,0,0,0,0,0,0,-0.0587249372932293,0.0843284727317731,0,0.0229468023987256,0,0,0,0,0,0,0,0,0,0,0.0173259449110555,0,0,0,-0.184255958027003,0,0,0,-0.0831347674059838,0,0,-0.0185002037321402,0,0,0,-0.0621380268595667,0,0.119889558036863
