,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,-0.285169639683618,0,-0.131424116121928,0,0,0,0,0,0,0,0,0.725877240119167,0,0,0,0,0,0,0,0,-0.162690596226223,0,0,0,0,0,0,0,0.739006905368661,0.0916767184374612,-6.93889390390723e-18,-0.0471540375117067,0,-0.237410981034795,0,0,0,0,0,-0.190109883150949,0,0,-0.0405229357222198,1.38777878078145e-17,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.136507419041029,0,0.0523292736305498,0.033460926656803,0,-1.0842021724855e-19,0,0.0774657288239683,-0.0814649975058002,0.053897858005073,0,0,0,0,0,0,0,0,0,0,0,0.103024567598577,0.393177365639894,0,0,0,0,0,0,0,0,0,0,0.071178481221754,0,0,0.0186562700262536,0,0.0930020030860526,0,0,0
X601939.CH.EQUITY,0.186042282180047,0,0,0,0,0,0,0.109311077001876,0,0.0368615374384739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152904987046073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123576604792068,0,0,0.177518122801228,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.303421700507577,0,0,0,0.0364808480405027,0,0,0.0967707264872084,0,0,0,0.0422936280693053,0,0,0,0,0,0.157901042957503,0,0.0155957284290658,0,0,0,0.289363508951857,0,0,0,0,0.0444649738406556,0,0,0.0264688385958338,0,0,0,0.111807089111241,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.0656952598308443,0,0,0,0,0,0,0,0,0,0,0,0.0107903962791556,0,0,0,0.396107993690857,0,0,0,0,0,-0.0267504909065381,0,0,0.0580102229040443,0,0.109398507319647,0,0,-0.095957679534581,0,0,0,0,0.336065742869765,0,0,0.126758038839588,0,0,0.0331956288274541,0.0727848914174371
X601988.CH.EQUITY,0.381612545207742,0,0,0.525294014892575,0,0,0,0,0,0,0.121552796979601,0,0.0137564067981334,0,0,0,0,0,0,0,5.42101086242752e-20,0.00462331252454628,0.0444931888643927,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.48245738315344,0,0.110980508039511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621651752212059,0,0,0,0,0,0,0,0,0.195905386052095,0,0.0550923867155312,0,0,0,0.0546626350263372,-0.201668127382214,0,0,0,0.260452173079605,0,-0.163619921800328,0.190003440262763,0,0,0,0,0
X1299.HK.EQUITY,0,0.27685452572725,0.0597632473937883,0,0,0,0.00564337136049762,0,0,0,-0.0172419282368055,0,0,0,0.336308227846006,-0.132547009675994,0.167282648269417,0,0,0.309846331736775,-0.040337129469778,0,0,0,0,0,0,0,0,-0.211459984418688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407581162996806,0,0,0
X601628.CH.EQUITY,0,0.14898257811089,0,0,0,0,0,0,0,0,0.0605605146875018,0,0.0553300072261378,0.272427002754819,0,0.0696240262267759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103905044110868,0,0,0,0.0692174097772865,0,0.104527453349682,0,0,0,0
X601328.CH.EQUITY,0,0.194899033496521,0.0825808398523959,0.208905401288437,0.359042361428665,0,0,0,0,0,0,0,0,0,0,0,0.0119594825108704,0,0,0.0238385545173735,0.00439876268500867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151863457041373,0,0,0.128559407765342,0,0,0,0
