,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X002736.CH.EQUITY,X601881.CH.EQUITY,X601916.CH.Equity,X2884.TT.EQUITY,X600919.CH.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.339331617969559,0,0,0,0,0.247966009399787,0,0,0,0,0.0894731344390918,0,0,0,0,0,0,0,0,0,0.0819956131199798,0,0,0,0,0.0873135499430227,0,0,0,0,0,0,0,0,0,0.0175090198759069,0,0.0367032619869478,0,0,0.0784344490619857,0,0,-0.0323527591060491,0.0899586556601805,0,0
X601318.CH.EQUITY,0.290486826471765,0,0,0,-0.0406741513908303,0,0,0,0.206346827232977,-0.0175509527518458,0,0,0,0,0.347256091646649,0,0,0,0.10484374376639,0,0,0,0,0.0347885170136738,0,0,0,0,0.017159416335858,0.04190122973382,-0.0866149818975639,0,0,0,0,-0.0697662781785989,0,0,0,0.14581402147844,0,0,0,0,0,0,0,0,0.0837729378871754,0
X601939.CH.EQUITY,0.1587758862341,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.427447262236118,0,0,0.0267347835813823,0.0862790484701571,0,0,0,0,0,0,-0.0181966307967137,0,0,0,0,0.195194194747665,0,0,0,0,0,0,-3.46944695195361e-18,0.04961474502677,0,0,0.0515089819563171,0,0,0,0,0.0177982392099703,0,0,0,0,0
X601288.CH.EQUITY,0.367045839408073,0,0.0276453655029385,0,0,0.478628450723534,0.0334702047053838,0,0,0,0.00305383449272081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178462656409848,0,0,0,0,0,0.0638747250188397,0,0,0.0134106701449344,0,0,0,0,0,0,0.0243454512958896,-0.0375882943442704,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.406769683433111,0,0.0541253545438419,0,0,0,0,0,0,0,0,0,0.739595998342143,0,0,0.278359404429927,0,0,0.120878874507663,0,0,0,0,0,0,0,0,0,0,0,0.00313934954090002,0,0,-0.173650795045793,0,-0.0974141298506458,0,0.0492029639337216,0,0,-0.352189902510589,0,0
X601988.CH.EQUITY,0,0.0894857263930063,0,0,0,0,0,0,0.146688743875426,0,0,0,0.210584731561939,0,0,0,0.101007135854495,0,0.148045014140771,0,0.238951809078005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.210126587714701,0,0.00639363545919577,0.269220369615635,0,0,0,0.189241836349071,0,0,0,0,0,0,0,0,0.0627739566671998,0.0286215670005916,0.105032795526349,0,0,0.0446192581625717,0,0,0,0,0,0,0,0,0,0,-0.0232646380118463,0.0857429131287009,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0548517342138537,0,0,-0.0350229958347227,0.106734901740876,0,0,0.37524845770295,0,0,0,0,0.125123452112209,0,0,0,0.594929474545401,-0.00786869543085392,0,0,0,0,0.13492527748325,0,0,0,-0.0453764273570243,0,0,0,0,0,0,-0.0760349483719402,-0.099957533629041,0,0,0,0,0,0,-0.0937658519809875,0,0
X601628.CH.EQUITY,0.164617206120874,0,0,0,0,0,0,0.224862335976607,0,0,0,0,0,0,0,0,0.0710962615615615,0,-0.0402319604296524,0,0,0,0,0,0,0.310863929097088,0,0,0.04692749016948,0,0,0,0,0,0,0,0,0,0,0.226844517215704,0,0,0,0,0,0,0,-0.0522568108401546,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.190281479410625,0,0,0,0,0,0,-0.274644828891877,0,0,0,0,0,0,0.353894853924197,0,0,0,0,0,0,0,0,0,0,0.256745990125671,0,0,0,0,0.378500328573164,0,0,0,0,0,0,0.661297349663946,0,0,-0.077187722779728,-0.310484987820367,0.109515714905756,0
