,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X002958.CH.EQUITY,X002736.CH.EQUITY,X600958.CH.EQUITY,X600928.CH.EQUITY,X388.HK.EQUITY,X000627.CH.EQUITY
X601398.CH.EQUITY,0,0.418566725727759,0.542419410583611,0,0,0,0,0,0,0.148033713369243,0,0.0967051862912987,0,0,0.0438466120552134,0,0,0,0,0,0,0,0,0,0.0775188870093606,-0.0295101562809484,0,0.0185223698955578,0,0,0,0,0,0.0176847673973476,0,0,0,0,0,0,0,0,-0.145590885590992,0,0,0,0,0,0,-0.165844465989757
X601288.CH.EQUITY,0,0,0.699916036442994,0.194716588745695,0,0,0.111822456976848,0,-0.115803755670447,0,0,0,0,-0.0929378018065483,0,0,0,0,0,0.148522208560635,0,0,-0.164840029806611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375817744612372,0.0744673385810478,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.14989965966989,0.278569127524856,0,0.179304599117525,0,0.0413407549556032,0,0,0,0,0,0,0,0.0352566455884268,0.192343158590296,0,0,0.0114272928642932,0,-0.058364230032737,0,0,-0.0717453829493347,0,0,0,0,0,0,0,0,0,0,0.162700356399362,0,0,0,0,0,0,0,0,0,0,0.0410146918627019,0,0,0,0,0
X601988.CH.EQUITY,0.257847603997739,0.419418607677087,0.0444007399486904,0,0,0,0,0,0,0.149826901803036,0,0.12657329034753,0,0,0,0,0,0,0,0.212725410181959,0,0,-0.102025479207254,0,-0.329381111642949,0,0.0564916565382928,0,0,0.0467697597565817,0,0,0,0.0717335995224798,0,0,0,0,0.139073810965002,0,-0.0852395673803652,0,0,0,0,0,0,0,-0.112576780651674,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.140822867951512,0,0,0,-0.281596575401403,0,0,-0.0500883917327021,0.281848086355478,-0.321091365758909,0,0,0.0310531621320235,0,0,0.223269953219363,0.147294192467794,0,0.0990403437382074,0,0,0,0,0.115582208474481,0,0,0,0,-0.217440609659606,0.770651222334884,-0.223528086639483,0,0,0,0,0,0,0.185052223358953,0
X601658.CH.Equity,0,0.0149784414844154,0.11624489391749,0,0,0,0.125906980695722,0,0,0,0,0,0,0,0,0.00842238614442328,0.078169228143867,0,0.00342109648995345,0,0.18304344729794,0,0,0,0.0033027387040885,0.124044293317253,0,0,0,0,0,0,0,0.191240877153032,0,0,0,0,0,0,0,0,0.0415601609647121,0,0,0.0447681338146573,0,0,0,0
X601328.CH.EQUITY,0,0.44568028834915,0,0,0,0,0,0,0,0,0,0,0,0,0.111394037197353,-0.243876288753165,6.93889390390723e-18,0,0,0,0,0.38474617536466,-0.0602186093161901,0,0.0274264722944161,0,0,-0.0217044222623192,0.330939605816093,-0.0159435357392342,0,0,0,0,0,0,0,0,0,-0.0427256085907485,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173445113118368,0,0,0,0,0.0308587001503286,0.100335372232322,0,0,0,0,0,0,0,0,0.538368877701836,0,0,0,0,0,0,0,-0.0339172949685069,0,0,0,0.0241344885255869,0.268248179039899,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0662661450620508,0.130129679920588,0,0,0.0696435895812474,0,0,0.360082594514361,0,-0.0531813453827215,0.157513614431048,0,0,0,0.133009330036294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812551399303949,0,0
X267.HK.EQUITY,0,0,0,0,0.0739590522726673,0,0.338643715390532,0,0.107217422352822,0,0,0.238958006877442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137306435334813,0,0,0,0,0,0.0392439325337935,-0.186485891626223,0,0,0,0,0.0824982188551887,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.00321024567582225,0,0,0,0,0,0.369714130288209,0,0,0,0.147473095287034,0,0,0.0940454623592596,0,0,0,0,0,0,0,0.275874564348229,0,0,0.0520909778825393,0,0,0,0,0,0,0.025523323352188,0,0,0.0801382943747514,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.169792416044558,0.0147639223549713,0,0,0,0,0.147511542305272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119696099792308,0.374362320902414,0,0,0.0902364835964374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048457859932123,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.238189695543252,0,0.0169373893450905,0.064529211481241,0,0,0.0325021683879764,0,0.122912052661259,0,0,0,0,0,0,0,0,0,0,0,0.0209634767521257,0.482491821615601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0.0353990017965828,0,0,0,0,0,0,0.0297353180553391,0,0,0,0,0,0,0,0,0.148975909498861,0.216484420512893,0,0,0,0,0,0,0.176958202135229,0,0,0,0,0,0,0,0,0,0.283587561784278,0,0,0,0,0,0,0,0,0.0616642235456024,0,0,0,0.0809421286825712,0,0
X601818.CH.EQUITY,0,0,0,0,0.053152953076756,0,0.210363812771252,0,0,0,0,0.210819909150557,0,0.454097297039274,0,0,0,0,0,-0.00497810125061899,0,0,0,0,0,0,0,0,0,0,0.104752886528886,0,0,0,0,0.0223404763668428,0,0,0,0,0,0,0,0,0.0217682401123596,0,0,0,0,0
X601628.CH.EQUITY,0,0.0411164152581207,0,0,0,0.0703762305334374,0,0.0635776675980508,0,0.136024079823018,0,0,0.246279740689953,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.233249886926037,0,0,0.19089677949532,0,0,0,0.0857675697489487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0602485987337965,0,0,0.119748274564312
X000001.CH.EQUITY,0,0,0,0,0,0.00262194982679679,0,0,0.0875978158648684,0,0.31656268054555,0,0,0.108735935887663,0,0,0,0,0,0,0,0,0,0,0,0.0874496410451594,0.0718795179869856,0,0,0,0,0.186723556331764,0,0,0,0,0,0,0,0.0350340477567692,0,0.00640736154130285,0.0135665863167574,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.088037015807378,0,0,0.167682282150516,0,0,0.12984618143514,0,0,0.247678606195203,0.0460406213403215,0,0,0,0,0,0,0,0,0,0.0273336614786924,0.419890888462835,0.0530254776249013,0,0,0,0,0,0,0.0956886086008247,0,0,-0.0872228218987152,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.00178548159891977,-0.0941561871628662,0,0,0,0,0,0,0,0,0.140352147444951,0.371490671689653,0,0,0,0,0,0,0,0.00160377716222747,0,0,0,0,0,0,0.179340146964506,0.161492295848215,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.138953452413813,0,0
X2388.HK.EQUITY,0.147942525794399,0,0,0,0.258037227889126,0.213869735946951,0,0,0,0.195074512089287,0,0,0,0.108978193618901,0.136035874289186,-0.258634171811545,0,0,0,0,0,0,0,0,0.172249969417495,0,0,0,0,0,0,0,0,-0.751732020891355,0,-0.295172432711424,0,0,0,0,0,0,0,0,0,0,0,0.121597675956272,0.279378863165137,0
