,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601696.CH.Equity,X600958.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.1329177504368,0,0.273763691265848,0.013908607882824,0,0,-0.0128169788987929,0,0,0,0,0,0,0,0,0,0,0,0,0.0138350218393623,0,0.00574153185218049,0,0,0.105368923216344,0,0,0,0,0,0,0.0233132809056905,0.200391555100821,0,0,0,0,0,0,-0.0752844618138409,-0.0316412787518765,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0240890491411341,0,0,0.0509341873268062,0,0,0.0298135569847498,0,0,0.377244961510801,0,0,0,0,0,0,0,0,0,0,0,0,0.093619351372861,0,0,0,0,0,0,0.0198340693322051,0,0,0,0,0,0,0.0234240080963813,-2.16840434497101e-19,0,0,0
X601939.CH.EQUITY,0,0,0,0.766478130080971,0,0,0,0,0,0,0.11368654265274,0,0,0,0,0.0901235387755844,0,0,0,0.0067775287762801,0,0,0,0,0.0694808398215305,0,0,0,0.0194618829222278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150369585141058,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.282513401680177,0,0.668207023429906,0,0,0,0,-0.0562400779682339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128191234433503,0,0,0,0,0,0,0,0,0,0.0192225281642028,0,0,-0.0438886147176622,0,0,0,0,0,0.149604449617384,0,0,-0.0248164993845489,-0.025834970119965,0.0340531806465576,0,-0.297749465982336,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.207177493432066,0,0.228848312572527,0,0,0,0,0,0.278973433095866,0,-4.33680868994202e-19,0,0,0,0,-0.174316850937817,0,0,0,0.227842464077021,0.110169310944752,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0383918031836781,0,0,0.132686241039398,0,0
X600036.CH.EQUITY,0.135984468918555,0,0.0122936171115162,0.284921845846064,0,0,0,0,0,0,0,0,0,0,0,0.233576425718735,0,0,0,0,0,0,0.0170756341252651,0.0554637501602133,5.71170462803638e-05,0,0,0,0,0,0,0,0,0,0,0.0959615180405907,0,0,0,0,0,0,0,0,-0.0576781117955105,0.160809641220693,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0716742083871232,0.155275410622847,0,0,0,0,-0.0412747003430525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317558526752729,0,0,0,0,0,0,0,0,0,0,-0.0459794472777704,-0.025761785816912,0,0.930341907542902,0.128218814172601,0,-0.0173484942879962,0,-0.0872052725301593,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0388789957743884,0.450008092946712,0,0,0.0596206864994145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348803758823604,0,0,0.382337998406252,-0.0478854919907439,0,0,0,0,0,0,0,0,-0.0638828155318273,0,0,0.0666627913125741,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0518235333661326,0,-0.221248436013869,0,0,0,-0.000729253216878851,0,0,0,0,0,0.416101269687735,0,0,0,0,0,0,0,0.323842537368026,0,0,0.197092962823388,0.197801675194877,-0.0681409209787102,0,0.259467208845462,0,0,-0.0989624480497096,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.0998023127633813,0,0,0.462654817253331,0,0,0.0375016641688129,0.185421937466627,0,0,0,0,0,0.120662737559865,0,-0.240786441880172,0,0,0,0,0.246375626117701,0,0,0,0,0,0,0,0,0,0.377602419260672,0,-0.393101096337024,0,0,0.0619890853356254,0,-0.210326947361873,0,0,0,0.114592806096582,0,0,-0.0711754987597938,0.278637335668565,0,0,-0.165496346009777
