,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0847598763940636,0,0,-0.124091043628615,0,0,0,0,0,0,-0.0570587859002421,0,0,0,0,-0.0260157931343321,0.798205308324527,0,0,0.472899249606396,0,0,0,0,-0.182105283104009,0,0,0,-0.133800162407788,0,0,-0.21822512382382,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0421880447025877,0.0172892868572115,0.0387132679011538,0.0203245008197215,0,-0.0179761817295604,0,0.0588043234018588,0,0,0,0,0,0.119237884313657,0,0,0,0,0,0.385734219554338,0,0,0,0,0,0.0817055484040312,0,-8.67361737988404e-19,0.0146222580356376,0,0,0,0,0.0308785785407172,0,0,0,0.0282754926836008,0,-0.0199027777413395,0,0.164073000860158
X601939.CH.EQUITY,0.291069169207349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286072505032753,0,0,0,0,0,0,0,0.0636368595104302,0.469406095221374,0,0,0,0,0,0,-0.133431159957463,0,0,0,0,0,0,0.125983535081093,0,0.0258806927478013,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.188095829838533,0.170298383962271,0,0.706071509952388,0,0,0,-0.231531264814201,0,0,0,0,0,0,0,0,-0.333313379420907,0,0,0,0,0,0,0.324123671843943,0,0,0,0,0,0.108468597679725,0,0,0,0,-0.0448090981017802,0,0,0,0,-0.243417625970245,-0.190593280753256
X5.HK.EQUITY,0,0,0,0,0,0.0126053411824804,0,0,0,0,0,0,0,0,0,0.0675511824529851,0,0,0,0.0432801203447664,0.228345932651036,0,0,0,0,0.0486586549925215,0,0,0,0,0,0.132243701240929,0.125629469935652,0.0750904198631645,0,-0.0922584506347147,0,0,0,0,0,0,0,0,0,0,0.309321613243768,0.160103874720044
X601988.CH.EQUITY,-0.170609798510485,0,0,0,0.566969123559021,0,0,0,0,0,0,0,0,-0.214202170412918,0,0,0,0,0,0.701579886086598,0,-0.162706044378717,-0.179824347206008,0,0,0,0,-0.0835713498972898,0,0,0,-0.225486188050541,0,0,0.0950882540204406,0,0,0,0,0,0,0,0,0,0.0343764366583757,0,0.432766156177048,0
X600036.CH.EQUITY,0,0.142363513952912,0,0,0,0,0,0,0,0.106802539371451,0,0.411608427212434,0,0,0,0.187194856814508,0,0,0,0,0,0,0.161888890915791,0,0,0.0589228030107284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117382440782592,0.20452801492198,0,0.0343009818268748,0,0,0.105013853387485
X1299.HK.EQUITY,0,0,0,0,0.106576432919214,0,0,0,0.358387262923492,0,0,-0.0238681690879499,0,0.0202288837711713,0.0116843291048072,0.214136341142351,0.226143647662892,0,0,0,0,0,0,0,0,0,0,0,-0.157312300414275,0,0,0,0,0,0.0983331546786261,0,0,0,0,0,0,0,0,-0.0570410997665694,0,0.0026812217787444,0,-0.0189073075348618
X601628.CH.EQUITY,0,0.0713260696829413,0.0187351104497043,0.0595825582380616,0,0,0,0,0,0,0.0583682016358962,0,0,0.370977976768991,0,0,0,0,0,0.0781518429129087,0,0,0,0,0,0,0.209767516358855,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0501611013250992,0,0,0.00831170544454721,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.122463719992875,0.174404719901644,0,0,0,0.488788680199833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15879740151173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231831241847212,-0.0613220949745589,0,0,0.0610669344505819,0,0,0
