,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X600919.CH.EQUITY,X600958.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X601236.CH.EQUITY,X2892.TT.EQUITY
X601398.CH.EQUITY,0,-0.323335779111618,0,-0.190119717936151,0,0,0,0,0,0,0,0.811109692943779,0,0,0,0,0,0,0,0,-0.16540641126341,0,0,0,0,0,0,0,0,0.727433075289362,0,0.0945281760963806,0,-0.0500604288194931,0,-0.258500371487145,0,0,0,0,0,-0.194516940235418,0,0,1.38777878078145e-17,-0.0408230742933503,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.112769289656873,0.0916961951049591,0.0414982160556185,0,0,0,0.10524118467718,-0.097059044367882,0,0,0,0,0,0,0.128251484782653,0,0,0,0,0,0.34369277365477,0,0,0,0.0578127885641639,0.0169692797114261,0,0,0,0,0,0,0.0258074777941662,0,0,0.0494475074548947,0,0.0641778014043387,0,0,0
X601939.CH.EQUITY,0.311920505427866,0,0,0,0.0335440648966814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148313305421676,0,-0.0388558560861017,0,0,0.461038273055806,0,0,0,0,0,0,-0.160308181345835,0,0,0,0,0,0,0,0.182409086288443,0.111276200997616,0,-0.0569647740844599,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.182152581609758,0,0.173019129232762,0,0.714712959990274,0.143493253564919,0,0,-0.300841114410547,0,0,0,0,0,0,0,0,-0.75431477882951,0,0,0,0,0,0,0.281030565982473,0,0,0,0,0.0770657450158868,0,0,0,0,-0.0421520542428513,0,0,0,0,0,0,-0.281775689159844
X5.HK.EQUITY,0,-0.0764947033217873,0,0,0,-0.131076853939987,0,0,0,0,0,0,-0.0424312252881911,0,0,0,0,0.018637843042021,0,0,0.45390068569462,0,0,0,0,0,0,0,0,0,0,0.0854900850765256,0,0.17244120886519,0,0,0,-0.0909375104427021,0,0,0,0.346656716274498,0,0,0,0.139085732628661,0.0756644744622817,0.00743384511564198
X601988.CH.EQUITY,0.164120335486624,0,0.0770700234854107,0.631166861114117,0.100752769270508,0,0,0,0,0,0.108176484223602,0,0,0,0.0654926699880567,0,0,0,0,0.0186607839649751,0,0,0,0,0,0,0,0,0.137880068005288,0,0,0,0,0.002589154706375,0,0,0,0,0,0.00185223118419029,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0625967889139978,0,0,0.0849501838418125,0,0,0,0.228937415182363,0,-0.0415741295299145,0,0,-6.93889390390723e-18,0.0778716928269006,0.18793925528704,0,0.181277040205982,0.0866395062862791,0,0,0,0,0,0,0,0,0,0,-0.0801073331407019,0,0.00813243663292489,0,0,0.0196633424261862,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0547665988673879,0,0,0,0,0,0,-6.93889390390723e-18,0.27307512826314,0,0,0.234103419447273,0.116681460982978,0,0.0777306316066267,0,0,0,0,0,0,0.122643960704356,0,0,0,0,0.0480288921778132,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492913319515236,0,0.221462289971842,0,0,0.018077020080457,0.0463865894911482,0
X601628.CH.EQUITY,0,0.00256616091922539,0.0196511335772973,0.0514331441213938,0,0,0,0,0,0,0,0,0,0.404967741552714,0,0,0,0,0,0,0,0,0,0,0,0,0.020499936498491,0.132747151365151,0,0,0,0,0,0,0.150766602440462,0,0,0,0.0507423997975817,0,0,0,0,0,0,0.052307575743384,0,0
X601328.CH.EQUITY,0,0.235635351678955,0,0,0,0,0,0.356361211258342,0,0,0,0,0,0,0,0,0,0,0.238391889383631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141415589367192,0,0,0,0,0,0,-0.209825079801299,-0.207422039515053,0,0,0,0.234092306609475,-0.0201134197056929,0
