,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X600926.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY
X601398.CH.EQUITY,0,0,0.00967066664298404,0.273815717401534,0.0993555219253153,0,0,0.41148275849722,0,0,0,0,0,0,0,0,0,0,-0.0533765983432837,0,0,0,0.100158594081283,0,0,0,0.105055515547985,0.0399116956947566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488564504947091,0,0
X601318.CH.EQUITY,0,0,0,0.152431782841144,0,0.0153798887448571,0,0,0.153792318224306,0,0,0,0.264388225852096,0.0534319870964042,0.0466825692378603,0,0,0,0,0.0402526267419179,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.122975637455566,0,0.170632170795733,0,0,0.0019898739963177,0,0,0,0,0.0634763976376906,0,0.0316251352439763,0,0.109977787718458,0
X600036.CH.EQUITY,0,0,0,0,0,0.0850224039002842,0,0,0,-1.0842021724855e-19,0.0813280997053015,0,0,0,0,0,0,0.00306840249484897,0,0,0,0,0.144889611540673,0,0,0.0418188935671158,0,0,0,0,0,0.0655630186046945,0,0,0,0,0,0,0,0.420712707625326,-0.0773438700578329,0,0.140921043253401,0.0749097713508926,0,-0.0855473787564559,0,0.0712489406233813,0,0
X601939.CH.EQUITY,0.511549880220787,0,0,0,0,0,0,0,0.238162656173655,0,0,0,0,0,0,0,0.0832268502980905,0,0,0,0,0,0,0,0,0.0885350965471868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107868080576097,0,0,0,0,0,0.0545459606620497,0.111367625290253,0,0,0
X601288.CH.EQUITY,0,0.028365142142967,0,0.254841315617349,0,0,0.0450714358039085,0.439785572198778,0,0,0,0,0,0,0,0,0,0,0,0,0.00761592665752404,0,0.0887525042162728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260694783629113,0,0,0.0522844055714434
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.339246033046489,-0.0436087083100874,0,0,0,0.167345617217258,0,0,0,0,0,0,0.0270699226521651,0,0,0.269226804455483,-0.076344260398839,0,0.120718863128102,0,0,0,0,0,0,0,0,0,0,-0.15035442647644,0,0,0.239920385534188,0,0.0326772276241955,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,-0.222858175966359,0,0,0,0,0,0,0.0652988006226445,0,0,0,0,0,0,0,0,0,0,0,0.00792595778202344,0.0637531924999578,0.0840497361656641,0,0,0,0,0.31840316830667,0,-3.46944695195361e-18,0.406269218318865,0,0,0.0233887813116249,0,0,0,0,0,0,0,0.1076541996083,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0607501550932046,0,0,0,0.431979998886456,0,0,0,0,-0.026935666037862,0,0.0946634056551938,-0.0622318686092101,0,-0.0419907975759497,0,0.0362440736691638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233651171770065,0,0,0,0.080337675182398,0,0,0.00748283244186739,0.0297203684500624,0,0,0,0,0,0,0,0.207578097119364,0
X5.HK.EQUITY,0,0.289517328057714,0,0.136398811905856,0,0,0,0,0,0,0,0.0999836891790169,0,0,0,0,0,0,0,0,0,0.308560927018426,0,0,0.113287471325451,0,0,0,0,0,0,-0.0604504618343534,0,0,-0.117031583954252,0,0,0.00676127083140603,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.112920229585516,0,0,0,0,0,0,0,0,0,0,0,0.201545121890459,0,0,0,0,0,-0.255517089641039,0,0,0,0,0,-0.260676299055407,0,-0.334509304139135,0,0.156642121175343,0,0,0,0.307490830921456,0,0,0,0,0,0,0,0.284316251025212,0.135165804138653,-0.103388443966232,0,-0.0801488511633025,0.201561690808593,0
