,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X002142.CH.EQUITY,0,0,-0.124547935689727,0,0,0,0,0,0.454564576588219,0.0943510652005056,0.0141151467876131,0,0.0106838317524513,0,0,0,0.112407848109321,0,-0.0414223380928518,0,-0.114658064932668,0,0,0.10423401206713,0,0,0,0,0,0,0,0.315095544431812,0,0,0,0,0,0,0,0.0925365777451301,0,0,0,0,-0.0713230963026464,0,0.0116576992018461,0,-0.0757450741722756,0
X601601.CH.EQUITY,0,0,0.0579617997999309,0,0.0398426854264512,0,0,0.243921125871898,0,-0.354137308617325,0.103021257422132,0,0.00619249741007739,0,0,0.557544527803903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299212581287449,0.0268233895875374,0,0,0,0,0,0,0.123441728069985,0.0460958770984851,0,0
X601009.CH.EQUITY,0,0,0,0.0120128828227562,0,4.33680868994202e-19,0,0.10012049496544,0,0,0,0.281788911884285,0.0156696681355631,0,0,0,0,3.46944695195361e-18,0,0,0.036022741816685,0.344493966021967,0,0,0,0.230285194642934,0,0,0,0.091514692629457,0,0,0,0,0,0,0,0,0,-0.0545112553758587,0,0,0.0543555120735469,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.0469988544501708,0,0.607680947585458,0,0,0,0.0679244373883168,0,0.0462643422135965,0,0.171052136147608,0,0,-0.16002072515397,0,0,0,0,0.160719174763941,0,0,0,0.088237625925833,0,0,0,0,0,0,0,0,0,0,0,0,0.137509567474274,0,0.00113107133840758,0,0,0.0477645410063495,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,-0.0405814052255641,0,-0.00713322010313498,0,0,0,0.00858139985982765,-0.0438472026816463,0,0,0,0,0,0.0363264166822044,0,0,0,0,0,0,0,0.599595414969855,0,0,0,-0.0723233255721735,0,0,0,0.186961108513476,0,0,0,0.319486692288322,0,0,-0.0270198633723859,0.0659712257459332,0,0,0,0,0,0,0,0,-0.0898063013001351
X2891.TT.EQUITY,0,0.0198118755605858,0,0,0,0.213034906818588,0,0,0,0,0,0,0,-0.0788653332865679,0,0,0,0.0275387818002948,0,-0.0859173329177812,0,0,0,0,0.0971737913930578,0,0,0,0,0,0,0,0,-0.10931961451757,-1.73472347597681e-18,0,0.289783762675476,0,0,0.457516084600497,0,0,0,0.0120652716711232,0.189175938031208,0,0,-0.130310087004182,0,0
X600926.CH.EQUITY,0,0,0,-0.108599431801283,0,-0.0214821060859835,0,0,0,0,-0.00652257075061738,0,-0.0134715567495773,0,0,0,0,0,0,0,0.351519700574759,0,0,0,0,0.0502190817040343,0,-0.0584476047754664,0,0,0,0,0,0,0,0,0,0,0,0,-0.0414387269112368,0,0,0.64924035689142,-0.207004864924291,0,-1.73472347597681e-18,-0.18446751029531,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.252618506217832,0,0,0,0,0.032539471332807,0.0887558392148733,0,0.339055848673519,0,0,0,0,0,0,0,0,0,0,0,0.0476759718508323,0,0.0846010313330876,0,0.0165100364389667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491012571035692,0,0,0
X601077.CH.Equity,0,0,0,0,0,0,0,0,0,0.211639079729639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12103535865784,0,0.0402330820574001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051617699146275,0,0,0
X600030.CH.EQUITY,-0.0827782977198901,-0.0507376316600248,-0.0902470935996261,0,0,0,-0.0313224836010419,0,0.167020699119703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934015170371675,0,0,0,0,0,0,0,0,0,0,-0.0136951471439791,0,0,0,0,0,0,0,0,0.0203629001466963,0.251200269658492,0.314834530968687,0,0.281343776699981
