,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,X601916.CH.Equity,X601236.CH.EQUITY,X601881.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY,X2892.TT.EQUITY,X601696.CH.Equity
X601398.CH.EQUITY,0,0.391020437689633,0.0264831079937171,0.196594143701626,0,0,0,0,0.166823606509463,0,0,0,0,0,0,0,0,0,0,0,-0.0993293742363406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147963140935863,0,0.0134681438174847,0
X601939.CH.EQUITY,0.497917745381169,0,0,0.0727512043743995,0,0,-0.100564274975702,0,0,0.0749269481044582,0,0,0.416271417638572,0,0,0,0,0,-0.0847035925628296,0,0,-0.0208158290164987,0,-0.0789901727888218,0,0,0,0,-0.0378188904821405,0,0,0,0,0,0,0,0.0491420251132543,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.23237974828408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224360519669431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935609166489036,0.173800018211706,0,0,0.132082087184216,0,0,0,0,0,0,0,0.0961164428690136,0,0,0,0,0
X601288.CH.EQUITY,0.483330007980981,0,0,0,0.200466367593941,0,-8.67361737988404e-19,0,0,0,0,0,0.015925503084835,0,0,0,0.0273177855494785,0,0,0,0,0,0,0,0,0.000254404451157127,0,0.0674331459567213,0,0,0,0,0.0505646604913358,0,0,0,0,0,0,0,0,0,0.111218243156854,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0852346099387536,0,0.375615228171929,0,0,0,0,0,0.357109595964356,0,0,0,0,0.126139878250416,0,0,0,-0.0652000918402832,0,0,0,0,0,0,0,0,0,0,0,0.13667862128975,0,0,0,0,0,0,0,0,0,0,0,0,0.0610616954129641,0,0,0,0,0,0.0712097466574884
X600036.CH.EQUITY,0,0,0.0205223590735169,0,0,0,0,0,0,0,0,0.187695564544323,0,0,0,0.164921448900372,0,0,0,0,0.0441272915102183,0,0,0,0.157450662603588,0,0.072399573892828,0,0.013538328169152,0,0,0.090168832594288,0,0,0,0,0,0,0,0,0,0,0,0.0425664390718696,0.0310328250796562,0,0,0,0.177921370263893,0
X1299.HK.EQUITY,0,0,0,0.106705214086741,0,0,0,0,0,0,0,0,0.0991782900974538,0.212396501398886,0,0,0,0,0,0.031269577344061,0,0,0,0.095898474587056,0,0,0,0,0,0,0,0,0,0.0239819795498288,0,0,0,0.219169452203058,0,0,0,0,0,0,0,0.11037620426233,0,0,0,0
X5.HK.EQUITY,0,-0.0884793985070261,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.289801201606379,0,0,0,-0.184085365787656,0.420167587492483,0,0,0.568888673963297,0,0,0,0,0.0712390535331221,0,0,0,0,-0.268358910921997,0,0,0,0,0.0223200519797867,0,0,0.49597686781394,0,0,0,0,0,0,0,-0.036254682787832
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242660784208233,0,0.033589323929024,0.0441248557173454,0,0,0,0,0,0,0,0,0,0,0,0,0.0918601918255124,0.185137802646486,0,0,0,0,0,0.0396309287070589,0,0.181032969440496,0.0663648758504181,0,0,0,0,0.00975511260236387,0,0,0
X601658.CH.Equity,0,0,0,0,0.000881795781683313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188769980008177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281846880422824,0,0.10047466958207,0,0,0,0.25823288945854,0,0,0,0,0.406046998943697,0,0
