,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X2884.TT.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X000069.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0589888298794775,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0.0810483254832688,0,0,-0.100082570602302,0.616649196715078,0,0,0,0,0,-0.00932607681301778,0,0.886269106632907,-0.277619375351276,0,0,0,0,0,0,-0.0211358103257578,0,0,0,0,0,0,0,0,0.380528547154777,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0412013729372754,0,0.242348184460834,0.00983227315748511,0,0,0,0,0,0,0.0870549797596324,0.0437286692027618,0,0,0,0,0,0,0,0.241187931729475,0,0,0.0277604982660491,0.170940993449465,0.0204660182414081,0,0,0,0,0,0,0,0,0,0,0,0.0302056150211989,0,0,0,0,0
X601939.CH.EQUITY,0.419966148574615,-0.186353834252451,0,0,0,6.93889390390723e-18,-0.0203317694045726,0,0,0,0,0,0,0,0,0,-0.0373375083053321,0,0,0,0.093781987369159,0,0,0,0,0,0,-0.0600991222322657,0.626153296610524,0.107715607352374,0,0,0,0.00493050707337153,0,0,0,0,0,0,0,0,-0.11742705898882,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0216979542053568,0,-0.299083817143794,0,0,0.0410098578390111,1.0047748402882,0,-0.118643014942993,-0.0201062454869106,0,0,0,-0.245524802595834,0,0,0,0,0,0,0.0595960711742991,0,0,0,0,0,0,0,0,0,0,0.0418463629193405,0,-0.345945608276989,0,0,-0.0175225926830572,-0.158145507145978,0.123734045058593,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0638101479723831,0.485584282859243,0,0,0,0,0,0,0,0,0,0.0457499673784729,-0.0502523139638043,0,0,0,0.0116507803032789,0,0,0,0,0,0.0987297221775824,0,0.151871441838435,0,0,0,0,-0.0790464599320862,0,0,0,0,0,0.328368887520202,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.386397863511871,0,0.0134569519002572,0,0.186501448288185,0,0,0,0,0,0,0,0,-0.231077051620984,0,0,0,0.202413683056769,0,0,0.076940711164765,0,0,0,0.00257932246963211,0,0,0,0,0,0,0,-0.206613808394063,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.423215885248121,0
X1299.HK.EQUITY,0,0.009555080836507,0,0,0.395481359823001,0,0,0,0.11442566066297,0,0,0,0,0.11919295269242,0,0.303265828011602,0.175101488499768,0,0,0,0,0,0,0,0,0,0,-0.1631726817794,0,0,0,0,-0.134631134324002,-0.080270920484224,0.16636370543039,0,-0.0638227085437379,0,0,0,0,0,-0.141332806201129,-0.0450890728172411,-0.0744367030108534,0,0,0
X600036.CH.EQUITY,0.0702680941144957,0.351835571625484,0,0,0,0,0,0,0,0.36141501022366,0,0,0,0.106714410278393,0,0,0,0.0750324185940659,0,0,0,0,0.117934559814485,0,0,0,0,0,0,-0.0390933718763042,-0.0951641557408263,0,0,0.426210928957785,0,0,0,0,0,0,0,0,0.209970601550767,0,0,0,0,-0.0571763311411403
X601628.CH.EQUITY,0,0.20157589776197,0.0310282205077508,0.0888181441371804,0,0,0,0,0,0,0,0,0,0,0.225186224385245,0,0,0,0,0,0,0.0262276713018148,0,0,0.2579155507184,0.00537623550985035,0,0,0,0,0.0332638574604913,0,0.08355780190838,0.0810405898990198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.765472458232436,0,0,0,0,0,0,0,0,0,0.0674399034059919,0,0.0105000730934388,0,0,0,0,0,0,0,-0.0453232315089323,0,0,0.017160819300651,0,0,0,-0.185113367842388,0,0,-0.0721973331623009,0,0,0,0,0,0,0,0,0,0.0847100506335947
