,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X601901.CH.EQUITY,X600958.CH.EQUITY
X601398.CH.EQUITY,0,0,0.131209543914888,0,0.266040248000273,0,0,0,0,0,0,0,0,0,0,0,0,0.414481651778937,0,0,0,0,0.0561230486208138,0,0,0,0,0,0,0,0,0,0,0.00579164213986227,0,0,0,0,0,0.0478168586191462,0,0,0.0773307274777682,0,0,0.0638950680417012,-8.67361737988404e-19,0.0660415137486517,0,0
X601318.CH.EQUITY,0,0,0,0.150330458887303,0,0,0,0,0.00779147966223552,0,0,0.0246850507811545,0,0,0,0.032976956834087,0,0.0782087879721595,0.415038226867355,0.0123560793961721,0.0539229890698023,0,0,0,0.104510453308064,0.0267548793516274,0,0,0,0.0765667248885198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686185651413139,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.277712661041456,0,0,0,0,0,0,0.195563262605984,0,0,0,0,0.104256540757809,0,-0.251631258252367,-0.0782504205379811,0.0152177404471075,0.447281494311423,0,0.310592426257541,0,0,0,0,0,0,0,0,0,0,0,-0.00075986156207104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.090759049150235,0.233286187123182,0,0,0.00626501029012789,0.197460192271659,0.0823640800830332,0,0,0,0,0.215124909009569,0,0,0,0,0,0,0,0,0,0.211380812903218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252230349368273,0,0,0.0977873921917058,0,0,0,0
X601288.CH.EQUITY,0.26803866519804,0.238690112967132,0.058788289605807,0,0,0,-0.0652533168245134,0.181669379436732,0,0,0,0,0,0,0,0.128488330658539,0,0,0,0,0,0.0464662229283708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210403647682888,0,0,0,0,-0.092119526200857,0.111679514379267,-0.0635949064361829,0
X601628.CH.EQUITY,0,0,0,0,0.0827759904361094,0,0,0,0,0,0,0,0,0,0,0.0796348178726456,0,0,0,0.187188550934767,0,0,-0.0606996650899351,0,0,0,0.310359972624438,0,0.507195192026436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.123372524712557,0,0,-0.0846170827005138,0,0,0.171265473440791,0,0,0,0,0,0,0,0,0.0374967076383504,0,0,0,0,0.192709861945945,0,0,0,0,0.187319834040606,0,0,-0.0545048245394259,0.324552782947294,0,0.142906369099492,0,0,0,0,0,0,0.0522273689344134,0,-0.137300335476649,0,0,0,0,0.237207228922131
X601988.CH.EQUITY,0.192399395949262,0,0.134092924183716,0.134788003963343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383248449662076,0,0.16880315260204,0,-0.0807804926788404,0,0,0.141728587424243,0,0,0,0,0,0,0,0,0,0,0.331741531395713,0,0,-0.0934733394748535,0.0680798165160501,0.127023702843869,0,0,0,0
X5.HK.EQUITY,0,0.242011659669439,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03822806336203,0,0,0,0.123785278537354,0.1680801764577,0,0,0,0.136173958414954,0,0,0,0,0.231088726082448,0,-0.042131508363855,-0.245251169289047,0.295680958141018,0,0,0,0,0,0,0,0,0,0,0.0353412377412477,0,0,0.0733201565980702,0,0
X601166.CH.EQUITY,0,0,0.117273608013452,0.215645275754502,0,0,0,0,0,0,0,0.101133027191708,0,0,0,0.0291887667043427,0,0,0,0,0,0,0.106665278614706,0,0,0.359794954484114,0,0.0168877467865061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317874674704278,-0.0621808875474589,1.73472347597681e-18,0,0,0,-0.0306535824855038,0
