,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X601696.CH.Equity,X2884.TT.EQUITY,X600958.CH.EQUITY,X600919.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0.0633975483693561,0.313442106061841,0,0,0,0,0,0.186993990221461,0,0,-0.0390713618265967,0.0122568719097354,0,0,0,0,0,0,0,0,0,0.194358738661078,0,0,0,0,0.0672003718231971,0,0,0,0.0453284260451391,0.252962903048444,0,0,0,0,0,0,-0.165553668086312,-0.0921221987381683,0,0.0262009481171022,0,0,-0.0645690030317236,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.00387704691312141,-0.0281562325483165,0,0,0,0,0.0333869103570071,0,0,0,0.30182577627018,0,0,0,0,0,0,0,0,0,0,0,0,0.114291549356198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171969504931035,0,0,0.236141451564795,0
X601939.CH.EQUITY,0,0,0,0,0.691957063646708,0,0,0,0,0.0591128785498794,0,0.278031707095467,0,-0.0377110821130923,0.0313555920068565,0,0,0,0,0,0.0368598473996792,0,0.00929180786959023,0.00483104388075366,0,0,0,0,0.0395743968988795,0,0,0,0,0,-0.0229487376000533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669474434374638
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.228694057012737,0.0379670593717403,0,0,0.134876393389916,0,0,0.327907103625479,0,0,0.0495380999115615,0.0706496788264773,0,0,-0.0991856306291129,0,0,0.0811545023709614,0,0.104269917089804,0.219165217122846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.246847023214167,0,0.833257816504299,0,0,0,0,-0.081406900144594,0,0,0,0,-0.0681974316243939,0,0,0,0,0,0,0,0,0,-0.0652488178624447,0,0,0,0,0,0,0,0,0,-0.0414388262588045,0,-0.0166558965286324,0,-0.0606797678117796,0,0,0.199240427195909,0,0,0,0,0,0.00667998323204206,-0.0918701220582538,0,0,0.0217676083249306
X600036.CH.EQUITY,0.153691264628801,0.0205691278052074,0.257910144452554,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.104248138488695,0,0,0,0,0,0,0,0.0504473827109038,0,0.106695611227123,0,0,0,0,0,0,0,0,0,0,0.0702522366545527,0,0,0,0,0,0,0,0,-0.0633825888208255,0.146066739093749,0,0,0,0.069765660521879
X601988.CH.EQUITY,0,0,0,-0.037526263501448,0.031842582700232,0.0802538813598298,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.069767647558621,0,0,0,0,0.0118705294079745,0,0,0,0,0,0,0,0,0,0,0,-0.0554499376869559,0,0.921480659855485,0,0,0.065256235160642,0,0,-0.125572956824235,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0801814112778492,0,0,0,-1.73472347597681e-18,0.412057549278112,0,0,0,0.0902127055537114,0,0,0,0,0,0,0,0,0,0.118889094776222,0,0,0,0,0,0,0,0.0845256959800699,0,0,0.235970256878815,-0.0471098619011095,0,0.0728581460876277,0,0,0,0.0753242953941361,0,0,-0.0946296307518666,0,0,0.0199744710205672,-8.67361737988404e-19,-0.111794869176259
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.160997639812401,0,0,0,0,0,0,0,0,0,0,0.0611083572789073,0.344236227451658,0,0,0,0,-0.102975758297779,0,0.184808945203775,0,0,0.256728639822213,0.154645916435435,0,0,0,0,0.0443988068627836,-0.120965106952086,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.308612274032395,0,0,0,0.0130508676823651,0,0,0.112729587929979,0,0,0,0.117449201391617,0.10108969573108,0,-0.361045789418834,0,0,0,0,0.0507530044771794,0,0.186602722649135,0,0,0,0,0,0,0.325792975937331,0.132670202839127,0,0,0,0,0,0,0,-0.135335195566287,0,0.285395025174988,0,0,0,0,0.120857913251854,0,-0.414456051495117
