,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,X600015.CH.EQUITY,X601788.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,X601696.CH.Equity,X2884.TT.EQUITY,X601009.CH.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,0,0.14123690844428,0,0,0,0,0,0,-0.0115561703111956,0,0,0,0,0,0,0,0,0,0,0.384648824386421,0,0,-0.158490363908598,0,0,0.25725630568398,0,0,0,0,-0.234147647373154,0,0,0,0,0,0,0,0.0550802584436103,0,0,0,-0.126062662115169,0,0,0,0.0238903089041656,0,0
X601318.CH.EQUITY,0,0,0,-3.46944695195361e-18,0.0391083803529233,0.235863359761139,0,0,0,0,0,0,0,0,0,0.0710274673498066,0,0,0.297022561072526,0,0,0,0,0,0.101377402331167,0,0,0,0,0.131890753336186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115267950693974,0,0,0
X601939.CH.EQUITY,0,0,0,0.737132988370601,0.0032314049896593,0.0481349639343427,0,0,0,0,0,0,0,0,0.0201433903326876,0,0,0,0,0,0,0,0,0,0,0.0381694479673889,0.0404340195499494,0,0,0.0270528878239135,0,0,0,-0.00824031190776915,0,0.0168018629986237,0,0.0446608973333926,0,0,0.00804463187805661,0,0,0,0,0.0870589951000688,0,0,0,0
X601288.CH.EQUITY,0.0196766197249924,0,0.823037675090958,0,0,0,-0.0522263428896686,0,0,0,0,0,0,0,0,0,0.0630288403848898,0,0,0,0,0,0.106754063972935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259720926592666,0,0,0,0.0488305894478659,0,0,0,0.0897701385037504,-0.0687156344141096,0,0,0
X601988.CH.EQUITY,0.0753241959942738,0,0,0,0,0,-0.240923398463573,0,0,0,0,0,0.857389359426794,0,0,0.075064035644219,0,0,-0.199100593961061,0,0.0892048132291219,0,0,0,-0.0896351824220281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.140602957023506,0.0743655591875543,0,0,0,0,0.0227471843130296,0,0,0.169459665001343
X600036.CH.EQUITY,0,0.0104886843557728,0.408314677182563,0,0,0,0,0,0.025421891469172,-0.00429746441398626,0,0,0,0,0.115518020926518,0,0,0,5.42101086242752e-20,0,0,0,0.189864434916902,0,0,0,0.129288464125611,0,0,0,0,0,0,0,0.00553480444005161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,-0.0249489162636936,0,0,0,0,0,0,0,0,0,-0.0815974493535814,0.783014581957943,0,0,0,0,0,0,0,0.0216673744582218,0,0,0,0,0,0,0.0409452729237723,0,0,0.261207332642139,0,-0.205520761301838,0,0,0,0.0712815349491588,0,0.073588992031606,0,0,0,0,0,0,0.0676050575205338,0,0.0739206818972698,-0.0294485763792776,0,0
X1299.HK.EQUITY,0,0.117699554334694,0,0,-0.172356962813285,0,0.106686315029016,0,0.249070902366975,0.199649576826678,-0.00999529761563615,0,0,0,0,0,0,0,0,0,0,0,0.35155247343847,0,0,0,0,0,0,0,0,0,0,0,-0.0314800445614671,0,0,0.10826093704295,0,0.292894281114203,0,0,0,0,-0.121525085291183,0,0.332358667396326,0,0,-0.0568039249079762
X5.HK.EQUITY,0,0,0,0,0,0.168096450666059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63258229734175,0.00941544798469424,0,0.10551810606462,0,0,0,0,0,0,0,0,0,0.128089118251584,-0.139553380945459,0,0,0,0,0,0,0,0.0233433654401947,0.0769243514498652,-0.215151553663374,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.263259730537818,0,0.131034496572257,0,-0.212558986544506,0,0,0,0,0,0,-0.123680252872913,0.0559489905165908,0,0,0,0,0,0.355230646304598,0,0,0,0,0.0825651960754367,0,0,0,0,0,0.211807059271784,0,0,0,-0.24111581833143,0,0,0,0,0,0,0,0,-0.0298179582939854,0
