,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X2884.TT.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2892.TT.EQUITY,X601236.CH.EQUITY
X601398.CH.EQUITY,0,-0.305085063077584,0,-0.140130594294067,0,0,0,0,0,0,0,0.742275272802443,0,0,0,0.0074361005125634,0,0,0,0,0,-0.218435436432697,0,0,0,0,0,0.0379598288983096,0,0.723793688330545,0.066060280163096,0,0,0,-0.236761462934513,0,0,0,0,0,-0.164072513024771,0,0,-0.0571994878142291,-1.38777878078145e-17,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0861662063880443,0,0.0573162292037176,0.0391168241610267,0,0,0,-0.0656315059216465,0.15092789601868,0,0.056059602973201,0,0,0,0,0,0,0,0,0,0,0.0985296537362548,0.368230994012099,0,0,0,0,0,0,0,0,0,0,0.105010001083019,0,0,0.0438653824063851,0,0.0622995621639883,-0.0277605252062577,0,0
X601939.CH.EQUITY,0.225040450383384,0,0,0,0,0,0,0.039177225903254,0,0.00626479516502581,0,0,0,0,-0.135924139711768,0,0.0323156143917881,0,0,0,0,0,0,0,0,0,0,0.269813078569847,-0.0412192703348097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415856153492164,0.107150427975611,-0.0123902862087135,-0.0358521240083802
X601288.CH.EQUITY,0,0,0,0,0,0.320681911174909,0,-0.055888083106849,0.0350798502004892,0.0411432258552462,0,0.105292514817164,0,0,0,0.0520691635727784,0,0,0,0,0,0,0.157223135622864,0,0.00863835600025371,0,0,0,0.254278219001335,0,0,0,0,0,0,0,0.0494142430087572,0,0,0,0.0811799609767816,0,0,0,0,0,0.0683538347701825,0
X5.HK.EQUITY,0,0,0,0,0,-0.0717621548610721,0,0,0,0,0,0,-0.00186317690831318,0,0,0,0,0,0.0334444861777348,0,0,0.401186536752432,0,0,0,0,0,0,0,0,0.0616158199327228,0.0857918299990375,0,0,0,-0.104099773461444,0,0,0,0,0.327281032022874,0,0,0.127301042771425,1.73472347597681e-18,0,0.0217478754593085,0.0711129287478714
X601988.CH.EQUITY,0.214917307666484,0,0,0.48200779873057,0,0,0,0,0,0,0.197044833475344,-1.73472347597681e-18,0,0,0,0,-0.0147001161822663,0.0406038147429024,0,0,0.00727087086865498,0.155819566493732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170081172060198,0,0.0246405757358427,0,0.0470126734746792,-0.137808390467088,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.37735605367277,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0276511107390909,0,0.106603372129122,0,0,0,0,0.183880484381551,0,0,0,0,0,0.240610224386698,0,0.172949443509449,0,0,0,1.73472347597681e-18,-0.174457122208937,0,0,0,0.17948309464692,0,0,0.193402259592123,0.00300057256249572,0,-0.0259879783903809,-0.0272020431488452,0
X1299.HK.EQUITY,0,0.29924707057459,0.0216084157237642,0,0,0,0,0,0,0,-0.00424704168121811,0,0,0.343721995710162,0,0.145005383068979,-0.193082828188675,0.312088675907667,0,0,-0.0257965188663497,0,0,0,0,0,0,0.0834818858514058,0,-0.209918060344402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512302482652547,0,0,0
X601628.CH.EQUITY,0,0.0154491429343139,0,0,0,0,0,0,0,0,0.127303942647859,0,0,0,0.300154548831866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238835309771922,0,0,0,0,0,0,0,0,0,0,0,0,0.115176916040596,0,0.0234055475599609,0,0,0,0
X601328.CH.EQUITY,0,0,0.035648944591506,0.402781316920508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206125961040227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.348798770746185,0,0,0.263535306853668,0,0,0,0,0,0.193107079860235,0,0,0,0,0,0,0,-0.0379489406046412,0,0,0,0,0.397640939674811,0,0,-0.0759102409583747,0,0,0,0,0,0,0.070692572830621,0,0,0,0,0,0,0,0,0.0960830327751557,0
X601319.CH.EQUITY,0.0851299440433495,0,0,0,0,0,0,0,0.474062720333326,0,0,0,0,-0.0360253756148025,0,0,0,0,0,0,0,0.173773036849328,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.219411685748918,0,0,0,-8.67361737988404e-19,0,0,0.0362220134526243,0,0.0967177287135455,0,-0.0305739165640729,0,0,0.11177382787002,-0.0224876247148944
X600000.CH.EQUITY,0,0,0.0277409751503106,0.160464885115416,0,0.0112519170206522,0.0830313897673141,0,0,0,0.0790657093657456,0,0,0,0.274044898017045,0.0685846619816279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217117903743899,-0.0115140136371228,0,0,0,0,0,0,0,0.158863516207899,0,0,0.1969688319544,0
X11.HK.EQUITY,0.117794725934092,-0.0293273405683096,0,0.208223361055038,0.234862697182715,0,0,0.473345641022534,0,0,0,-0.0791390586876296,0,0,-0.0214887562055799,0,0,0,0.00670379395351609,0,0,0,0,0,0,0,0,-0.139392790381545,0,0,-0.0931652578901963,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0902741112355546,0,0,0,0.0116078105197748,0,0,-0.074516504352682,0
X601601.CH.EQUITY,0,0,0,0,0,-0.286600269387726,0,0,0.443862893826714,0,0,0.154414945009282,0.128113803720595,0,0,0,0.334189009158602,0,0,0,0,0,6.93889390390723e-18,0,-0.00332705603963926,0,0,0,0,0,-0.061588310277637,0,0,0,0,0,0,0,0,0.0858228933591632,0,0,-0.140381839305675,0,0,0,0,0
X267.HK.EQUITY,0.00489447452781528,0,0,0,0,0,0.209489537161481,0,0,0.035034931933597,0,0,0,0.0801336926532116,0,0,0,0.225454931915894,0,0,0,0.0256180131977834,0,0,0,0,0,-0.0413571082637426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976144081459058,0,-0.019393511340119,0,0.169919255458815,0
X000001.CH.EQUITY,0,0.132185079766595,0,0.0389407125665142,0,0.0750155903260134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851065263935215,0,0,0.175417881426461,0,0.13923470890258,0,0.0654601832692358,0,0,0,-0.0572031360323726,0,0,0,0.224093730246415,0,0,0,0.0250596574172185,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.532220327110161,0,0,0,0,0,0,0.00382830823523776,0,0.173614537252088,0,0,0,0,0.0298072379158477,0,0,-0.0658661478007276,0,-0.401729309076577,0,0,0,-0.0231332266214273,0,0,0,0.41893936225905,0,0,0,0,0,0.0723467774699587,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.306098851281277,0.0589974928543763,-0.00748798895042445,0,0,0.0174195764532062,0,0,0,0.636225734887365,0,-0.134158015713469,0,0,0,0,0,0.000269571288218853,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0578128349497748,0,0,0,0,0,0.17784360411865,0,0.193409137136195,-0.0586122729177932,0.087346366718673,0,0,0.139247229011118
X600030.CH.EQUITY,0.112796448395272,0,0,0,0,0.119370628094462,0,0,0,0,0,0,0,0,0,0,0.0110188962496961,0.0130417047092409,0,0,0,0,0,0,0,0.445163523873015,0,0,0.0019344426307626,0,0,0,0,0,0.0220425979648539,0,0,0,0,0,0,0.133647726895621,0,0.0221313691833316,0.116799069236741,0,0,0
